observation_path,observation,model,source_class,agent_framework,aavso_summary_path,aavso_summary_count,all_aavso_summary_paths,has_aavso_summary,aavso_exoplanet_name,aavso_star_name
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b,CoRoT-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b/output/AAVSO_CoRoT-2 b_2026-08-01.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b/output/AAVSO_CoRoT-2 b_2026-08-01.txt,yes,CoRoT-2 b,CoRoT-2
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-13 b,HAT-P-13 b,gpt-5.6-luna,OpenAI-compatible,ReAct,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b,HAT-P-19 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b/output/AAVSO_HAT-P-19 b_2026-07-11.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b/output/AAVSO_HAT-P-19 b_2026-07-11.txt,yes,HAT-P-19 b,HAT-P-19
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-20 b,HAT-P-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-30 b,HAT-P-30 b,gpt-5.6-luna,OpenAI-compatible,ReAct,,0,,no,,
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b,HAT-P-36 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b/output/AAVSO_HAT-P-36 b_03-18-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b/output/AAVSO_HAT-P-36 b_03-18-2026.txt,yes,HAT-P-36 b,HAT-P-36
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HD 189733 b,HD 189733 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HD 189733 b/output/AAVSO_HD 189733 b_08-04-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HD 189733 b/output/AAVSO_HD 189733 b_08-04-2026.txt,yes,HD 189733 b,HD 189733
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-16 b,KELT-16 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-16 b/output/AAVSO_KELT-16 b_07-08-2026.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-16 b/output/AAVSO_KELT-16 b_07-08-2026.txt,yes,KELT-16 b,KELT-16
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-20 b,KELT-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-20 b/output/AAVSO_KELT-20 b_08-18-2023.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-20 b/output/AAVSO_KELT-20 b_08-18-2023.txt,yes,KELT-20 b,KELT-20
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-7 b,KELT-7 b,gpt-5.6-luna,OpenAI-compatible,ReAct,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-7 b/output/AAVSO_KELT-7 b_01-07-2017.txt,1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-7 b/output/AAVSO_KELT-7 b_01-07-2017.txt,yes,KELT-7 b,KELT-7
