observation_path,observation,model,source_class,agent_framework,has_aavso_summary,aavso_summary_path,target_star_error_px,target_x_observed,target_y_observed,target_x_truth,target_y_truth,ephemerides_exact_match_fraction,ephemerides_extraction_difference_percent,nasa_ephemerides_difference_percent,exotic_generation_difference_percent,time_taken_minutes,report_word_count
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b,CoRoT-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b/output/AAVSO_CoRoT-2 b_2026-08-01.txt,267.023,247.000,211.000,4.607,98.987,1.000,0.025,19.838,15.687,17.556,491
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-13 b,HAT-P-13 b,gpt-5.6-luna,OpenAI-compatible,ReAct,no,,1.440,1106.000,1173.000,1106.857,1174.157,,,,,27.514,416
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b,HAT-P-19 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b/output/AAVSO_HAT-P-19 b_2026-07-11.txt,507.658,547.000,317.000,77.659,123.518,0.750,0.379,31.887,17.979,15.792,432
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-20 b,HAT-P-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct,no,,2.096,1246.000,1169.000,1245.154,1170.917,,,,,96.861,398
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-30 b,HAT-P-30 b,gpt-5.6-luna,OpenAI-compatible,ReAct,no,,0.997,1520.000,1025.000,1520.871,1025.484,,,,,104.215,424
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b,HAT-P-36 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b/output/AAVSO_HAT-P-36 b_03-18-2026.txt,0.080,1175.000,1181.000,1174.920,1180.991,1.000,0.076,9.504,18.466,96.831,443
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HD 189733 b,HD 189733 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HD 189733 b/output/AAVSO_HD 189733 b_08-04-2026.txt,1.970,1212.000,1195.000,1211.379,1196.869,1.000,0.000,40.586,20.840,42.262,467
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-16 b,KELT-16 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-16 b/output/AAVSO_KELT-16 b_07-08-2026.txt,0.002,1197.450,1205.480,1197.448,1205.481,0.750,0.450,2.986,2.150,24.396,414
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-20 b,KELT-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-20 b/output/AAVSO_KELT-20 b_08-18-2023.txt,1.887,1135.000,1220.000,1136.163,1221.486,1.000,0.000,32.561,12.749,53.477,417
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-7 b,KELT-7 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-7 b/output/AAVSO_KELT-7 b_01-07-2017.txt,1.760,734.000,541.000,734.566,542.666,0.500,2475.806,24.616,0.707,26.979,426
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-9 b,KELT-9 b,gpt-5.6-luna,OpenAI-compatible,ReAct,no,,74.446,178.000,194.000,252.236,188.407,,,,,131.655,416
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-1 b,Qatar-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-1 b/output/AAVSO_Qatar-1 b_2026-08-03.txt,184.257,303.000,309.000,274.360,126.982,1.000,0.000,20.595,15.647,15.321,489
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-10 b,Qatar-10 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-10 b/output/AAVSO_Qatar-10 b_07-15-2024.txt,0.498,932.000,1174.000,931.518,1173.875,0.500,2475.682,14.772,18.379,19.263,430
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-1 b,TrES-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-1 b/output/AAVSO_TrES-1 b_2026-08-02.txt,136.605,227.000,201.000,118.574,117.906,0.500,2475.675,22.882,17.938,24.702,455
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-2 b,TrES-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-2 b/output/AAVSO_TrES-2 b_08-17-2023.txt,2.789,1149.000,1202.000,1151.597,1203.016,1.000,0.172,26.890,15.026,58.192,482
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-183 b,WASP-183 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-183 b/output/AAVSO_WASP-183 b_03-29-2025.txt,0.002,1182.340,1194.600,1182.339,1194.598,0.750,0.475,14.939,4.359,12.963,453
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-43 b,WASP-43 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-43 b/output/AAVSO_WASP-43 b_03-12-2026.txt,1.381,1196.000,1201.000,1194.836,1201.742,0.750,2475.052,6.430,6.619,15.332,427
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-44 b,WASP-44 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-44 b/output/AAVSO_WASP-44 b_2026-07-15.txt,305.533,260.000,265.000,23.349,71.746,1.000,0.000,30.097,11.908,12.773,402
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-65 b,WASP-65 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-65 b/output/AAVSO_WASP-65 b_03-12-2026.txt,0.995,1177.000,1147.000,1177.536,1147.838,0.750,1.033,2.302,0.973,13.852,424
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-69 b,WASP-69 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/WASP-69 b/output/AAVSO_WASP-69 b_09-25-2025.txt,2.050,1202.600,1219.400,1203.675,1221.146,0.750,0.000,28.853,4.716,13.862,473
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/CoRoT-2 b,CoRoT-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/CoRoT-2 b/output/AAVSO_CoRoT-2 b_2026-08-01.txt,267.023,247.000,211.000,4.607,98.987,1.000,0.000,34.914,50.000,42.509,474
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-13 b,HAT-P-13 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,0.004,1106.860,1174.160,1106.857,1174.157,,,,,95.539,0
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-19 b,HAT-P-19 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-19 b/output/AAVSO_HAT-P-19 b_2026-07-11.txt,439.390,517.000,117.000,77.659,123.518,1.000,0.000,31.421,17.608,23.141,408
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-20 b,HAT-P-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,3.087,1245.000,1174.000,1245.154,1170.917,,,,,56.862,339
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-30 b,HAT-P-30 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,1267.284,443.000,359.000,1520.871,1025.484,,,,,40.823,338
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HAT-P-36 b,HAT-P-36 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,0.621,1174.300,1181.000,1174.920,1180.991,,,,,25.952,314
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HD 189733 b,HD 189733 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/HD 189733 b/output/AAVSO_HD 189733 b_08-04-2026.txt,2.936,1212.000,1194.000,1211.379,1196.869,0.750,0.641,39.014,17.621,109.261,397
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-16 b,KELT-16 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-16 b/output/AAVSO_KELT-16 b_07-07-2026.txt,0.757,1198.000,1206.000,1197.448,1205.481,0.667,0.424,22.549,17.944,33.324,516
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-20 b,KELT-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,0.039,1136.200,1221.500,1136.163,1221.486,,,,,57.016,306
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-7 b,KELT-7 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-7 b/output/AAVSO_KELT-7 b_01-06-2017.txt,1.472,736.000,543.000,734.566,542.666,0.750,0.341,39.313,14.806,104.213,386
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/KELT-9 b,KELT-9 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,6.490,257.000,184.000,252.236,188.407,,,,,39.647,329
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/Qatar-1 b,Qatar-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/Qatar-1 b/output/AAVSO_Qatar-1 b_2026-08-03.txt,136.586,295.000,262.000,274.360,126.982,1.000,0.066,24.406,15.818,27.881,406
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/Qatar-10 b,Qatar-10 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,0.498,932.000,1174.000,931.518,1173.875,,,,,45.125,286
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/TrES-1 b,TrES-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/TrES-1 b/output/AAVSO_TrES-1 b_2026-08-02.txt,136.605,227.000,201.000,118.574,117.906,0.667,1.394,23.399,17.938,37.666,384
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/TrES-2 b,TrES-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,3.075,1151.000,1200.000,1151.597,1203.016,,,,,133.703,336
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-183 b,WASP-183 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,no,,1.765,1184.000,1194.000,1182.339,1194.598,,,,,39.689,0
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-43 b,WASP-43 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-43 b/output/AAVSO_WASP-43 b_03-11-2026.txt,1.381,1196.000,1201.000,1194.836,1201.742,1.000,0.062,5.597,2.698,26.057,460
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-44 b,WASP-44 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-44 b/output/AAVSO_WASP-44 b_2026-07-15.txt,305.533,260.000,265.000,23.349,71.746,1.000,0.125,22.688,13.110,36.355,356
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-65 b,WASP-65 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-65 b/output/AAVSO_WASP-65 b_03-12-2026.txt,0.995,1177.000,1147.000,1177.536,1147.838,0.750,0.409,2.431,1.503,16.292,422
ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-69 b,WASP-69 b,gpt-5.6-luna,OpenAI-compatible,ReAct+Skills,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct+Skills/WASP-69 b/output/AAVSO_WASP-69 b_09-24-2025.txt,2.029,1202.000,1220.000,1203.675,1221.146,0.667,0.000,44.641,27.171,20.933,440
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/CoRoT-2 b (ReAct),CoRoT-2 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/CoRoT-2 b (ReAct)/output/EXOTIC_output/AAVSO_CoRoT-2 b_2026-08-01.txt,267.023,247.000,211.000,4.607,98.987,0.750,2475.000,23.694,31.404,20.603,328
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-13 b (ReAct),HAT-P-13 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,no,,1.166,1107.000,1173.000,1106.857,1174.157,,,,,154.988,240
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-19 b (ReAct),HAT-P-19 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-19 b (ReAct)/output/AAVSO_HAT-P-19 b_2026-07-11.txt,582.727,512.000,512.000,77.659,123.518,,,34.858,16.865,14.170,0
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-20 b (ReAct),HAT-P-20 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-20 b (ReAct)/output/AAVSO_HAT-P-20 b_02-03-2025.txt,2.096,1246.000,1169.000,1245.154,1170.917,0.750,2475.139,15.268,1.848,34.363,287
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-30 b (ReAct),HAT-P-30 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-30 b (ReAct)/output/AAVSO_HAT-P-30 b_n.txt,0.501,1521.000,1025.000,1520.871,1025.484,0.333,11.584,8.827,13.272,238.251,264
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-36 b (ReAct),HAT-P-36 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HAT-P-36 b (ReAct)/output/AAVSO_HAT-P-36 b_03-18-2026.txt,0.080,1175.000,1181.000,1174.920,1180.991,0.750,2475.075,9.773,18.508,125.060,327
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HD 189733 b (ReAct),HD 189733 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/HD 189733 b (ReAct)/output/AAVSO_HD 189733 b_08-04-2026.txt,7.058,1213.000,1190.000,1211.379,1196.869,0.500,173.635,45.312,33.715,37.011,313
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-16 b (ReAct),KELT-16 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-16 b (ReAct)/output/EXOTIC_output/AAVSO_KELT-16 b_07-07-2026.txt,0.757,1198.000,1206.000,1197.448,1205.481,,,22.549,17.944,21.281,0
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-20 b (ReAct),KELT-20 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,no,,0.513,1136.000,1221.000,1136.163,1221.486,,,,,88.146,246
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-7 b (ReAct),KELT-7 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-7 b (ReAct)/output/AAVSO_KELT-7 b_01-06-2017.txt,1.472,736.000,543.000,734.566,542.666,1.000,0.000,38.760,15.349,18.698,345
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-9 b (ReAct),KELT-9 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,yes,ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/KELT-9 b (ReAct)/output/AAVSO_KELT-9 b_09-24-2023.txt,4.967,257.000,187.000,252.236,188.407,0.750,2475.000,41.720,25.830,33.345,308
ANONYMIZED_RESULTS/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free/ReAct/Qatar-1 b (ReAct),Qatar-1 b,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,OpenRouter,ReAct,no,,133.033,325.000,250.000,274.360,126.982,,,,,11.979,0
