observation,nasa_planet_name,hostname,orbital_period_days,orbital_period_uncertainty_days,mid_transit_time_bjd,mid_transit_time_uncertainty_days,transit_duration_hours,transit_duration_days,transit_duration_uncertainty_days,transit_depth_percent,transit_depth_fraction,radius_ratio,a_over_rstar,source_url,found
CoRoT-2 b,CoRoT-2 b,CoRoT-2,1.7429935,1e-06,2454237.53556,0.00021,2.26704,0.09446,0.00011,2.75,0.0275,0.1667,6.7,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
HAT-P-13 b,HAT-P-13 b,HAT-P-13,2.91625,1.5e-05,2454779.92976,0.00075,3.28681,0.13695041666666666,0.0011889,0.72577025,0.007257702499999999,0.08389,5.8928,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
HAT-P-19 b,HAT-P-19 b,HAT-P-19,4.00878322,1.9e-07,2456610.863945,7.1e-05,2.8368,0.11820000000000001,0.0014,2.14837462,0.021483746199999997,0.1346,12.84,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
HAT-P-20 b,HAT-P-20 b,HAT-P-20,2.875317,4e-06,2455080.92661,0.00021,1.848,0.077,0.0007999999999999999,0.9898,0.009898,0.1284,11.17,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
HAT-P-30 b,HAT-P-30 b,HAT-P-30,2.8106,5e-06,2457775.212778,7.7e-05,2.2499254,0.09374689166666667,0.0004368458333333333,1.3,0.013000000000000001,0.1109,7.43,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
HAT-P-36 b,HAT-P-36 b,HAT-P-36,1.32734683,4.8e-07,2457885.383994,9.4e-05,2.232,0.09300000000000001,0.0015999999999999999,1.885,0.01885,0.1199,4.95,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
HD 189733 b,HD 189733 b,HD 189733,2.21857567,1.5e-07,2453955.5255511,8.8e-06,1.8233621,0.07597342083333333,6.81625e-05,2.4,0.024,0.15534,8.84,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
KELT-16 b,KELT-16 b,KELT-16,0.9689951,2.4e-06,2457247.24791,0.00019,2.4888,0.1037,0.0013,1.146,0.01146,0.107,3.23,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
KELT-20 b,KELT-20 b,KELT-20,3.4741085,1.9e-06,2457503.120049,0.00019,3.57552,0.14898,0.0009099999999999999,1.309,0.01309,0.1144,7.42,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
KELT-7 b,KELT-7 b,KELT-7,2.73477,4e-06,2459109.138447,5.1e-05,3.5112,0.1463,0.0009699999999999999,0.83,0.0083,0.0922,5.5,https://exoplanetarchive.ipac.caltech.edu/TAP/sync?query=select+pl_name%2Chostname%2Cpl_orbper%2Cpl_orbpererr1%2Cpl_orbpererr2%2Cpl_tranmid%2Cpl_tranmiderr1%2Cpl_tranmiderr2%2Cpl_trandur%2Cpl_trandurerr1%2Cpl_trandurerr2%2Cpl_trandep%2Cpl_trandeperr1%2Cpl_trandeperr2%2Cpl_ratror%2Cpl_ratrorerr1%2Cpl_ratrorerr2%2Cpl_ratdor%2Cpl_ratdorerr1%2Cpl_ratdorerr2+from+pscomppars+where+pl_name+in+%28%27CoRoT-2+b%27%2C+%27HAT-P-13+b%27%2C+%27HAT-P-19+b%27%2C+%27HAT-P-20+b%27%2C+%27HAT-P-30+b%27%2C+%27HAT-P-36+b%27%2C+%27HD+189733+b%27%2C+%27KELT-16+b%27%2C+%27KELT-20+b%27%2C+%27KELT-7+b%27%2C+%27KELT-9+b%27%2C+%27Qatar-1+b%27%2C+%27Qatar-10+b%27%2C+%27TrES-1+b%27%2C+%27TrES-2+b%27%2C+%27WASP-183+b%27%2C+%27WASP-43+b%27%2C+%27WASP-44+b%27%2C+%27WASP-65+b%27%2C+%27WASP-69+b%27%29&format=json,yes
