report_id,observation_path,observation,model,source_class,agent_framework,has_aavso_summary,aavso_summary_path,target_star_error_px,target_x_observed,target_y_observed,target_x_truth,target_y_truth,ephemerides_exact_match_fraction,ephemerides_extraction_difference_percent,nasa_ephemerides_difference_percent,exotic_generation_difference_percent,time_taken_minutes,report_word_count,report
bd0238c3fb4e,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b,CoRoT-2 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/CoRoT-2 b/output/AAVSO_CoRoT-2 b_2026-08-01.txt,267.023,247.000,211.000,4.607,98.987,1.000,0.025,19.838,15.687,17.556,491,"# CoRoT-2 b Transit Observation Report

## Observation Summary

The target was CoRoT-2, host star of CoRoT-2 b, observed with the Cecilia telescope at the Whipple Observatory on 2026-08-01/02. The dataset contains 86 CCD FITS images. Headers indicate 2×2 pixel binning, a clear filter, 60-second exposures, and an instrument identified as “Main.” The time series spans approximately 4.23 hours, with a median cadence of 180.4 seconds between usable measurements. The target position was confirmed using an Astrometry.net WCS plate solution, yielding pixel coordinates (247, 211).

## Data Reduction

The EXOTIC Standard notebook workflow loaded and checked the FITS dataset, obtained planetary parameters for CoRoT-2 b, and generated a complete non-interactive `inits.json`. No dark, bias, or flat calibration directories were supplied, so the reduction proceeded without those calibration frames. Aperture photometry was performed on the target and four selected comparison stars. EXOTIC determined an optimal target aperture of 6.89 pixels and an annulus radius of 9.03 pixels. The comparison-star ensemble was used to construct the normalized differential light curve. Airmass detrending was applied using two fitted airmass coefficients, followed by Bayesian transit-model fitting with limb-darkening treatment.

## Transit Results

The fitted mid-transit time is **BJD_TDB 2461254.8500 ± 0.0036**. The adopted orbital period is **1.7429984548 ± 0.0000000405 days**, from the planetary ephemeris. EXOTIC measured a transit depth of **4.80 ± 2.88%**, corresponding to a radius ratio of 0.219 ± 0.066. The fitted transit duration is **0.0989 ± 0.0070 days**, or approximately 2.37 ± 0.17 hours. The approximate depth-to-depth-uncertainty signal-to-noise ratio is **1.67**. The reported residual scatter is **9.25%**. EXOTIC did not provide BIC or reduced chi-squared values in the generated summary.

## Data Quality

The reduction completed successfully with return code 0. Plate solving succeeded with 29 matched sources, and the target coordinates were corrected to the WCS-derived position before photometry. No frame-level alignment, FITS, low-flux, out-of-frame, or sky-background flags were reported in the plate-status table. However, the large residual scatter and low transit signal-to-noise indicate a marginal detection. The fitted depth is broadly consistent with a transit but has substantial uncertainty; the result should therefore be treated as a tentative ground-based measurement rather than a high-precision ephemeris refinement.

## Output Files

The final differential light curve is available at `WORKSPACES/runs/20260806-141911-586-7bb83bdc/output/FinalLightCurve_CoRoT-2 b_2026-08-01.png`. The model-fit diagnostic is `WORKSPACES/runs/20260806-141911-586-7bb83bdc/output/temp/Triangle_CoRoT-2 b_2026-08-01.png`. Additional outputs include the fitted-parameter JSON, final light-curve CSV, WCS solution, observing-statistics plots, raw-flux diagnostics, and AAVSO submission text. The complete `inits.json` and all generated products are contained within the specified output directory."
cb001e7cffe3,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b,HAT-P-19 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-19 b/output/AAVSO_HAT-P-19 b_2026-07-11.txt,507.658,547.000,317.000,77.659,123.518,0.750,0.379,31.887,17.979,15.792,432,"# HAT-P-19 b Transit Observation Report

## Observation Summary

The target was HAT-P-19, observed on 2026-07-11 with the MicroObservatory Cecilia telescope at Whipple Observatory. The instrument was the main CCD detector operated with 2×2 pixel binning. The observations used a clear filter, 60-second exposures, and an approximately 61.5-second cadence based on the FITS `DATE-OBS` and `DATE-END` timestamps. The dataset contained 54 science FITS images. The target coordinates used by EXOTIC were RA 00:38:03.979968 and Dec +34:42:41.049.

## Data Reduction

The EXOTIC Standard notebook workflow generated a complete non-interactive `inits.json` before execution. No separate dark, bias, or flat directories were supplied, so the reduction used the available science frames without additional calibration-frame correction. The target and three comparison stars were selected from the rendered FITS field using the AAVSO finder chart as the astrometric reference. EXOTIC performed aperture photometry, comparison-star normalization, airmass detrending, and transit-model fitting. The final reduction selected comparison star #1 at pixel coordinates [400, 432] as the best comparison.

## Transit Results

The fitted mid-transit time is **BJD_TDB 2461228.9923 ± 0.0043**. The adopted orbital period is **4.00878322 ± 0.00000019 days**, from the planetary parameter catalog prior used by EXOTIC. The fitted transit depth is **3.34 ± 0.96%**, corresponding to a radius ratio of 0.183 ± 0.026. The fitted transit duration is **0.0335 ± 0.0085 days**, or approximately **48.2 ± 12.2 minutes**. The approximate depth-to-uncertainty signal-to-noise ratio is **3.48**.

## Data Quality

EXOTIC completed successfully with return code 0 and reported acceptable nested-sampling convergence. The residual scatter was approximately **2.0%**. The fit included first- and second-order airmass terms of 1.043 ± 0.021 and −0.033 ± 0.037, respectively. Reduced chi-squared and BIC were not reported in the generated EXOTIC outputs. The relatively large depth and duration uncertainties, together with the approximately 2% residual scatter, indicate a moderate-confidence detection and warrant cautious interpretation.

## Output Files

The final light curve is available at `WORKSPACES/runs/20260806-141925-627-ae220fe9/output/FinalLightCurve_HAT-P-19 b_2026-07-11.png`. The model/posterior-fit visualization is `WORKSPACES/runs/20260806-141925-627-ae220fe9/output/temp/Triangle_HAT-P-19 b_2026-07-11.png`. Additional products include the final parameter JSON, normalized light-curve CSV and TXT files, field-of-view images, observing-statistics plots, plate-status CSV, AAVSO submission text, EXOTIC logs, and the complete `/output/inits.json`."
49e84a8864cf,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b,HAT-P-36 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HAT-P-36 b/output/AAVSO_HAT-P-36 b_03-18-2026.txt,0.080,1175.000,1181.000,1174.920,1180.991,1.000,0.076,9.504,18.466,96.831,443,"# HAT-P-36 b Transit Observation Report

## Observation Summary

The HAT-P-36 system was observed on 2026-03-18 using the Exoplanet Watch 0.4-meter telescope with a CCD camera in an unfiltered clear/CV-equivalent bandpass. The dataset contained 242 science FITS images. FITS timestamps indicate a cadence of approximately 62 seconds between measurements. The exposure time was not explicitly recoverable from the available FITS metadata. The target was identified at approximately RA 188.266205°, Dec +44.915367°.

## Data Reduction

EXOTIC processed the read-only science-image directory without calibration frames; no dark, bias, or flat files were present, and the corresponding calibration fields were left empty. Aperture photometry was performed on the target and four selected comparison-star positions, with an optimized aperture radius of 6.74 pixels and sky annulus radius of 8.99 pixels. The light curve was normalized and fitted using a transit model with airmass detrending. Limb-darkening parameters were calculated by EXOTIC using the clear/CV wavelength range of approximately 350–850 nm.

## Transit Results

The final EXOTIC fit gives:

- **Mid-transit time:** BJD\(_\mathrm{TDB}\) 2461118.8007 ± 0.0053  
- **Orbital period:** 1.327346813 ± 0.000000097 days  
- **Transit depth:** 2.48 ± 0.28%  
- **Transit duration:** 0.0993 ± 0.0021 days, or approximately 2.38 ± 0.05 hours  
- **Radius ratio:** \(R_\mathrm{p}/R_\star = 0.1574 \pm 0.0088\)  
- **Residual scatter/RMS:** 4.16%  
- **Derived depth-to-residual-scatter ratio:** approximately 0.60  

The fitted orbital inclination was 88.74 ± 2.19 degrees. EXOTIC did not report a BIC or reduced chi-squared value.

## Data Quality

The reduction completed successfully and produced a final model light curve. The residual scatter is relatively large compared with the measured transit depth, so the detection should be treated as low significance and unsuitable for precision refinement of the system ephemeris. EXOTIC reported no single best comparison star, indicating that the comparison-star ensemble did not provide a clearly superior reference. A plate-solution warning was encountered during recovery, after which the target coordinates were refined to the plate-solution position. No calibration frames were available, and the clear bandpass required broad wavelength assumptions for limb darkening.

## Output Files

The principal outputs are the final light curve image at `WORKSPACES/runs/20260807-180535-943-79838107/output/FinalLightCurve_HAT-P-36 b_03-18-2026.png`, its PDF counterpart, the fitted-parameter file `output/temp/FinalParams_HAT-P-36 b_03-18-2026.json`, the light-curve CSV `output/temp/FinalLightCurve_HAT-P-36 b_03-18-2026.csv`, normalized-flux data, field-of-view plots, centroid diagnostics, plate-status information, and the completed `output/inits.json`."
32c2f941b5fd,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HD 189733 b,HD 189733 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/HD 189733 b/output/AAVSO_HD 189733 b_08-04-2026.txt,1.970,1212.000,1195.000,1211.379,1196.869,1.000,0.000,40.586,20.840,42.262,467,"# EXOTIC Transit Analysis Report: HD 189733 b

## Observation Summary

The target was HD 189733, observed with the Exoplanet Watch 0.4-meter telescope using a CCD camera. The observation date inferred from the FITS sequence was 2026-08-04. The data were acquired in an open/clear bandpass. The dataset contained 300 science FITS images with a measured median cadence of approximately 11 seconds per frame. Exposure time was not available in the FITS headers or EXOTIC summary.

## Data Reduction

The EXOTIC Standard notebook workflow was used to load and inspect the read-only FITS dataset, identify the target, select comparison stars, generate `inits.json`, and execute EXOTIC. No dark, bias, or flat frames were present, so calibration directories were intentionally left null. Plate solving and centroid tracking were performed by EXOTIC. Aperture photometry used an optimized aperture radius of 3.77 pixels and an annulus radius of 26.77 pixels. The target and five nearby comparison-star positions were supplied to the reduction. EXOTIC calculated limb-darkening information using a custom clear-band response of approximately 350–850 nm. The light curve was detrended with airmass terms and fitted using EXOTIC’s transit-model inference routine.

## Transit Results

The fitted mid-transit time was **BJD_TDB 2461256.8574 ± 0.0021**. The adopted orbital period was **2.218574944 ± 0.000000030 days**. The fitted transit depth was **0.85 ± 1.01%**, equivalent to a radius ratio of **0.092 ± 0.055**. The fitted transit duration was **0.0017 ± 0.0077 days**. EXOTIC reported a residual scatter of **17.77%**. A formal signal-to-noise ratio, BIC, and reduced chi-squared were not provided in the generated EXOTIC outputs.

## Data Quality

Although EXOTIC completed successfully, the fit is not statistically convincing. The residual scatter is very large relative to the expected HD 189733 b transit depth, the depth uncertainty exceeds the measured depth, and the duration uncertainty is substantially larger than the fitted duration. EXOTIC reported no best comparison star, indicating that the comparison ensemble did not provide a stable differential reference. The results should therefore be treated as a low-quality or non-detection transit estimate rather than a precision ephemeris measurement. No frame-level plate, flux, sky-background, or out-of-frame flags were reported for the processed sequence.

## Output Files

The final light-curve/model plot is available at `WORKSPACES/runs/20260807-180545-767-cdc1f463/output/FinalLightCurve_HD 189733 b_08-04-2026.png`, with a corresponding PDF in the same directory. Parsed fitted parameters are stored in `output/temp/FinalParams_HD 189733 b_08-04-2026.json`; normalized photometry is in `output/temp/NormalizedFlux_HD 189733 b_08-04-2026.txt`; plate-processing status is in `output/temp/PlateStatus_HD 189733 b_08-04-2026.csv`; and the complete non-interactive EXOTIC configuration is `output/inits.json`."
3bb9f0fb9708,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-16 b,KELT-16 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-16 b/output/AAVSO_KELT-16 b_07-08-2026.txt,0.002,1197.450,1205.480,1197.448,1205.481,0.750,0.450,2.986,2.150,24.396,414,"# KELT-16 b Transit Observation Report

## Observation Summary

The target was KELT-16 b, observed on 2026-07-08 UTC with the LCOGT 0.4-meter telescope at McDonald Observatory. The detector was a QHY600M CCD operated in 1×1 binning mode. The observation used a Johnson V filter, with 61.0-second exposures and a median cadence of approximately 63.5 seconds. EXOTIC processed 255 FITS frames spanning approximately 4.45 hours.

## Data Reduction

The FITS data were processed using the EXOTIC Standard notebook workflow and EXOTIC v4.3.1. The source FITS headers indicate that the LCOGT pipeline had already applied bias, dark, and flat-field corrections. No additional calibration directories were supplied to EXOTIC. Aperture photometry was performed using an optimized aperture radius of 3.71 pixels and an annulus radius of 10.07 pixels. Three comparison stars were selected from the AAVSO finder chart and FITS WCS catalog matching; AAVSO comparison star 119 was identified as the best comparison star. The differential light curve was detrended with airmass terms, and limb-darkening coefficients were calculated by EXOTIC using the Johnson V passband.

## Transit Results

The fitted mid-transit time is **BJD(TDB) = 2461229.8071 ± 0.0010**. The adopted orbital period is **0.968992962 ± 0.000000097 days**. EXOTIC measured a transit depth of **1.05 ± 0.056%**, corresponding to a fitted radius ratio of 0.1024 ± 0.0028. The fitted transit duration is **0.1018 ± 0.0025 days**, or approximately **2.44 ± 0.06 hours**. The residual scatter is **0.42%**. A depth-to-residual-scatter signal-to-noise proxy is approximately **2.5**; EXOTIC did not emit a separate formal SNR, BIC, or reduced-χ² statistic.

## Data Quality

The EXOTIC reduction completed successfully with return code 0. The posterior sampling diagnostics reported satisfactory effective sample size, posterior uncertainty convergence, and evidence uncertainty. The fitted inclination was 83.64 ± 1.4 degrees. Residual scatter is moderate relative to the transit depth, so the detection is best regarded as a low-to-moderate signal ground-based measurement. No saturation or execution errors were reported, although the fit quality is limited by the approximately 0.42% residual noise.

## Output Files

The primary light-curve and combined model-fit image is `FinalLightCurve_KELT-16 b_07-08-2026.png`. The corresponding PDF and extracted timeseries CSV are also available in the output directory. Final fitted parameters are stored in `temp/FinalParams_KELT-16 b_07-08-2026.json`, and the complete EXOTIC configuration is stored in `inits.json`."
b62c467e0c43,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-20 b,KELT-20 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-20 b/output/AAVSO_KELT-20 b_08-18-2023.txt,1.887,1135.000,1220.000,1136.163,1221.486,1.000,0.000,32.561,12.749,53.477,417,"# KELT-20 b Transit Observation Report

## Observation Summary

The target was KELT-20 b, observed on 2023-08-18 with the Exoplanet Watch 0.4-meter telescope using a CCD camera. The FITS headers indicate a Pan-STARRS z-short (`ZS`) filter, although the generated initialization file initially described the filter as open; the EXOTIC reduction was completed using `ZS`. The dataset contains 300 science FITS files with 9.999-second exposures. The median cadence derived from the final time series was approximately 13.0 seconds, and the usable time span was approximately 66.2 minutes.

## Data Reduction

EXOTIC v4.3.1 performed aperture photometry on the target and four comparison stars. No dark, bias, or flat calibration frames were present, so the reduction proceeded without those calibration products. A plate solution was successfully obtained using Astrometry.net. The optimal photometric aperture was 3.66 pixels with an 11.0-pixel sky annulus. Differential photometry was detrended using an airmass correction function. EXOTIC selected comparison star 1 at pixel coordinates `[598, 873]` as the best comparison star.

## Transit Results

The fitted mid-transit time is **BJD_TDB = 2460174.7017 ± 0.0011**. The adopted orbital period is **3.47410042 ± 0.00000022 days**. EXOTIC measured a transit depth of **0.0203 ± 0.0119**, equivalent to **2.03 ± 1.19%**, and a transit duration of **0.037 ± 0.017 days** (approximately 53 ± 24 minutes). The fitted radius ratio was 0.143 ± 0.042. The estimated depth-to-uncertainty ratio is approximately **S/N = 1.71**, indicating a weak detection.

## Data Quality

The final residual scatter was **0.68%**, with a derived reduced chi-squared of approximately **1.77**. The EXOTIC fit completed successfully and the nested-sampling diagnostics reported acceptable convergence. However, the large uncertainty on the transit depth and duration, together with the low estimated signal-to-noise ratio, means that the fitted transit parameters should be regarded as tentative rather than precision measurements. The fitted depth is also substantially uncertain relative to the published planetary prior. No BIC value was provided in the EXOTIC output.

## Output Files

The combined final light-curve and model visualization is available at:

`WORKSPACES/runs/20260807-122314-319-adab3e35/output/FinalLightCurve_KELT-20 b_08-18-2023.png`

The corresponding PDF, final light-curve CSV, extracted parameter JSON, AAVSO-format report, plate solution, and diagnostic plots are located in the same output directory, including `temp/FinalParams_KELT-20 b_08-18-2023.json` and `temp/FinalLightCurve_KELT-20 b_08-18-2023.csv`."
35f9728cc53f,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-7 b,KELT-7 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/KELT-7 b/output/AAVSO_KELT-7 b_01-07-2017.txt,1.760,734.000,541.000,734.566,542.666,0.500,2475.806,24.616,0.707,26.979,426,"# KELT-7 b Transit Observation Report

## Observation Summary

The target was KELT-7, observed on 2017-01-07 with the Exoplanet Watch 0.4-m telescope system, instrument `kb27`/`0m4-06`, using a CCD camera. The FITS headers identify an `ip` filter, while the reduction was treated as clear/unfiltered photometry for limb-darkening purposes. The dataset contains 130 science images. Individual exposures were approximately 3.086 seconds, with a median cadence of approximately 23 seconds based on the final time series.

## Data Reduction

EXOTIC processed the science images using aperture photometry with an optimized aperture radius of 6.89 pixels and an annulus radius of 10.17 pixels. No dark, bias, or flat calibration frames were present; these were intentionally left absent rather than substituting the science-image directory. Four comparison stars were supplied, with Comparison 2 at pixel coordinates `[956, 433]` selected by EXOTIC as the best comparison star. Image alignment and astrometric plate solving completed successfully using an Astrometry.net WCS solution. The light curve was normalized and modeled with airmass detrending and a transit model. Limb-darkening parameters were calculated with uncertainties using a customized 350–850 nm passband appropriate for clear photometry.

## Transit Results

The fitted mid-transit time is **BJD\_TDB 2457758.16271 ± 0.00097**. The adopted orbital period is **2.7347656 ± 0.0000002 days**. EXOTIC measured a transit depth of **0.87 ± 0.62%**, corresponding to a radius ratio of **Rp/R\* = 0.093 ± 0.033**. The fitted transit duration is **0.009 ± 0.010 days**, or approximately **13 ± 14 minutes**. A numerical SNR, BIC, and reduced χ² were not reported in the generated EXOTIC summary.

## Data Quality

The reduction completed successfully with return code 0, and all processed frames were flagged as usable by the plate-status output. However, the reported residual scatter is approximately **20.04%**, substantially larger than the fitted transit depth. The large uncertainty on the depth and duration indicates that this observation provides weak evidence for a precise transit measurement. Results should therefore be considered low-confidence and are not suitable for refining the KELT-7 b ephemeris without additional observations.

## Output Files

The principal light-curve plot is:

`WORKSPACES/runs/20260807-180549-031-09c69261/output/FinalLightCurve_KELT-7 b_01-07-2017.png`

The corresponding PDF, CSV time series, fitted-parameter JSON, WCS solution, field-of-view images, observing-statistics plots, and `inits.json` are located in the same output directory and its `temp` subdirectory. EXOTIC completed successfully and did not modify the read-only FITS input directory."
239a36f48b44,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-1 b,Qatar-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-1 b/output/AAVSO_Qatar-1 b_2026-08-03.txt,184.257,303.000,309.000,274.360,126.982,1.000,0.000,20.595,15.647,15.321,489,"# Qatar-1 b Transit Observation Report

## Observation Summary

The target was Qatar-1, hosting the exoplanet Qatar-1 b. The observation was obtained on 2026-08-03 from the Whipple Observatory in Arizona using the Cecilia telescope operated through MicroObservatory. The detector was a CCD operated with 2×2 pixel binning. The FITS headers report a clear filter, 60.0 s exposures, and 75 science frames. The effective cadence was approximately 180 s between successive measurements, with some shorter intervals in the sequence. The observation covered approximately 2.4 hours.

## Data Reduction

The EXOTIC Standard notebook workflow loaded and checked all 75 FITS images without modifying the read-only input directory. No dark, bias, or flat calibration directories were supplied, so the reduction proceeded without separate calibration-frame subtraction. Aperture photometry was performed on the target and four selected comparison-star positions. The target was identified using the AAVSO finder chart and FITS-image visual matching at pixel coordinates (303, 309). Two comparison stars were associated with AAVSO chart labels 129 and 135; two additional nearby unlabeled comparison positions were included. EXOTIC applied airmass-based detrending and fitted the normalized light curve with a transit model.

A complete non-interactive `inits.json` was generated before EXOTIC execution. EXOTIC completed successfully with return code 0.

## Transit Results

The fitted mid-transit time is **BJD\_TDB 2461256.7253 ± 0.0034**. The adopted orbital period is **1.420024443 ± 0.000000049 days**. The fitted transit depth is **0.0368 ± 0.0214**, or **3.68 ± 2.14%**. The fitted transit duration is **0.062 ± 0.024 days**, equivalent to approximately **1.49 ± 0.58 hours**. The radius ratio was 0.192 ± 0.056. A nominal depth-to-uncertainty signal-to-noise ratio is approximately **1.72**.

## Data Quality

The result should be regarded as a low-confidence transit measurement. EXOTIC reports residual scatter of **49.4%**, and no best comparison star was identified. The extracted normalized flux has large point-to-point variation relative to the fitted signal, indicating substantial photometric noise or imperfect comparison-star selection. No BIC or reduced χ² value was reported in the EXOTIC final-parameter output. Plate-status diagnostics showed no persistent out-of-frame, low-flux, sky-background, or FITS errors, although at least one frame had an alignment warning. The fitted depth is broadly consistent with the expected Qatar-1 b transit depth but has a large uncertainty.

## Output Files

The final light curve is available at `WORKSPACES/runs/20260806-141939-907-289134d2/output/FinalLightCurve_Qatar-1 b_2026-08-03.png`. The EXOTIC model/posterior visualization is `WORKSPACES/runs/20260806-141939-907-289134d2/output/temp/Triangle_Qatar-1 b_2026-08-03.png`. Parsed fitted parameters are stored in `temp/FinalParams_Qatar-1 b_2026-08-03.json`, the time-series data in `temp/FinalLightCurve_Qatar-1 b_2026-08-03.csv`, and the complete EXOTIC configuration in `inits.json`."
bab7d04cffc1,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-10 b,Qatar-10 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/Qatar-10 b/output/AAVSO_Qatar-10 b_07-15-2024.txt,0.498,932.000,1174.000,931.518,1173.875,0.500,2475.682,14.772,18.379,19.263,430,"# Qatar-10 b Transit Observation Report

## Observation Summary

The Qatar-10 b field was observed on 2024-07-15 with the Exoplanet Watch 0.4 m telescope system using a CCD camera. The dataset contains 140 FITS science images. The exposure time was 77 s, with an effective cadence of approximately 89 s based on consecutive BJD timestamps. The FITS header identifies an `rp` red-pass observation; EXOTIC reduced the data using a Johnson R-equivalent (`RJ`) limb-darkening band. The target was identified as Qatar-10 at RA 284.4439052° and Dec +69.5708373°.

## Data Reduction

The observations were processed with EXOTIC v4.3.1. No dark, bias, or flat-field calibration frames were present, so the reduction proceeded without calibration-frame correction. Aperture photometry was performed using an optimal aperture radius of 3.0 pixels and an annulus radius of 6.5 pixels. Four comparison-star coordinates were supplied from the AAVSO finder-chart and telescope-image identification workflow. EXOTIC applied an airmass-based detrending correction and generated a normalized differential light curve. Limb-darkening parameters were calculated by EXOTIC using the Johnson R band.

## Transit Results

The fitted mid-transit time is **BJD_TDB 2460506.949 ± 0.010**. The adopted orbital period is **1.64532652 ± 0.00000050 days**. The fitted transit depth is **2.98 ± 1.72%**, corresponding to a fitted radius ratio of 0.173 ± 0.050. The fitted transit duration is **0.113 ± 0.010 days** (approximately 2.71 ± 0.24 hours). EXOTIC did not report a formal SNR, BIC, or reduced χ² value for this run.

## Data Quality

EXOTIC completed successfully and produced the expected light-curve products. However, the residual scatter was **19.76%**, which is very large for precision transit photometry. EXOTIC reported no best comparison star, suggesting that the comparison ensemble did not provide a stable reference at the achieved data quality. The transit-depth uncertainty is correspondingly substantial, and the fitted depth should be treated as a low-confidence detection or preliminary measurement rather than a precision refinement of the published ephemeris. No calibration frames were available, and the observation was unfiltered/red-pass rather than obtained through a tightly characterized standard photometric band.

## Output Files

The principal light curve is `FinalLightCurve_Qatar-10 b_07-15-2024.png`, with the corresponding CSV timeseries located in the output `temp` directory. The EXOTIC posterior/model diagnostic is `Triangle_Qatar-10 b_07-15-2024.png`. Additional products include the AAVSO-format report, normalized-flux text file, plate-solution products, field-of-view images, observing-statistics plots, and the complete `inits.json` at the run output directory."
b53b22d18614,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-1 b,TrES-1 b,gpt-5.6-luna,OpenAI-compatible,ReAct,yes,ANONYMIZED_RESULTS/gpt-5.6-luna/ReAct/TrES-1 b/output/AAVSO_TrES-1 b_2026-08-02.txt,136.605,227.000,201.000,118.574,117.906,0.500,2475.675,22.882,17.938,24.702,455,"# TrES-1 b Transit Observation Report

## Observation Summary

The target was TrES-1, host star of TrES-1 b, observed on 2026-08-02 with the Cecilia telescope at Whipple Observatory through the MicroObservatory system. The instrument was a CCD camera operated with 2×2 pixel binning. The FITS headers report 60.0-second exposures and a Clear filter; EXOTIC exported the observation using its CV-filter convention. Ninety-one FITS frames were processed. The typical cadence was approximately 2.1–3.4 minutes per exposure, with the longer interval reflecting image acquisition and readout overhead.

## Data Reduction

EXOTIC v4.3.1 processed the read-only FITS dataset without modifying the input directory. No dark, bias, or flat calibration frames were supplied. Aperture photometry was performed on the target and four comparison-star positions selected from the rendered field and refined with EXOTIC’s plate solution. The final reduction used an optimal aperture of 7.16 pixels and an annulus of 8.13 pixels. The light curve was detrended using an airmass correction function and fitted with the transit model using the supplied TrES-1 b ephemeris and limb-darkening information calculated by EXOTIC.

## Transit Results

The fitted mid-transit time is **BJD(TDB) 2461255.8882 ± 0.0034**. The adopted orbital period is **3.030069476 ± 0.000000072 days**. EXOTIC measured a transit depth of **3.37 ± 1.95%**, corresponding to a radius ratio of **Rp/R\* = 0.184 ± 0.053**. The fitted transit duration is **0.1027 ± 0.0094 days**, or approximately **2.46 ± 0.23 hours**. The approximate depth-to-uncertainty signal-to-noise ratio is **1.73**, indicating a low-significance detection in this dataset.

## Data Quality

The reduction completed successfully and generated all expected EXOTIC products. However, the reported residual scatter is **92.54%**, and EXOTIC identified no single best comparison star. These values indicate substantial photometric noise or imperfect comparison-star behavior. Consequently, the fitted transit parameters—especially depth—should be treated as provisional and not as a high-confidence independent measurement. No BIC or reduced chi-squared value was reported in the EXOTIC final-parameter file. The plate-status output records the processed frames and does not indicate FITS errors, out-of-frame sources, or flagged low-flux measurements in the initial entries.

## Output Files

The primary light curve is `FinalLightCurve_TrES-1 b_2026-08-02.png`. The model-fit/posterior diagnostic is `temp/Triangle_TrES-1 b_2026-08-02.png`. The extracted fit parameters are in `temp/FinalParams_TrES-1 b_2026-08-02.json`; the numerical timeseries is `temp/FinalLightCurve_TrES-1 b_2026-08-02.csv`; and the complete EXOTIC configuration is `inits.json`. Additional field, centroid, observing-statistics, normalized-flux, plate-status, and AAVSO-export files are retained under the output directory."
