#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-13
#EXOPLANET_NAME=HAT-P-13 b
#BINNING=1x1
#EXPOSURE_TIME=20.0
#COMP_STAR-XC=null
#NOTES=LCOGT 0.4m at McDonald Observatory; SDSS-rp filter; 20s exp; 300 frames
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "620.0", "units": "nm"}, {"value": "700.0", "units": "nm"}]}
#PRIORS=Period=4.685457 +/- 1e-06,Rp/R*=0.1165 +/- 0.001,a/R*=8.37 +/- 0.1,inc=88.91 +/- 0.1,ecc=0.12,u0=2.381 +/- 0.025,u1=-4.313 +/- 0.098,u2=4.58 +/- 0.13,u3=-1.652 +/- 0.052
#PRIORS-XC={"Period": {"value": "4.685457", "uncertainty": "1e-06", "units": "days"}, "Rp/R*": {"value": "0.1165", "uncertainty": "0.001"}, "a/R*": {"value": "8.37", "uncertainty": "0.1"}, "inc": {"value": "88.91", "uncertainty": "0.1", "units": "degrees"}, "ecc": {"value": "0.12", "uncertainty": null}, "u0": {"value": "2.381", "uncertainty": "0.025"}, "u1": {"value": "-4.313", "uncertainty": "0.098"}, "u2": {"value": "4.58", "uncertainty": "0.13"}, "u3": {"value": "-1.652", "uncertainty": "0.052"}}
#RESULTS=Tc=2460662.778 +/- 0.019,Rp/R*=0.021 +/- 0.041,inc=88.48 +/- 1.77,Am1=1.0367 +/- 0.0077,Am2=-0.034 +/- 0.029
#RESULTS-XC={"Tc": {"value": "2460662.778", "uncertainty": "0.019", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.021", "uncertainty": "0.041"}, "inc": {"value": "88.48", "uncertainty": "1.77"}, "Am1": {"value": "1.0367", "uncertainty": "0.0077"}, "Am2": {"value": "-0.034", "uncertainty": "0.029"}, "Duration": {"value": "0.024", "uncertainty": "0.036", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460664.8879383,1.0002304,0.007509,1.0480896,0.9998598
2460664.88820491,1.004404,0.007509,1.0479618,0.9998642
2460664.88847153,1.0066238,0.007509,1.0478333,0.9998686
2460664.88872654,0.9987162,0.007509,1.0477096,0.9998729
2460664.88899785,1.0001727,0.007509,1.0475868,0.9998771
2460664.88925586,1.005158,0.007509,1.0474647,0.9998813
2460664.88952407,1.0048707,0.007509,1.0473445,0.9998854
2460664.88978358,1.0065426,0.007509,1.0472264,0.9998895
2460664.8900415,1.0091141,0.007509,1.0471091,0.9998936
2460664.89030821,1.0075497,0.007509,1.0469946,0.9998975
2460664.89057482,1.0054923,0.007509,1.0468837,0.9999013
2460664.89082983,1.0060083,0.007509,1.0467722,0.9999052
2460664.89135466,1.0021926,0.007509,1.0465545,0.9999127
2460664.89162137,1.0075245,0.007509,1.0464483,0.9999163
2460664.89188348,1.004114,0.007509,1.0463457,0.9999199
2460664.89215089,1.0110467,0.007509,1.0462419,0.9999235
2460664.8924137,0.9993756,0.007509,1.0461399,0.999927
2460664.89268022,1.0073384,0.007509,1.0460421,0.9999303
2460664.89293993,0.9987738,0.007509,1.0459464,0.9999336
2460664.89319504,1.0158153,0.007509,1.0458509,0.9999369
2460664.89346165,0.9872023,0.007509,1.0457594,0.9999401
2460664.89371676,0.9886889,0.007509,1.0456671,0.9999433
2460664.89398338,0.9972874,0.007509,1.0455775,0.9999464
2460664.89424699,0.9897333,0.007509,1.0454887,0.9999494
2460664.8945054,1.0076072,0.007509,1.0454032,0.9999524
2460664.89477411,1.0051768,0.0075091,1.045318,0.9999553
2460664.89502912,1.0099416,0.0075091,1.0452362,0.9999581
2460664.89529573,0.9978874,0.0075091,1.0451558,0.9999609
2460664.89555545,0.9950826,0.0075091,1.0450758,0.9999637
2460664.89582216,1.0081167,0.0075091,1.0449977,0.9999664
2460664.89607717,1.0007687,0.0075091,1.0449233,0.9999689
2460664.89634778,1.0007394,0.0075091,1.0448478,0.9999715
2460664.89660349,0.9987948,0.0075091,1.0447761,0.999974
2460664.89687011,1.0055412,0.0075091,1.0447054,0.9999764
2460664.89712572,0.9895596,0.0075091,1.0446366,0.9999788
2460664.89739243,0.997055,0.0075091,1.0445689,0.9999811
2460664.89765044,1.0051862,0.0075091,1.0445045,0.9999834
2460664.89791705,1.0020484,0.0075091,1.0444401,0.9999856
2460664.89818587,0.9993573,0.0075091,1.0443778,0.9999877
2460664.89847918,1.0056528,0.0075091,1.0443099,0.9999901
2460664.89874779,1.0042982,0.0075091,1.0442513,0.9999921
2460664.8990108,1.0109209,0.0075091,1.044195,0.999994
2460664.89926591,1.0056071,0.0075091,1.0441397,0.9999959
2460664.89952703,1.0056958,0.0075091,1.044087,0.9999978
2460664.89979364,1.0068876,0.0075091,1.0440355,0.9999995
2460664.90004865,1.0009177,0.0075091,1.0439866,1.0000012
2460664.90031866,1.00475,0.0075091,1.0439387,1.0000029
2460664.90057377,1.0078436,0.0075091,1.0438933,1.0000044
2460664.90083829,1.0078311,0.0075091,1.0438494,1.000006
2460664.9011081,0.988089,0.0075091,1.0438063,1.0000074
2460664.90136471,1.0014281,0.0075091,1.0437654,1.0000088
2460664.90162502,1.0131746,0.0075091,1.0437263,1.0000102
2460664.90189163,1.0101779,0.0075091,1.0436887,1.0000115
2460664.90215825,1.0123487,0.0075091,1.0436525,1.0000127
2460664.90242586,1.0088147,0.0075091,1.0436191,1.0000139
2460664.90268157,1.0015463,0.0075091,1.0435867,1.000015
