#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=KELT-7
#EXOPLANET_NAME=KELT-7 b
#BINNING=2x2
#EXPOSURE_TIME=1.452
#COMP_STAR-XC={"ra": "78.1381748001", "dec": "33.1393992039", "x": "1305.0", "y": "137.0"}
#NOTES=MicroObservatory 0.4m, KELT-7b transit observation, Jan 6 2017; CCD; ip filter; 3.086s exposure; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "748.0", "units": "nm"}, {"value": "873.0", "units": "nm"}]}
#PRIORS=Period=2.7347656 +/- 2e-07,Rp/R*=0.095964 +/- 9.8e-05,a/R*=5.53 +/- 0.04,inc=83.8 +/- 0.4,ecc=0.0,u0=3.063 +/- 0.03,u1=-5.56 +/- 0.12,u2=5.31 +/- 0.15,u3=-1.811 +/- 0.061
#PRIORS-XC={"Period": {"value": "2.7347656", "uncertainty": "2e-07", "units": "days"}, "Rp/R*": {"value": "0.095964", "uncertainty": "9.8e-05"}, "a/R*": {"value": "5.53", "uncertainty": "0.04"}, "inc": {"value": "83.8", "uncertainty": "0.4", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "3.063", "uncertainty": "0.03"}, "u1": {"value": "-5.56", "uncertainty": "0.12"}, "u2": {"value": "5.31", "uncertainty": "0.15"}, "u3": {"value": "-1.811", "uncertainty": "0.061"}}
#RESULTS=Tc=2457758.16546 +/- 0.00096,Rp/R*=0.12 +/- 0.035,inc=86.19 +/- 2.86,Am1=0.901 +/- 0.091,Am2=0.12 +/- 0.8
#RESULTS-XC={"Tc": {"value": "2457758.16546", "uncertainty": "0.00096", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.12", "uncertainty": "0.035"}, "inc": {"value": "86.19", "uncertainty": "2.86"}, "Am1": {"value": "0.901", "uncertainty": "0.091"}, "Am2": {"value": "0.12", "uncertainty": "0.8"}, "Duration": {"value": "0.022", "uncertainty": "0.0086", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2457760.79767153,0.9369474,0.1115812,1.0924443,1.0267745
2457760.79794092,1.0390383,0.1115816,1.0918573,1.0267027
2457760.79822481,0.8599328,0.1115822,1.0912031,1.0266226
2457760.7984871,1.1576513,0.1115826,1.0906432,1.026554
2457760.79902127,1.1150708,0.1115836,1.0894533,1.0264083
2457760.79931396,0.9779288,0.1115841,1.0887831,1.0263263
2457760.79958145,1.0216439,0.1115846,1.0882192,1.0262573
2457760.79995183,0.9821618,0.1115853,1.0873938,1.0261562
2457760.800577,1.0580644,0.1115863,1.0860673,1.0259939
2457760.8007973,0.9641214,0.1115868,1.0855697,1.025933
2457760.80106408,0.9327159,0.1115872,1.0850309,1.0258671
2457760.80128737,0.9192987,0.1115876,1.0845387,1.0258069
2457760.80154936,1.0886337,0.111588,1.0840056,1.0257417
2457760.80177495,0.8967875,0.1115884,1.0835224,1.0256825
2457760.80204214,1.1772111,0.1115889,1.0829696,1.0256149
2457760.80229783,0.9699277,0.1115893,1.0824289,1.0255488
2457760.80258842,1.1178649,0.1115898,1.0818536,1.0254784
2457760.8028439,0.9505594,0.1115902,1.081306,1.0254114
2457760.80313509,1.0473458,0.1115907,1.0807332,1.0253414
2457760.80337868,0.9537939,0.1115911,1.0802176,1.0252783
2457760.80364597,1.1377865,0.1115915,1.0796981,1.0252148
2457760.80391786,0.9351538,0.111592,1.079134,1.0251458
2457760.80417844,1.1065239,0.1115924,1.0786345,1.0250848
2457760.80442233,0.8766293,0.1115928,1.0781306,1.0250232
2457760.80476692,1.1737506,0.1115933,1.0774693,1.0249423
2457760.80504141,0.8974078,0.1115938,1.0769143,1.0248745
2457760.80535599,1.0953497,0.1115943,1.0763261,1.0248026
2457760.80562278,0.9267157,0.1115947,1.0757862,1.0247366
2457760.80591827,1.187383,0.1115951,1.0752377,1.0246696
2457760.80615466,0.9776851,0.1115955,1.0747637,1.0246117
2457760.80665874,0.8808062,0.1115963,1.0738056,1.0244946
2457760.80693252,1.1596972,0.1115967,1.0733153,1.0244347
2457760.80719751,1.0014616,0.1115971,1.0727942,1.024371
2457760.8074598,0.9439769,0.1115975,1.0723247,1.0243136
2457760.80775059,0.9308515,0.111598,1.0717685,1.0242457
2457760.80831966,1.0079534,0.1115988,1.0707257,1.0241183
2457760.80857495,1.1593898,0.1115992,1.0702777,1.0240636
2457760.80881634,0.9764447,0.1115995,1.0698251,1.0240083
2457760.80919852,1.1263528,0.1116001,1.0691598,1.0239271
2457760.80945481,1.0013528,0.1116005,1.0686781,1.0238682
2457760.8097754,1.1537165,0.1116009,1.0681315,1.0238015
2457760.81000519,0.9372367,0.1116013,1.0677099,1.02375
