BJD,Norm Flux,Norm Err,AM
2457760.79767153,0.9369474,0.111581,1.09
2457760.79794092,1.0390383,0.111582,1.09
2457760.79822481,0.8599328,0.111582,1.09
2457760.7984871,1.1576513,0.111583,1.09
2457760.79902127,1.1150708,0.111584,1.09
2457760.79931396,0.9779288,0.111584,1.09
2457760.79958145,1.0216439,0.111585,1.09
2457760.79995183,0.9821618,0.111585,1.09
2457760.800577,1.0580644,0.111586,1.09
2457760.8007973,0.9641214,0.111587,1.09
2457760.80106408,0.9327159,0.111587,1.09
2457760.80128737,0.9192987,0.111588,1.08
2457760.80154936,1.0886337,0.111588,1.08
2457760.80177495,0.8967875,0.111588,1.08
2457760.80204214,1.1772111,0.111589,1.08
2457760.80229783,0.9699277,0.111589,1.08
2457760.80258842,1.1178649,0.11159,1.08
2457760.8028439,0.9505594,0.11159,1.08
2457760.80313509,1.0473458,0.111591,1.08
2457760.80337868,0.9537939,0.111591,1.08
2457760.80364597,1.1377865,0.111592,1.08
2457760.80391786,0.9351538,0.111592,1.08
2457760.80417844,1.1065239,0.111592,1.08
2457760.80442233,0.8766293,0.111593,1.08
2457760.80476692,1.1737506,0.111593,1.08
2457760.80504141,0.8974078,0.111594,1.08
2457760.80535599,1.0953497,0.111594,1.08
2457760.80562278,0.9267157,0.111595,1.08
2457760.80591827,1.187383,0.111595,1.08
2457760.80615466,0.9776851,0.111596,1.07
2457760.80665874,0.8808062,0.111596,1.07
2457760.80693252,1.1596972,0.111597,1.07
2457760.80719751,1.0014616,0.111597,1.07
2457760.8074598,0.9439769,0.111598,1.07
2457760.80775059,0.9308515,0.111598,1.07
2457760.80831966,1.0079534,0.111599,1.07
2457760.80857495,1.1593898,0.111599,1.07
2457760.80881634,0.9764447,0.1116,1.07
2457760.80919852,1.1263528,0.1116,1.07
2457760.80945481,1.0013528,0.1116,1.07
2457760.8097754,1.1537165,0.111601,1.07
2457760.81000519,0.9372367,0.111601,1.07
2457760.81030287,1.2431171,0.111602,1.07
2457760.81057006,0.9555893,0.111602,1.07
2457760.81083525,0.9880801,0.111602,1.07
2457760.81118903,0.9986472,0.111603,1.07
2457760.81155232,1.0851295,0.111603,1.07
2457760.811911,0.8972993,0.111604,1.06
2457760.81225559,1.1189039,0.111604,1.06
2457760.81253437,0.9473781,0.111605,1.06
2457760.81284396,1.1195318,0.111605,1.06
2457760.81306165,0.9000148,0.111605,1.06
2457760.81329664,1.0630995,0.111606,1.06
2457760.81359433,1.0276632,0.111606,1.06
2457760.81397651,1.1301334,0.111607,1.06
2457760.8142436,1.0043604,0.111607,1.06
2457760.81461888,1.0483618,0.111607,1.06
2457760.81487937,0.8788402,0.111608,1.06
2457760.81516496,0.9881332,0.111608,1.06
2457760.81541375,0.989401,0.111609,1.06
2457760.81577153,1.2117164,0.111609,1.06
2457760.81621611,0.9865997,0.11161,1.06
2457760.8164578,1.1770666,0.11161,1.06
2457760.81673709,0.9278417,0.11161,1.06
2457760.81743566,1.0769012,0.111611,1.06
2457760.81777034,0.9765804,0.111611,1.06
2457760.81806053,1.0486754,0.111612,1.05
2457760.81847241,0.9618655,0.111612,1.05
2457760.81889669,1.2330213,0.111613,1.05
2457760.81921118,0.9468156,0.111613,1.05
2457760.81944837,1.0662439,0.111613,1.05
2457760.82005934,0.9074741,0.111614,1.05
2457760.82036843,1.1397783,0.111614,1.05
2457760.82060481,0.9732457,0.111615,1.05
2457760.8209098,1.1700718,0.111615,1.05
2457760.82123059,1.0176932,0.111615,1.05
2457760.82150318,1.2724757,0.111616,1.05
2457760.82188956,0.8902243,0.111616,1.05
2457760.82217064,1.1061676,0.111616,1.05
