#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-65
#EXOPLANET_NAME=WASP-65 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": "133.284599312", "dec": "8.61109308797", "x": "1367.0", "y": "1575.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Exoplanet Watch .4 Meter; camera type=CCD; first image=lsc0m476-sq34-20260312-0086-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=SR
#FILTER-XC={"name": "SR", "desc": "Sloan r", "fwhm": [{"value": "553.1", "units": "nm"}, {"value": "693.1", "units": "nm"}]}
#PRIORS=Period=2.3114205 +/- 1.7e-07,Rp/R*=0.12237 +/- 0.0002,a/R*=7.11 +/- 0.1,inc=88.8 +/- 0.75,ecc=0.016,u0=2.024 +/- 0.017,u1=-3.484 +/- 0.07,u2=3.863 +/- 0.09,u3=-1.403 +/- 0.038
#PRIORS-XC={"Period": {"value": "2.3114205", "uncertainty": "1.7e-07", "units": "days"}, "Rp/R*": {"value": "0.12237", "uncertainty": "0.0002"}, "a/R*": {"value": "7.11", "uncertainty": "0.1"}, "inc": {"value": "88.8", "uncertainty": "0.75", "units": "degrees"}, "ecc": {"value": "0.016", "uncertainty": null}, "u0": {"value": "2.024", "uncertainty": "0.017"}, "u1": {"value": "-3.484", "uncertainty": "0.07"}, "u2": {"value": "3.863", "uncertainty": "0.09"}, "u3": {"value": "-1.403", "uncertainty": "0.038"}}
#RESULTS=Tc=2461112.60135 +/- 0.00075,Rp/R*=0.1165 +/- 0.004,inc=87.66 +/- 0.63,Am1=0.9964 +/- 0.0037,Am2=0.0024 +/- 0.0055
#RESULTS-XC={"Tc": {"value": "2461112.60135", "uncertainty": "0.00075", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1165", "uncertainty": "0.004"}, "inc": {"value": "87.66", "uncertainty": "0.63"}, "Am1": {"value": "0.9964", "uncertainty": "0.0037"}, "Am2": {"value": "0.0024", "uncertainty": "0.0055"}, "Duration": {"value": "0.11", "uncertainty": "0.0023", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461112.50333798,1.0093997,0.0041356,1.5798228,1.0002335
2461112.50405664,0.9975613,0.0041354,1.5743627,1.0002204
2461112.5047869,1.0000748,0.0041353,1.5689453,1.0002074
2461112.50551695,1.0051054,0.0041352,1.5636291,1.0001946
2461112.50623981,1.0020959,0.004135,1.5584119,1.0001821
2461112.50695847,0.9994936,0.0041349,1.5532669,1.0001697
2461112.50768862,1.0020603,0.0041348,1.5481901,1.0001575
2461112.50841888,0.9966208,0.0041347,1.5431366,1.0001454
2461112.50913754,0.9953245,0.0041345,1.5381522,1.0001334
2461112.50986769,0.9993863,0.0041344,1.5332354,1.0001216
2461112.51059785,0.9984706,0.0041343,1.5283858,1.00011
2461112.51132811,0.9942623,0.0041342,1.5236229,1.0000986
2461112.51205836,1.0058014,0.0041341,1.5189219,1.0000873
2461112.51278852,1.0043125,0.0041339,1.514237,1.000076
2461112.51351887,0.997959,0.0041338,1.5096609,1.000065
2461112.51423743,0.9958554,0.0041337,1.5051297,1.0000542
2461112.51496789,0.9995347,0.0041336,1.5007018,1.0000435
2461112.51569814,1.0078786,0.0041335,1.4962921,1.0000329
2461112.5164168,1.0007154,0.0041334,1.4919674,1.0000226
2461112.51786581,1.0031582,0.0041332,1.4835362,1.0000023
2461112.51858437,1.0083205,0.0041331,1.4793689,0.9999923
2461112.51931453,0.996338,0.004133,1.4752968,0.9999825
2461112.52003318,1.0077549,0.0041329,1.4712809,0.9999729
2461112.52076344,1.0040551,0.0041328,1.4673003,0.9999634
2461112.5214821,1.0033931,0.0041327,1.4633739,0.9999539
2461112.52221235,1.0077907,0.0041326,1.4594855,0.9999446
2461112.52294261,0.9997813,0.0041325,1.45567,0.9999354
2461112.52369606,0.9934205,0.0041324,1.4517771,0.9999261
2461112.52441482,1.0033355,0.0041323,1.4480687,0.9999172
2461112.52514498,0.9991349,0.0041322,1.4443959,0.9999084
2461112.52586363,0.9963161,0.0041321,1.44081,0.9998998
2461112.52731245,1.0024798,0.004132,1.4337878,0.9998829
2461112.5280313,1.0016109,0.0041319,1.4303313,0.9998746
2461112.52879646,1.0003896,0.0041318,1.4267587,0.999866
2461112.52951511,0.9982091,0.0041317,1.4234212,0.999858
2461112.53024537,1.0029306,0.0041316,1.4201189,0.9998501
2461112.53096403,0.9957189,0.0041315,1.4168778,0.9998423
2461112.53168268,1.0001042,0.0041315,1.4136807,0.9998346
2461112.53241294,1.0059356,0.0041314,1.4105335,0.9998271
2461112.5331315,1.0012148,0.0041313,1.4073998,0.9998196
2461112.53386185,1.0034147,0.0041312,1.4043286,0.9998122
2461112.53458051,0.9958803,0.0041312,1.4013049,0.9998049
2461112.53531067,1.0057209,0.0041311,1.3983393,0.9997978
2461112.53602952,1.000488,0.004131,1.3954025,0.9997908
2461112.53679458,1.0039492,0.0041309,1.3923544,0.9997835
2461112.53751323,0.9962897,0.0041309,1.3895216,0.9997767
2461112.53824339,1.0031797,0.0041308,1.3867189,0.9997699
2461112.53896215,0.9939781,0.0041307,1.3839736,0.9997633
2461112.5396808,0.9960094,0.0041307,1.381269,0.9997569
2461112.54041096,1.0026963,0.0041306,1.378608,0.9997505
2461112.54112962,1.0011237,0.0041305,1.3759752,0.9997441
2461112.54184837,0.9985401,0.0041305,1.3733972,0.999738
2461112.54257863,0.9960346,0.0041304,1.3708353,0.9997318
2461112.54330888,1.001501,0.0041304,1.3683138,0.9997258
2461112.54402754,0.9922792,0.0041303,1.3658563,0.9997199
2461112.5447461,1.0019532,0.0041302,1.3634374,0.9997141
2461112.54547635,1.0003179,0.0041302,1.3610347,0.9997083
2461112.54619511,1.0000428,0.0041301,1.3586949,0.9997027
2461112.54692527,0.9958132,0.0041301,1.3563923,0.9996972
2461112.54764402,0.9997039,0.00413,1.3541057,0.9996917
2461112.54837418,1.0050243,0.0041299,1.3518712,0.9996863
2461112.54910444,1.0008133,0.0041299,1.3496645,0.999681
2461112.54984619,0.9947262,0.0041298,1.3474646,0.9996757
2461112.55056485,0.9924101,0.0041298,1.3453468,0.9996706
2461112.5512837,0.9966505,0.0041297,1.3432749,0.9996657
2461112.55201396,0.9979171,0.0041297,1.3412308,0.9996608
2461112.55273262,0.99407,0.0041296,1.3392319,0.999656
2461112.55346287,0.9926867,0.0041296,1.3372485,0.9996512
2461112.55418153,0.9900143,0.0041295,1.3353107,0.9996466
2461112.55491169,0.9886782,0.0041295,1.3334094,0.999642
2461112.55564184,0.9864174,0.0041294,1.331536,0.9996375
2461112.5563607,0.9904736,0.0041294,1.3297088,0.9996331
2461112.55707935,0.9929204,0.0041294,1.327924,0.9996288
2461112.55780981,0.9874858,0.0041293,1.3261659,0.9996246
2461112.55852867,0.9823569,0.0041293,1.3244432,0.9996205
2461112.55925892,0.9910928,0.0041292,1.3227554,0.9996164
2461112.55997768,0.9912751,0.0041292,1.3210931,0.9996124
2461112.56074273,0.9862208,0.0041291,1.319385,0.9996083
2461112.56147299,0.9857873,0.0041291,1.3178076,0.9996046
2461112.56219165,0.9805761,0.0041291,1.3162502,0.9996008
2461112.5629451,0.9811864,0.004129,1.3146747,0.999597
