#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-183
#EXOPLANET_NAME=WASP-183 b
#BINNING=1x1
#EXPOSURE_TIME=70.0
#COMP_STAR-XC=null
#NOTES=Generated by ExoAgent. Dataset from MicroObservatory. Final corrected version.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=SR
#FILTER-XC={"name": "SR", "desc": "Sloan r", "fwhm": [{"value": "553.1", "units": "nm"}, {"value": "693.1", "units": "nm"}]}
#PRIORS=Period=4.1117634 +/- 5.1e-06,Rp/R*=0.15 +/- 0.015,a/R*=11.44 +/- 0.54,inc=85.37 +/- 0.73,ecc=0.0,u0=1.92 +/- 0.017,u1=-3.218 +/- 0.07,u2=3.62 +/- 0.09,u3=-1.322 +/- 0.037
#PRIORS-XC={"Period": {"value": "4.1117634", "uncertainty": "5.1e-06", "units": "days"}, "Rp/R*": {"value": "0.15", "uncertainty": "0.015"}, "a/R*": {"value": "11.44", "uncertainty": "0.54"}, "inc": {"value": "85.37", "uncertainty": "0.73", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.92", "uncertainty": "0.017"}, "u1": {"value": "-3.218", "uncertainty": "0.07"}, "u2": {"value": "3.62", "uncertainty": "0.09"}, "u3": {"value": "-1.322", "uncertainty": "0.037"}}
#RESULTS=Tc=2460764.813 +/- 0.0061,Rp/R*=0.1862 +/- 0.0083,inc=85.65 +/- 1.23,Am1=0.266 +/- 0.03,Am2=1.09 +/- 0.046
#RESULTS-XC={"Tc": {"value": "2460764.813", "uncertainty": "0.0061", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1862", "uncertainty": "0.0083"}, "inc": {"value": "85.65", "uncertainty": "1.23"}, "Am1": {"value": "0.266", "uncertainty": "0.03"}, "Am2": {"value": "1.09", "uncertainty": "0.046"}, "Duration": {"value": "0.045", "uncertainty": "0.021", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460764.80829057,0.8288395,0.0290027,1.1727018,0.9537052
2460764.80913664,0.7859757,0.0290028,1.1700067,0.9509067
2460764.80997121,0.830328,0.029003,1.1673561,0.9481623
2460764.81081728,0.7650618,0.0290031,1.1647503,0.9454721
2460764.81166344,0.6976724,0.0290032,1.1622002,0.9428468
2460764.81250951,0.651583,0.0290034,1.1596944,0.9402742
2460764.81423704,0.7173617,0.0290036,1.1546503,0.9351169
2460764.81508381,0.8487203,0.0290037,1.1522657,0.9326886
2460764.81591918,0.8873073,0.0290039,1.1499242,0.9303103
2460764.81676585,0.9274378,0.029004,1.1476435,0.9279997
2460764.81760112,0.9295218,0.0290041,1.1453847,0.9257169
2460764.81844798,0.8644976,0.0290042,1.1431664,0.9234804
2460764.81929485,0.8415131,0.0290043,1.1409883,0.9212898
2460764.82013012,0.9076033,0.0290044,1.1388592,0.9191535
2460764.82097689,0.937324,0.0290045,1.1367712,0.9170632
2460764.82181215,0.9538996,0.0290046,1.1347178,0.9150122
2460764.82265892,0.9467028,0.0290047,1.1326994,0.9130006
2460764.82349409,0.9512473,0.0290048,1.1307307,0.9110428
2460764.82434096,0.9589077,0.0290049,1.1287925,0.9091195
2460764.82518782,0.9403424,0.029005,1.1268959,0.9072413
2460764.82602299,0.9252014,0.0290051,1.1250341,0.9054014
2460764.82686986,0.8786547,0.0290052,1.1232102,0.9036026
2460764.82770513,0.8889859,0.0290053,1.1214266,0.901847
2460764.82855269,0.8722567,0.0290054,1.1196771,0.9001282
2460764.82939876,0.9119235,0.0290055,1.1179603,0.8984448
2460764.83026803,0.8980661,0.0290055,1.116228,0.8967493
2460764.8311141,0.7901704,0.0290056,1.114589,0.8951481
2460764.83194856,0.8585061,0.0290057,1.1130012,0.8935997
2460764.83279463,0.7349745,0.0290058,1.1114357,0.8920756
2460764.83447527,0.7024943,0.0290059,1.1084233,0.8891502
2460764.83530973,0.7555222,0.029006,1.106965,0.8877375
2460764.8361558,0.7558474,0.0290061,1.105541,0.8863602
2460764.83700187,0.7715602,0.0290061,1.1041629,0.8850293
2460764.83783634,0.7657154,0.0290062,1.1028078,0.8837225
2460764.8386824,0.7923871,0.0290063,1.1014873,0.882451
2460764.83952867,0.8134281,0.0290063,1.1002017,0.8812149
2460764.84036314,0.8300082,0.0290064,1.0989498,0.8800128
2460764.84120931,0.8792432,0.0290065,1.0977325,0.8788455
2460764.84210177,0.9298954,0.0290065,1.0964801,0.8776462
2460764.84293694,0.9566096,0.0290066,1.0953318,0.876548
2460764.84378391,0.9725372,0.0290066,1.0942167,0.8754828
2460764.84463067,0.9711077,0.0290067,1.0931352,0.874451
2460764.84546594,0.9873836,0.0290068,1.0920861,0.8734513
2460764.84631271,1.002483,0.0290068,1.09107,0.8724841
2460764.84715957,0.9648342,0.0290069,1.0900868,0.8715492
2460764.84799484,0.9942869,0.0290069,1.089136,0.8706461
2460764.84884161,0.9789856,0.0290069,1.0882179,0.869775
2460764.84968848,0.9770455,0.029007,1.0873321,0.8689353
2460764.85052374,0.9743843,0.029007,1.0864786,0.868127
2460764.85137051,0.9392668,0.0290071,1.0856564,0.8673491
