BJD,Norm Flux,Norm Err,AM
2460943.55443503,0.9960846,0.004024,1.11
2460943.55461022,1.0040968,0.004024,1.11
2460943.55477261,0.9938877,0.004024,1.11
2460943.5549473,0.9983156,0.004024,1.11
2460943.55511339,1.0073656,0.004024,1.11
2460943.55528247,0.9968581,0.004024,1.11
2460943.55545636,0.9963111,0.004024,1.11
2460943.55561925,1.0026603,0.004024,1.11
2460943.55579314,0.9996704,0.004024,1.11
2460943.55595653,0.999108,0.004024,1.11
2460943.55612951,1.000903,0.004024,1.11
2460943.5562918,1.0027398,0.004024,1.11
2460943.55646569,1.0076476,0.004024,1.11
2460943.55662928,1.0015395,0.004024,1.11
2460943.55680357,1.0040366,0.004024,1.11
2460943.55696845,0.995926,0.004024,1.11
2460943.55714404,0.9993892,0.004024,1.11
2460943.55730633,0.9999804,0.004024,1.11
2460943.55748222,1.0005049,0.004024,1.11
2460943.55781959,0.9979096,0.004024,1.11
2460943.55798188,1.0022426,0.004024,1.11
2460943.55815577,0.9963699,0.004024,1.11
2460943.55832446,1.0013086,0.004024,1.11
2460943.55849225,1.0034286,0.004024,1.11
2460943.55865464,0.9963918,0.004024,1.11
2460943.55882852,1.0026227,0.004024,1.11
2460943.55899351,0.9972496,0.004024,1.11
2460943.5591674,0.9963256,0.004024,1.11
2460943.55933019,0.9998419,0.004024,1.11
2460943.55950638,0.9918734,0.004024,1.11
2460943.55967066,1.0035971,0.004024,1.11
2460943.55984515,0.9998404,0.004024,1.11
2460943.56000744,0.9986515,0.004024,1.11
2460943.56017663,0.9929738,0.004024,1.11
2460943.56035142,0.9970531,0.004024,1.11
2460943.5605155,1.0009096,0.004024,1.11
2460943.56068939,1.0039827,0.004024,1.11
2460943.56086328,1.0019406,0.004024,1.11
2460943.56103117,1.001453,0.004024,1.11
2460943.56120505,1.0035521,0.004024,1.11
2460943.56136874,1.0016175,0.004024,1.11
2460943.56154693,1.0028064,0.004024,1.11
2460943.56171802,1.0049927,0.004024,1.11
2460943.56189191,1.0053506,0.004024,1.11
2460943.56206579,1.0112055,0.004024,1.11
2460943.56222808,0.9980529,0.004024,1.11
2460943.56240237,0.9987998,0.004024,1.1
2460943.56274834,1.0002243,0.004024,1.1
2460943.56291253,0.9973802,0.004024,1.1
2460943.56307682,0.993624,0.004024,1.1
