#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-43
#EXOPLANET_NAME=WASP-43 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=MicroObservatory .4m telescope, CCD camera, 60s exposure, rp filter (Sloan r' equivalent). No calibration frames available. Target and comparison stars identified via catalog matching.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=SR
#FILTER-XC={"name": "SR", "desc": "Sloan r", "fwhm": [{"value": "553.1", "units": "nm"}, {"value": "693.1", "units": "nm"}]}
#PRIORS=Period=0.0263225 +/- 2e-07,Rp/R*=0.1086 +/- 0.002,a/R*=1.327 +/- 0.003,inc=88.78 +/- 0.15,ecc=0.0,u0=-0.77 +/- 0.11,u1=4.96 +/- 0.47,u2=-5.45 +/- 0.63,u3=2.26 +/- 0.27
#PRIORS-XC={"Period": {"value": "0.0263225", "uncertainty": "2e-07", "units": "days"}, "Rp/R*": {"value": "0.1086", "uncertainty": "0.002"}, "a/R*": {"value": "1.327", "uncertainty": "0.003"}, "inc": {"value": "88.78", "uncertainty": "0.15", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "-0.77", "uncertainty": "0.11"}, "u1": {"value": "4.96", "uncertainty": "0.47"}, "u2": {"value": "-5.45", "uncertainty": "0.63"}, "u3": {"value": "2.26", "uncertainty": "0.27"}}
#RESULTS=Tc=2461111.7971 +/- 0.0042,Rp/R*=0.032 +/- 0.014,inc=87.78 +/- 1.79,Am1=1.111 +/- 0.012,Am2=-0.0846 +/- 0.005
#RESULTS-XC={"Tc": {"value": "2461111.7971", "uncertainty": "0.0042", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.032", "uncertainty": "0.014"}, "inc": {"value": "87.78", "uncertainty": "1.79"}, "Am1": {"value": "1.111", "uncertainty": "0.012"}, "Am2": {"value": "-0.0846", "uncertainty": "0.005"}, "Duration": {"value": "0.038", "uncertainty": "0.0064", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461111.67574719,1.0048075,0.0111648,1.0692252,1.0152512
2461111.67646578,1.016148,0.0111645,1.0696198,1.0152173
2461111.67719617,1.0202224,0.0111642,1.0700374,1.0151815
2461111.67792646,1.0200565,0.0111638,1.0704738,1.015144
2461111.67869174,1.0247622,0.0111634,1.0709531,1.0151028
2461111.68014062,1.0001274,0.0111625,1.071933,1.0150187
2461111.68087091,1.0192602,0.0111621,1.0724549,1.0149739
2461111.6816012,1.0084026,0.0111616,1.0729987,1.0149272
2461111.68233148,1.0176213,0.0111611,1.0735609,1.014879
2461111.68305037,1.0129818,0.0111606,1.0741439,1.0148289
2461111.68378066,1.0002699,0.0111601,1.0747477,1.0147771
2461111.68449935,1.0077535,0.0111596,1.0753664,1.014724
2461111.68521814,1.0092506,0.011159,1.0760086,1.0146689
2461111.68593673,1.0085305,0.0111584,1.0766721,1.0146119
2461111.68666701,1.006217,0.0111579,1.0773565,1.0145532
2461111.6873858,1.0034947,0.0111572,1.0780688,1.0144921
2461111.68811619,1.0196604,0.0111566,1.078803,1.0144291
2461111.68884638,1.0179087,0.011156,1.0795508,1.0143649
2461111.68956507,1.0149715,0.0111553,1.0803195,1.014299
2461111.69028365,1.0043373,0.0111546,1.0811144,1.0142308
2461111.69101414,1.0140876,0.0111539,1.0819314,1.0141607
2461111.69179103,1.0101815,0.0111532,1.0828314,1.0140835
2461111.69250982,1.0154442,0.0111524,1.0836887,1.01401
2461111.69324001,1.015877,0.0111517,1.0845672,1.0139347
2461111.69395869,1.0109254,0.0111509,1.0854666,1.0138575
2461111.69468918,1.0094888,0.0111501,1.0863969,1.0137778
2461111.69540787,1.024989,0.0111493,1.0873449,1.0136965
2461111.69613816,1.0188796,0.0111484,1.0883248,1.0136125
2461111.69686835,1.017206,0.0111476,1.0893122,1.0135278
2461111.69758713,1.0212147,0.0111467,1.0903316,1.0134405
2461111.69831742,1.0129516,0.0111458,1.0913739,1.0133511
2461111.69903611,1.0144911,0.0111449,1.0924297,1.0132606
2461111.6997664,1.0270677,0.011144,1.093508,1.0131682
2461111.70048509,1.0150156,0.011143,1.0946137,1.0130735
2461111.70121537,1.0270386,0.0111421,1.095742,1.0129768
2461111.70193406,1.0074283,0.0111411,1.0968932,1.0128782
2461111.70266435,1.0186161,0.0111401,1.0980631,1.012778
2461111.70338304,1.0216322,0.0111391,1.0992501,1.0126763
2461111.70410183,1.0329734,0.011138,1.1004768,1.0125712
2461111.70484361,1.0117566,0.0111369,1.1017393,1.0124631
2461111.7055623,1.0234706,0.0111359,1.1030011,1.0123551
