BJD,Norm Flux,Norm Err,AM
2461111.67574719,1.0048075,0.011165,1.07
2461111.67646578,1.016148,0.011165,1.07
2461111.67719617,1.0202224,0.011164,1.07
2461111.67792646,1.0200565,0.011164,1.07
2461111.67869174,1.0247622,0.011163,1.07
2461111.68014062,1.0001274,0.011163,1.07
2461111.68087091,1.0192602,0.011162,1.07
2461111.6816012,1.0084026,0.011162,1.07
2461111.68233148,1.0176213,0.011161,1.07
2461111.68305037,1.0129818,0.011161,1.07
2461111.68378066,1.0002699,0.01116,1.07
2461111.68449935,1.0077535,0.01116,1.08
2461111.68521814,1.0092506,0.011159,1.08
2461111.68593673,1.0085305,0.011158,1.08
2461111.68666701,1.006217,0.011158,1.08
2461111.6873858,1.0034947,0.011157,1.08
2461111.68811619,1.0196604,0.011157,1.08
2461111.68884638,1.0179087,0.011156,1.08
2461111.68956507,1.0149715,0.011155,1.08
2461111.69028365,1.0043373,0.011155,1.08
2461111.69101414,1.0140876,0.011154,1.08
2461111.69179103,1.0101815,0.011153,1.08
2461111.69250982,1.0154442,0.011152,1.08
2461111.69324001,1.015877,0.011152,1.08
2461111.69395869,1.0109254,0.011151,1.09
2461111.69468918,1.0094888,0.01115,1.09
2461111.69540787,1.024989,0.011149,1.09
2461111.69613816,1.0188796,0.011148,1.09
2461111.69686835,1.017206,0.011148,1.09
2461111.69758713,1.0212147,0.011147,1.09
2461111.69831742,1.0129516,0.011146,1.09
2461111.69903611,1.0144911,0.011145,1.09
2461111.6997664,1.0270677,0.011144,1.09
2461111.70048509,1.0150156,0.011143,1.09
2461111.70121537,1.0270386,0.011142,1.1
2461111.70193406,1.0074283,0.011141,1.1
2461111.70266435,1.0186161,0.01114,1.1
2461111.70338304,1.0216322,0.011139,1.1
2461111.70410183,1.0329734,0.011138,1.1
2461111.70484361,1.0117566,0.011137,1.1
2461111.7055623,1.0234706,0.011136,1.1
2461111.70629269,1.0178412,0.011135,1.1
2461111.70701138,1.021139,0.011134,1.11
2461111.70774187,1.0231069,0.011132,1.11
2461111.70847215,1.0179069,0.011131,1.11
2461111.70919084,1.0281295,0.01113,1.11
2461111.70990953,1.0270678,0.011129,1.11
2461111.71063972,1.0275331,0.011128,1.11
2461111.71135841,1.0190413,0.011126,1.11
2461111.71207749,1.0202661,0.011125,1.12
2461111.71279628,1.0163186,0.011124,1.12
2461111.71352657,1.0160487,0.011123,1.12
2461111.71424546,1.0247576,0.011121,1.12
2461111.71497575,1.0276793,0.01112,1.12
2461111.71642502,1.0181574,0.011117,1.12
2461111.71714361,1.024993,0.011116,1.13
2461111.7178741,1.024572,0.011114,1.13
2461111.71860439,1.0048112,0.011113,1.13
2461111.71932307,1.0045118,0.011111,1.13
2461111.72005336,1.0076957,0.01111,1.13
2461111.72078365,1.0098185,0.011108,1.14
2461111.72151384,1.0034599,0.011107,1.14
2461111.72223272,0.9977169,0.011105,1.14
2461111.72296321,1.0079465,0.011103,1.14
2461111.7236935,0.9988136,0.011102,1.14
