#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-43
#EXOPLANET_NAME=WASP-43 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=lsc0m476-sq34-20260311-0122-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=SR
#FILTER-XC={"name": "SR", "desc": "Sloan r", "fwhm": [{"value": "553.1", "units": "nm"}, {"value": "693.1", "units": "nm"}]}
#PRIORS=Period=0.81347407 +/- 2e-08,Rp/R*=0.15854 +/- 0.00079,a/R*=4.86 +/- 0.01,inc=82.133 +/- 0.001,ecc=0.0062,u0=1.553 +/- 0.011,u1=-2.374 +/- 0.045,u2=2.797 +/- 0.059,u3=-0.976 +/- 0.025
#PRIORS-XC={"Period": {"value": "0.81347407", "uncertainty": "2e-08", "units": "days"}, "Rp/R*": {"value": "0.15854", "uncertainty": "0.00079"}, "a/R*": {"value": "4.86", "uncertainty": "0.01"}, "inc": {"value": "82.133", "uncertainty": "0.001", "units": "degrees"}, "ecc": {"value": "0.0062", "uncertainty": null}, "u0": {"value": "1.553", "uncertainty": "0.011"}, "u1": {"value": "-2.374", "uncertainty": "0.045"}, "u2": {"value": "2.797", "uncertainty": "0.059"}, "u3": {"value": "-0.976", "uncertainty": "0.025"}}
#RESULTS=Tc=2461111.7462 +/- 0.0029,Rp/R*=0.197 +/- 0.057,inc=86.79 +/- 2.75,Am1=1.13 +/- 0.44,Am2=-0.1 +/- 0.17
#RESULTS-XC={"Tc": {"value": "2461111.7462", "uncertainty": "0.0029", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.197", "uncertainty": "0.057"}, "inc": {"value": "86.79", "uncertainty": "2.75"}, "Am1": {"value": "1.13", "uncertainty": "0.44"}, "Am2": {"value": "-0.1", "uncertainty": "0.17"}, "Duration": {"value": "0.061", "uncertainty": "0.0049", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461111.67574718,1.5226839,0.4937238,1.0692252,1.0154069
2461111.67646577,1.2758717,0.4935381,1.0696198,1.0153677
2461111.67719616,0.7143232,0.4933417,1.0700374,1.0153263
2461111.67792645,1.2279767,0.4931365,1.0704738,1.015283
2461111.67869174,1.5982582,0.4929113,1.0709531,1.0152354
2461111.68014061,1.5595752,0.4924511,1.071933,1.0151382
2461111.68160119,1.1490277,0.4919511,1.0729987,1.0150325
2461111.68233148,1.4802289,0.4916875,1.0735609,1.0149767
2461111.68305036,0.7177889,0.4914143,1.0741439,1.0149189
2461111.68378065,0.0342216,0.4911316,1.0747477,1.014859
2461111.68449934,1.0809873,0.490842,1.0753664,1.0147976
2461111.68521813,1.2201172,0.4905416,1.0760086,1.014734
2461111.68593672,1.0653439,0.4902315,1.0766721,1.0146682
2461111.686667,0.2598141,0.4899118,1.0773565,1.0146003
2461111.68738579,0.0007602,0.4895792,1.0780688,1.0145297
2461111.68811618,0.9807952,0.4892367,1.078803,1.0144569
2461111.68884637,0.9285332,0.4888881,1.0795508,1.0143827
2461111.68956506,1.4684312,0.48853,1.0803195,1.0143065
2461111.69028365,0.6795618,0.48816,1.0811144,1.0142278
2461111.69101413,1.1877852,0.48778,1.0819314,1.0141468
2461111.69179102,1.2048731,0.4873617,1.0828314,1.0140576
2461111.69250981,0.9994478,0.4869636,1.0836887,1.0139726
2461111.69395869,0.9788962,0.486139,1.0854666,1.0137965
2461111.69468917,1.057002,0.4857081,1.0863969,1.0137043
2461111.69613815,0.9840941,0.4848163,1.0883248,1.0135133
2461111.69686834,1.131026,0.4843602,1.0893122,1.0134155
2461111.69758713,0.9359522,0.4838898,1.0903316,1.0133146
2461111.69831741,1.0921217,0.4834093,1.0913739,1.0132114
2461111.6990361,0.7987359,0.482923,1.0924297,1.0131068
2461111.69976639,0.7821193,0.4824269,1.093508,1.0130001
2461111.70048508,0.9672331,0.4819187,1.0946137,1.0128906
2461111.70121537,1.8556337,0.4814006,1.095742,1.0127789
2461111.70193405,1.3267522,0.4808727,1.0968932,1.012665
2461111.70266434,0.9247974,0.4803367,1.0980631,1.0125492
2461111.70338303,0.0243247,0.4797935,1.0992501,1.0124318
2461111.70410182,1.4169036,0.4792328,1.1004768,1.0123104
2461111.70484361,1.5322,0.4786564,1.1017393,1.0121855
2461111.70556229,0.7768174,0.4780811,1.1030011,1.0120607
2461111.70629268,1.2753174,0.4774925,1.1042934,1.0119329
2461111.70701137,0.9953534,0.4768938,1.1056096,1.0118028
2461111.70774186,1.2200903,0.4762818,1.1069567,1.0116696
2461111.70847215,1.2119965,0.4756659,1.1083143,1.0115354
