BJD,Norm Flux,Norm Err,AM
2461257.76211888,0.8007638,0.178075,1.01
2461257.76222318,0.7083224,0.178075,1.01
2461257.76232748,1.0141869,0.178075,1.01
2461257.76246658,1.163541,0.178075,1.01
2461257.76259418,1.0091803,0.178075,1.01
2461257.76272168,0.7909224,0.178074,1.01
2461257.76281438,0.6640669,0.178074,1.01
2461257.76293028,1.0017325,0.178074,1.01
2461257.76305788,1.1688699,0.178074,1.01
2461257.76318528,0.9885402,0.178074,1.01
2461257.76330118,0.7947516,0.178073,1.01
2461257.76340558,0.6782006,0.178073,1.01
2461257.76350987,1.0072611,0.178073,1.01
2461257.76364897,1.1901374,0.178073,1.01
2461257.76377647,1.0143453,0.178072,1.01
2461257.76390397,0.7939977,0.178072,1.01
2461257.76399667,0.6847658,0.178072,1.01
2461257.76411257,1.0304357,0.178072,1.01
2461257.76424017,1.1752036,0.178071,1.01
2461257.76436817,1.0221478,0.178071,1.01
2461257.76449567,0.7890381,0.178071,1.01
2461257.76458847,0.7070955,0.178071,1.01
2461257.76470437,1.0086545,0.17807,1.01
2461257.76484337,1.1886888,0.17807,1.01
2461257.76497087,1.0054583,0.17807,1.01
2461257.76509837,0.7966344,0.17807,1.01
2461257.76519117,0.7048158,0.178069,1.01
2461257.76530706,1.0347621,0.178069,1.01
2461257.76544616,1.1332819,0.178069,1.01
2461257.76557366,1.0172622,0.178068,1.01
2461257.76570116,0.7686379,0.178068,1.01
2461257.76579386,0.6592478,0.178068,1.01
2461257.76590976,1.013444,0.178067,1.01
2461257.76604886,1.2133779,0.178067,1.01
2461257.76617646,1.0210417,0.178067,1.01
2461257.76630396,0.8116806,0.178066,1.01
2461257.76640826,0.7105991,0.178066,1.01
2461257.76651266,1.0298821,0.178066,1.01
2461257.76665176,1.2043592,0.178065,1.01
2461257.76677926,1.0292447,0.178065,1.01
2461257.76689516,0.7928429,0.178065,1.01
2461257.76699946,0.69137,0.178064,1.01
2461257.76711555,1.0307895,0.178064,1.01
2461257.76724305,1.1811854,0.178064,1.01
