# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_comp5,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_comp5,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_comp5,skybg_target
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0198-e91.fits",2461257.762118882,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0199-e91.fits",2461257.7622231813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0200-e91.fits",2461257.7623274806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0201-e91.fits",2461257.76246658,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0202-e91.fits",2461257.762594179,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0203-e91.fits",2461257.7627216787,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0204-e91.fits",2461257.762814378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0205-e91.fits",2461257.7629302773,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0206-e91.fits",2461257.763057877,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0207-e91.fits",2461257.7631852757,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0208-e91.fits",2461257.763301175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0209-e91.fits",2461257.763405575,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0210-e91.fits",2461257.763509874,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0211-e91.fits",2461257.7636489733,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0212-e91.fits",2461257.763776473,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0213-e91.fits",2461257.763903972,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0214-e91.fits",2461257.7639966714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0215-e91.fits",2461257.7641125713,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0216-e91.fits",2461257.7642401704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0217-e91.fits",2461257.7643681695,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0218-e91.fits",2461257.764495669,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0219-e91.fits",2461257.7645884682,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0220-e91.fits",2461257.7647043676,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0221-e91.fits",2461257.764843367,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0222-e91.fits",2461257.7649708665,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0223-e91.fits",2461257.7650983655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0224-e91.fits",2461257.7651911653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0225-e91.fits",2461257.7653070646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0226-e91.fits",2461257.7654461637,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0227-e91.fits",2461257.765573663,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0228-e91.fits",2461257.765701162,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0229-e91.fits",2461257.765793862,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0230-e91.fits",2461257.765909761,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0231-e91.fits",2461257.7660488603,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0232-e91.fits",2461257.76617646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0233-e91.fits",2461257.766303959,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0234-e91.fits",2461257.7664082586,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0235-e91.fits",2461257.766512658,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0236-e91.fits",2461257.766651757,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0237-e91.fits",2461257.7667792565,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0238-e91.fits",2461257.7668951564,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0239-e91.fits",2461257.766999455,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0240-e91.fits",2461257.767115555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0241-e91.fits",2461257.7672430538,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0242-e91.fits",2461257.767370553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0243-e91.fits",2461257.767498053,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0244-e91.fits",2461257.767590852,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0245-e91.fits",2461257.7677067514,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0246-e91.fits",2461257.7678458504,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0247-e91.fits",2461257.7679617503,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0248-e91.fits",2461257.7680892497,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0249-e91.fits",2461257.7681819494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0250-e91.fits",2461257.7682978483,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HD_189733_b_20260805_elp_0m4a_001/elp0m400-sq41-20260804-0251-e91.fits",2461257.768437048,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
