#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-65
#EXOPLANET_NAME=WASP-65 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=lsc0m476-sq34-20260312-0086-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=SR
#FILTER-XC={"name": "SR", "desc": "Sloan r", "fwhm": [{"value": "553.1", "units": "nm"}, {"value": "693.1", "units": "nm"}]}
#PRIORS=Period=2.3114205 +/- 1.7e-07,Rp/R*=0.12237 +/- 0.0002,a/R*=7.11 +/- 0.1,inc=88.8 +/- 0.75,ecc=0.016,u0=2.024 +/- 0.017,u1=-3.484 +/- 0.07,u2=3.863 +/- 0.09,u3=-1.403 +/- 0.038
#PRIORS-XC={"Period": {"value": "2.3114205", "uncertainty": "1.7e-07", "units": "days"}, "Rp/R*": {"value": "0.12237", "uncertainty": "0.0002"}, "a/R*": {"value": "7.11", "uncertainty": "0.1"}, "inc": {"value": "88.8", "uncertainty": "0.75", "units": "degrees"}, "ecc": {"value": "0.016", "uncertainty": null}, "u0": {"value": "2.024", "uncertainty": "0.017"}, "u1": {"value": "-3.484", "uncertainty": "0.07"}, "u2": {"value": "3.863", "uncertainty": "0.09"}, "u3": {"value": "-1.403", "uncertainty": "0.038"}}
#RESULTS=Tc=2461112.6033 +/- 0.0015,Rp/R*=0.1528 +/- 0.0028,inc=86.04 +/- 0.8,Am1=1.218 +/- 0.01,Am2=-0.1375 +/- 0.0094
#RESULTS-XC={"Tc": {"value": "2461112.6033", "uncertainty": "0.0015", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1528", "uncertainty": "0.0028"}, "inc": {"value": "86.04", "uncertainty": "0.8"}, "Am1": {"value": "1.218", "uncertainty": "0.01"}, "Am2": {"value": "-0.1375", "uncertainty": "0.0094"}, "Duration": {"value": "0.11", "uncertainty": "0.0049", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461112.50333798,0.9841918,0.0100729,1.5798228,0.9805339
2461112.50405664,0.9936886,0.0100811,1.5743627,0.9812704
2461112.5047869,0.9823214,0.0100892,1.5689453,0.9820016
2461112.50551695,1.0,0.0100972,1.5636291,0.9827197
2461112.50623981,0.9908422,0.010105,1.5584119,0.9834249
2461112.50695847,0.9971145,0.0101128,1.5532669,0.9841209
2461112.50768862,1.0008616,0.0101204,1.5481901,0.9848081
2461112.50841888,0.9973207,0.010128,1.5431366,0.9854927
2461112.50913754,1.002008,0.0101356,1.5381522,0.9861683
2461112.50986769,1.0123205,0.010143,1.5332354,0.9868353
2461112.51059785,1.0001897,0.0101503,1.5283858,0.9874936
2461112.51132811,0.9971088,0.0101575,1.5236229,0.9881405
2461112.51205836,1.000123,0.0101646,1.5189219,0.9887794
2461112.51278852,1.012505,0.0101717,1.514237,0.9894166
2461112.51351887,1.0011029,0.0101787,1.5096609,0.9900394
2461112.51423743,1.0017958,0.0101855,1.5051297,0.9906564
2461112.51496789,1.0090327,0.0101922,1.5007018,0.9912597
2461112.51569814,1.0091526,0.0101989,1.4962921,0.991861
2461112.5164168,1.0016674,0.0102055,1.4919674,0.992451
2461112.51714716,0.9979896,0.010212,1.487721,0.9930306
2461112.51786581,1.0037511,0.0102183,1.4835362,0.9936022
2461112.51858437,1.0050149,0.0102247,1.4793689,0.9941717
2461112.51931453,0.9868808,0.0102309,1.4752968,0.9947285
2461112.52003318,0.9987736,0.010237,1.4712809,0.995278
2461112.52076344,0.9887628,0.0102431,1.4673003,0.9958229
2461112.5214821,0.997291,0.0102491,1.4633739,0.9963607
2461112.52221235,0.9957541,0.010255,1.4594855,0.9968935
2461112.52294261,0.9976736,0.0102608,1.45567,0.9974167
2461112.52441482,1.0027272,0.0102724,1.4480687,0.9984597
2461112.52514498,1.0005518,0.0102781,1.4443959,0.9989641
2461112.52586363,1.0081935,0.0102835,1.44081,0.9994568
2461112.52659379,1.0053531,0.010289,1.437258,0.999945
2461112.52731245,1.0135072,0.0102943,1.4337878,1.0004223
2461112.5280313,1.0031146,0.0102996,1.4303313,1.0008979
2461112.52879646,1.0147578,0.0103051,1.4267587,1.0013897
2461112.52951511,1.0027507,0.0103102,1.4234212,1.0018493
2461112.53024537,1.0114127,0.0103153,1.4201189,1.0023044
2461112.53096403,0.9880356,0.0103203,1.4168778,1.0027511
2461112.53168268,1.0096256,0.0103252,1.4136807,1.0031921
2461112.53241294,1.0087106,0.01033,1.4105335,1.0036263
2461112.5331315,1.0135135,0.0103348,1.4073998,1.0040588
2461112.53386185,1.0084868,0.0103396,1.4043286,1.0044829
2461112.53458051,1.0103577,0.0103442,1.4013049,1.0049007
2461112.53531067,1.0138668,0.0103488,1.3983393,1.0053105
2461112.53602952,1.0027619,0.0103533,1.3954025,1.0057166
2461112.53679458,1.0068448,0.010358,1.3923544,1.0061382
2461112.53751323,0.9960303,0.0103624,1.3895216,1.0065302
2461112.53824339,1.0098519,0.0103667,1.3867189,1.0069181
2461112.53896215,1.012391,0.0103709,1.3839736,1.0072983
2461112.5396808,1.0135454,0.0103751,1.381269,1.007673
2461112.54041096,1.0196111,0.0103792,1.378608,1.0080417
2461112.54112962,1.0224516,0.0103833,1.3759752,1.0084067
2461112.54184837,1.0249354,0.0103873,1.3733972,1.0087643
2461112.54257863,1.0122972,0.0103913,1.3708353,1.0091197
2461112.54330888,1.0182831,0.0103952,1.3683138,1.0094696
2461112.54402754,1.0108978,0.010399,1.3658563,1.0098108
2461112.5447461,1.0146178,0.0104027,1.3634374,1.0101467
2461112.54547635,1.0133374,0.0104064,1.3610347,1.0104805
2461112.54619511,1.0135425,0.0104101,1.3586949,1.0108057
2461112.54692527,0.9984086,0.0104136,1.3563923,1.0111257
2461112.54764402,0.9984788,0.0104172,1.3541057,1.0114437
2461112.54837418,1.0052916,0.0104206,1.3518712,1.0117545
2461112.54910444,1.0127513,0.0104241,1.3496645,1.0120616
2461112.54984619,1.016081,0.0104275,1.3474646,1.0123677
2461112.55056485,1.0208356,0.0104308,1.3453468,1.0126626
2461112.5512837,1.0034181,0.010434,1.3432749,1.0129511
2461112.55201396,0.9970535,0.0104372,1.3412308,1.0132359
2461112.55273262,1.0064394,0.0104403,1.3392319,1.0135144
2461112.55346287,1.0085841,0.0104433,1.3372485,1.0137909
2461112.55418153,0.9962202,0.0104464,1.3353107,1.014061
2461112.55491169,0.9966441,0.0104493,1.3334094,1.0143262
2461112.55564184,0.9977965,0.0104522,1.331536,1.0145875
2461112.5563607,1.0088333,0.0104551,1.3297088,1.0148424
2461112.55707935,1.0133219,0.0104579,1.327924,1.0150915
2461112.55780981,1.0081356,0.0104606,1.3261659,1.015337
2461112.55852867,1.0094274,0.0104633,1.3244432,1.0155775
2461112.55925892,1.0085896,0.0104659,1.3227554,1.0158132
2461112.55997768,1.0119462,0.0104685,1.3210931,1.0160454
2461112.56074273,1.0051797,0.0104712,1.319385,1.0162841
2461112.56147299,1.0034666,0.0104736,1.3178076,1.0165045
2461112.56219165,1.0021006,0.0104761,1.3162502,1.0167222
2461112.5629451,1.0060625,0.0104785,1.3146747,1.0169425
2461112.56366376,1.0069756,0.0104808,1.3131999,1.0171488
2461112.56439401,1.0035313,0.0104831,1.3117512,1.0173514
2461112.56511267,0.9892772,0.0104853,1.310335,1.0175495
2461112.56583143,0.9962745,0.0104874,1.308958,1.0177422
2461112.56656158,0.9980311,0.0104896,1.3076015,1.0179321
2461112.56728024,0.985005,0.0104916,1.3062897,1.0181157
2461112.56804529,0.9842237,0.0104937,1.3049282,1.0183063
2461112.56877545,0.9979619,0.0104957,1.3036756,1.0184817
2461112.5695058,1.0050381,0.0104976,1.3024495,1.0186534
2461112.57022436,1.0072953,0.0104995,1.3012614,1.0188199
2461112.57095472,1.0054205,0.0105013,1.3000993,1.0189827
2461112.57168497,1.0065258,0.010503,1.2989707,1.0191408
2461112.57240353,1.0081822,0.0105048,1.2978779,1.019294
2461112.57313378,1.0064319,0.0105064,1.2968158,1.0194429
2461112.57385244,1.0170343,0.010508,1.2957795,1.0195881
2461112.5745826,1.0028324,0.0105096,1.2947764,1.0197288
2461112.57531275,0.9903457,0.0105111,1.2938088,1.0198644
2461112.57603151,1.0016273,0.0105126,1.2928662,1.0199966
2461112.57676167,0.9961065,0.010514,1.2919597,1.0201238
2461112.57748032,0.9841487,0.0105154,1.2910837,1.0202467
2461112.57821058,0.9901471,0.0105167,1.2902376,1.0203654
2461112.57892923,0.9962787,0.010518,1.2894231,1.0204797
2461112.57964799,0.9926117,0.0105192,1.2886386,1.0205897
2461112.58037835,1.0023084,0.0105204,1.2878848,1.0206955
2461112.5810971,0.9959446,0.0105215,1.2871567,1.0207977
2461112.58182746,1.0002527,0.0105226,1.286463,1.0208951
2461112.58255761,0.9950236,0.0105237,1.2857924,1.0209892
2461112.58327627,0.986716,0.0105247,1.2851581,1.0210783
2461112.58400663,0.99593,0.0105256,1.2845505,1.0211636
2461112.58472528,1.0022169,0.0105265,1.2839787,1.0212439
2461112.58545564,1.0096724,0.0105274,1.2834335,1.0213205
2461112.5861744,0.9873121,0.0105282,1.282913,1.0213936
2461112.58690475,0.996066,0.0105289,1.2824271,1.0214618
2461112.58763511,0.9872902,0.0105297,1.2819667,1.0215265
2461112.58835376,0.9981711,0.0105303,1.2815395,1.0215865
2461112.58908422,0.9898116,0.010531,1.2811404,1.0216425
2461112.58981457,0.9876724,0.0105315,1.2807704,1.0216945
2461112.59053323,0.9909449,0.0105321,1.28043,1.0217423
2461112.59129828,0.9912228,0.0105326,1.2801032,1.0217883
2461112.59202854,0.9910992,0.010533,1.2798232,1.0218276
2461112.5927588,0.997209,0.0105334,1.2795726,1.0218628
2461112.59347745,0.9941941,0.0105338,1.2793535,1.0218936
2461112.59419601,0.9983656,0.0105341,1.279162,1.0219205
2461112.59492626,0.995053,0.0105343,1.2789999,1.0219433
2461112.59564502,0.9907806,0.0105345,1.2788674,1.0219619
2461112.59640987,0.9904935,0.0105347,1.2787587,1.0219772
2461112.59712853,0.9906369,0.0105348,1.2786845,1.0219876
2461112.59785889,0.9940664,0.0105349,1.27864,1.0219939
2461112.59858914,0.9901186,0.0105349,1.2786244,1.021996
2461112.5993078,0.9897054,0.0105349,1.2786377,1.0219942
2461112.60002635,0.9905365,0.0105348,1.2786803,1.0219882
2461112.60075661,0.991781,0.0105347,1.2787518,1.0219781
2461112.60148687,0.9870179,0.0105346,1.2788531,1.0219639
2461112.60220542,0.987831,0.0105343,1.2789837,1.0219456
2461112.60293578,0.9936661,0.0105341,1.2791429,1.0219232
2461112.60366593,0.9927753,0.0105338,1.2793316,1.0218967
2461112.60438469,0.991946,0.0105335,1.2795486,1.0218662
2461112.60510345,0.9885596,0.0105331,1.2797948,1.0218316
2461112.6058338,0.9950737,0.0105326,1.2800715,1.0217927
2461112.60655256,0.9919651,0.0105322,1.2803759,1.0217499
2461112.60728271,0.9942539,0.0105316,1.2807076,1.0217033
2461112.60800127,0.9940832,0.0105311,1.2810699,1.0216524
2461112.60871993,0.995745,0.0105305,1.2814614,1.0215975
2461112.60943868,0.9944852,0.0105298,1.2818825,1.0215383
2461112.61016894,0.9953771,0.0105291,1.2823324,1.0214751
2461112.61088769,0.995773,0.0105283,1.2828142,1.0214074
2461112.61161795,0.9919684,0.0105275,1.2833233,1.0213359
2461112.61233651,0.9938502,0.0105267,1.2838615,1.0212604
2461112.61306686,0.9876824,0.0105258,1.2844355,1.0211798
2461112.61379712,0.9901334,0.0105249,1.2850345,1.0210957
2461112.61451577,0.9899326,0.0105239,1.2856685,1.0210066
2461112.61524613,0.9954947,0.0105228,1.2863288,1.0209139
2461112.61597628,0.9878967,0.0105218,1.2870192,1.020817
2461112.61669494,0.9839945,0.0105206,1.2877398,1.0207159
2461112.61745989,0.9832488,0.0105194,1.2885203,1.0206063
2461112.61817845,0.9842882,0.0105182,1.2893067,1.020496
2461112.61890861,0.9882105,0.0105169,1.2901234,1.0203814
2461112.61966206,0.9865045,0.0105155,1.2909963,1.0202589
2461112.62038062,0.9735733,0.0105142,1.2918671,1.0201368
2461112.62111087,0.990358,0.0105127,1.2927775,1.0200091
2461112.62184113,0.9895728,0.0105113,1.2937103,1.0198783
2461112.62255978,0.9974002,0.0105098,1.2946732,1.0197432
2461112.62328994,0.9750172,0.0105082,1.295676,1.0196026
2461112.62400859,0.9847671,0.0105066,1.2967005,1.019459
2461112.62476195,0.9852353,0.0105049,1.2977975,1.0193052
2461112.6254806,0.9869068,0.0105032,1.2988916,1.0191519
2461112.62621086,0.9885277,0.0105014,1.300017,1.0189942
2461112.62694102,0.9933403,0.0104996,1.3011721,1.0188324
2461112.62765957,0.9849351,0.0104977,1.3023613,1.0186658
2461112.62838973,0.9950069,0.0104958,1.3035765,1.0184956
2461112.62989673,0.9996514,0.0104917,1.3062151,1.0181261
2461112.63062699,0.9943667,0.0104896,1.3075412,1.0179405
2461112.63134555,0.9908766,0.0104875,1.3088998,1.0177504
2461112.6320758,0.9938198,0.0104854,1.3102772,1.0175576
2461112.63280606,0.9999545,0.0104832,1.3117015,1.0173584
2461112.63352471,0.9977578,0.0104809,1.3131513,1.0171556
2461112.63425487,0.9968664,0.0104786,1.3146344,1.0169482
2461112.63498502,0.9982758,0.0104762,1.3161582,1.0167351
2461112.63570378,0.9993424,0.0104738,1.3177174,1.0165171
2461112.63643404,1.0082079,0.0104713,1.3193022,1.0162957
2461112.63715259,1.0088397,0.0104688,1.3209054,1.0160716
2461112.63789455,1.0031247,0.0104662,1.3225993,1.015835
2461112.6386247,0.998869,0.0104635,1.3242951,1.0155982
2461112.63934326,0.9990083,0.0104608,1.3260087,1.0153589
2461112.64007361,1.0043456,0.0104581,1.3277748,1.0151124
2461112.64080407,1.0034046,0.0104553,1.3295754,1.0148611
2461112.64152282,0.9986325,0.0104525,1.3313945,1.0146072
2461112.64225318,1.0018393,0.0104496,1.3332589,1.0143472
2461112.64297204,0.9987447,0.0104466,1.3351508,1.0140833
2461112.64370229,1.0030062,0.0104436,1.3370862,1.0138135
2461112.64442085,0.9959769,0.0104406,1.3390472,1.0135402
2461112.6451396,1.0018601,0.0104374,1.3410636,1.0132592
2461112.64586986,1.0043744,0.0104343,1.3430983,1.0129757
2461112.64660011,0.9884246,0.010431,1.3451901,1.0126844
2461112.64731887,1.0045725,0.0104277,1.3472987,1.0123908
2461112.64803753,1.0064822,0.0104244,1.3494432,1.0120924
2461112.64876778,0.9911529,0.010421,1.3516257,1.0117887
2461112.64948634,1.0040422,0.0104175,1.353868,1.0114768
2461112.65021649,1.0072,0.010414,1.3561283,1.0111624
2461112.65094685,1.0021592,0.0104104,1.3584509,1.0108396
2461112.6516655,1.0081039,0.0104068,1.3607867,1.010515
2461112.65239576,1.0067965,0.0104031,1.3631848,1.0101818
2461112.65311442,1.0051965,0.0103993,1.3656097,1.009845
2461112.65384457,1.0044513,0.0103955,1.3680752,1.0095027
2461112.65456313,1.0115212,0.0103917,1.3705703,1.0091565
2461112.65528198,1.0086275,0.0103877,1.3731062,1.0088046
2461112.65600054,1.0036843,0.0103838,1.3756796,1.0084477
2461112.65673079,1.0062233,0.0103797,1.3783183,1.0080819
2461112.65744945,1.0076659,0.0103756,1.3809735,1.0077139
2461112.6581797,1.0076376,0.0103714,1.3836972,1.0073366
2461112.65890996,1.0077706,0.0103671,1.3864664,1.0069531
2461112.65962872,1.0110433,0.0103628,1.3892504,1.0065677
2461112.66035887,1.0126412,0.0103584,1.3921046,1.0061727
2461112.66107753,1.006863,0.0103539,1.3950015,1.005772
2461112.66180768,1.0022181,0.0103494,1.3979138,1.0053693
2461112.66252634,1.001016,0.0103449,1.4008696,1.0049608
2461112.66324489,1.0108113,0.0103402,1.4038989,1.0045423
2461112.66397515,1.0044507,0.0103355,1.4069435,1.0041218
2461112.66469381,1.0067065,0.0103307,1.4100638,1.0036911
2461112.66542396,1.0009018,0.0103259,1.4132011,1.0032582
2461112.66615422,1.001358,0.010321,1.416416,1.0028148
2461112.66687297,1.0062711,0.010316,1.4196789,1.002365
2461112.66759153,0.999882,0.0103109,1.4229576,1.0019132
2461112.66832178,0.9954023,0.0103058,1.4263151,1.0014508
2461112.66904044,0.9997336,0.0103006,1.4296874,1.0009865
2461112.66977069,0.9930566,0.0102953,1.4331089,1.0005157
2461112.67050095,0.9985559,0.01029,1.4366161,1.0000333
2461112.6712196,0.9949158,0.0102845,1.4401725,0.9995444
2461112.67196146,0.9908463,0.0102789,1.4438506,0.999039
2461112.67268012,1.005766,0.0102733,1.4474755,0.9985412
2461112.67339877,0.9991093,0.0102677,1.4511516,0.9980366
2461112.67412903,1.0090116,0.010262,1.4548817,0.9975248
2461112.67484768,1.0093186,0.0102562,1.4586619,0.9970064
2461112.67557794,1.0016998,0.0102503,1.462532,0.996476
2461112.67629669,0.990786,0.0102444,1.4664541,0.9959388
2461112.67702695,0.9982184,0.0102383,1.4704321,0.9953941
2461112.6777571,0.9836566,0.0102321,1.474507,0.9948366
2461112.67848726,0.9939489,0.0102259,1.4785567,0.9942827
2461112.67920601,0.9885981,0.0102196,1.4827037,0.9937159
2461112.67992457,0.9792669,0.0102133,1.4868689,0.993147
2461112.68065482,0.9743513,0.0102068,1.4911328,0.9925649
2461112.68138508,0.9865796,0.0102002,1.4954563,0.991975
2461112.68210374,0.9868064,0.0101936,1.4997985,0.9913829
2461112.68285709,0.9814222,0.0101866,1.5044175,0.9907534
2461112.68358734,0.991892,0.0101798,1.508923,0.9901398
2461112.6843059,0.9860689,0.0101729,1.513469,0.9895211
2461112.68503616,0.9870887,0.0101659,1.5180982,0.9888914
2461112.68576631,0.9766146,0.0101588,1.5227679,0.9882567
2461112.68648497,0.9844004,0.0101517,1.5274788,0.9876167
2461112.68720352,0.9595646,0.0101444,1.5323021,0.9869619
2461112.68865243,0.9690409,0.0101296,1.5421214,0.9856303
2461112.68938269,0.966008,0.010122,1.5471203,0.984953
2461112.69010134,0.96257,0.0101144,1.5522137,0.9842634
2461112.6908316,0.9563114,0.0101067,1.557332,0.983571
2461112.69155025,0.9580305,0.0100988,1.5625696,0.9828629
2461112.69228051,0.9669525,0.0100909,1.5678227,0.9821532
2461112.69299906,0.9793302,0.0100828,1.5732004,0.9814272
2461112.69371772,0.9668669,0.0100747,1.5785987,0.980699
2461112.69444798,0.9729316,0.0100664,1.5841218,0.9799545
2461112.69517823,0.9734527,0.010058,1.5897215,0.9792002
2461112.69589689,0.9697647,0.0100495,1.5953964,0.9784364
2461112.69662704,0.971193,0.0100409,1.6011504,0.9776626
2461112.6973574,0.9712085,0.0100322,1.606985,0.9768786
2461112.69807605,0.9639353,0.0100234,1.6129013,0.9760842
2461112.69880631,0.9782942,0.0100144,1.6189018,0.9752792
