#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-19
#EXOPLANET_NAME=HAT-P-19 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": null, "dec": null, "x": "348.0", "y": "399.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Cecilia (Whipple Observatory; Center for Astrophysics | Harvard-Smithsonian); camera type=CCD; first image=HATP-19260711092127.FITS; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=4.00878322 +/- 1.9e-07,Rp/R*=0.14657 +/- 0.00064,a/R*=12.84 +/- 0.06,inc=89.52 +/- 0.2,ecc=0.07,u0=1.779 +/- 0.013,u1=-3.055 +/- 0.054,u2=3.493 +/- 0.07,u3=-1.217 +/- 0.03
#PRIORS-XC={"Period": {"value": "4.00878322", "uncertainty": "1.9e-07", "units": "days"}, "Rp/R*": {"value": "0.14657", "uncertainty": "0.00064"}, "a/R*": {"value": "12.84", "uncertainty": "0.06"}, "inc": {"value": "89.52", "uncertainty": "0.2", "units": "degrees"}, "ecc": {"value": "0.07", "uncertainty": null}, "u0": {"value": "1.779", "uncertainty": "0.013"}, "u1": {"value": "-3.055", "uncertainty": "0.054"}, "u2": {"value": "3.493", "uncertainty": "0.07"}, "u3": {"value": "-1.217", "uncertainty": "0.03"}}
#RESULTS=Tc=2461228.9917 +/- 0.0059,Rp/R*=0.181 +/- 0.054,inc=86.98 +/- 1.45,Am1=0.962 +/- 0.049,Am2=0.02 +/- 0.12
#RESULTS-XC={"Tc": {"value": "2461228.9917", "uncertainty": "0.0059", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.181", "uncertainty": "0.054"}, "inc": {"value": "86.98", "uncertainty": "1.45"}, "Am1": {"value": "0.962", "uncertainty": "0.049"}, "Am2": {"value": "0.02", "uncertainty": "0.12"}, "Duration": {"value": "0.032", "uncertainty": "0.017", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461232.890607,1.0308563,0.0564764,1.3535526,0.9917635
2461232.892579,1.0510851,0.0564058,1.3413829,0.9914903
2461232.89464414,1.0212403,0.056334,1.328993,0.9912123
2461232.89671975,1.0280553,0.0562636,1.3168356,0.9909395
2461232.89881898,0.9573353,0.0561954,1.3050442,0.990675
2461232.90088324,0.9362692,0.0561295,1.2936436,0.9904194
2461232.9029836,0.933878,0.0560651,1.2824748,0.990169
2461232.90505967,0.9286685,0.0560028,1.2716759,0.989927
2461232.90713929,1.0433297,0.0559424,1.2611821,0.9896919
2461232.90922757,1.0511802,0.0558839,1.2510013,0.9894638
2461232.9113052,1.051559,0.0558271,1.2411235,0.9892426
2461232.91339386,0.9827118,0.055772,1.231524,0.9890276
2461232.91547165,1.0040897,0.0557186,1.2222102,0.9888191
2461232.91755907,1.0384957,0.0556668,1.2131591,0.9886165
2461232.91963557,1.043297,0.0556165,1.2043779,0.98842
2461232.92173542,0.889957,0.0555677,1.1958451,0.9882291
2461232.92381209,0.8577306,0.0555204,1.1875677,0.988044
2461232.92588712,0.8877888,0.0554746,1.1795387,0.9878644
2461232.92797597,0.8583533,0.0554301,1.1717387,0.98769
2461232.93005149,0.9929578,0.0553873,1.1642229,0.987522
2461232.93213963,0.9847185,0.0553452,1.1568397,0.9873569
2461232.93422752,0.9847789,0.0553048,1.1497284,0.987198
2461232.93630536,0.9728315,0.0552655,1.1428238,0.9870437
2461232.93839333,0.9771366,0.0552275,1.1361321,0.9868942
2461232.9404802,1.0,0.0551906,1.1296482,0.9867494
2461232.94255649,1.0491389,0.0551549,1.123357,0.9866088
2461232.9446447,1.0398628,0.0551204,1.117274,0.986473
2461232.94672124,1.02798,0.055087,1.1113749,0.9863413
2461232.9488092,1.0387656,0.0550547,1.1056653,0.9862138
2461232.95089721,1.0040072,0.0550234,1.100141,0.9860905
2461232.95297435,1.0109199,0.0549932,1.094798,0.9859712
2461232.95506294,0.9846308,0.054964,1.0896323,0.9858559
2461232.95715164,0.992203,0.0549357,1.0846404,0.9857445
2461232.9592396,0.9921908,0.0549085,1.0798186,0.9856369
2461232.96131528,1.00506,0.054882,1.075134,0.9855324
2461232.96339224,0.9740943,0.0548569,1.0706723,0.9854329
2461232.96755782,1.0007872,0.0548089,1.0621681,0.9852432
2461232.96964639,0.9903434,0.0547863,1.058156,0.9851537
2461232.97173346,0.8982577,0.0547644,1.0542709,0.9850671
2461232.97381068,0.9444357,0.0547436,1.050584,0.9849848
2461232.97589924,0.9489642,0.0547236,1.0470248,0.9849055
2461232.97982341,0.937119,0.0546881,1.0407171,0.9847649
2461232.98372364,0.8948287,0.0546557,1.0349478,0.9846363
2461232.98767127,0.9440802,0.0546257,1.0296135,0.9845174
