BJD,Norm Flux,Norm Err,AM
2461232.890607,1.0308563,0.056476,1.35
2461232.892579,1.0510851,0.056406,1.34
2461232.89464414,1.0212403,0.056334,1.33
2461232.89671975,1.0280553,0.056264,1.32
2461232.89881898,0.9573353,0.056195,1.31
2461232.90088324,0.9362692,0.05613,1.29
2461232.9029836,0.933878,0.056065,1.28
2461232.90505967,0.9286685,0.056003,1.27
2461232.90713929,1.0433297,0.055942,1.26
2461232.90922757,1.0511802,0.055884,1.25
2461232.9113052,1.051559,0.055827,1.24
2461232.91339386,0.9827118,0.055772,1.23
2461232.91547165,1.0040897,0.055719,1.22
2461232.91755907,1.0384957,0.055667,1.21
2461232.91963557,1.043297,0.055617,1.2
2461232.92173542,0.889957,0.055568,1.2
2461232.92381209,0.8577306,0.05552,1.19
2461232.92588712,0.8877888,0.055475,1.18
2461232.92797597,0.8583533,0.05543,1.17
2461232.93005149,0.9929578,0.055387,1.16
2461232.93213963,0.9847185,0.055345,1.16
2461232.93422752,0.9847789,0.055305,1.15
2461232.93630536,0.9728315,0.055265,1.14
2461232.93839333,0.9771366,0.055227,1.14
2461232.9404802,1.0,0.055191,1.13
2461232.94255649,1.0491389,0.055155,1.12
2461232.9446447,1.0398628,0.05512,1.12
2461232.94672124,1.02798,0.055087,1.11
2461232.9488092,1.0387656,0.055055,1.11
2461232.95089721,1.0040072,0.055023,1.1
2461232.95297435,1.0109199,0.054993,1.09
2461232.95506294,0.9846308,0.054964,1.09
2461232.95715164,0.992203,0.054936,1.08
2461232.9592396,0.9921908,0.054909,1.08
2461232.96131528,1.00506,0.054882,1.08
2461232.96339224,0.9740943,0.054857,1.07
2461232.96755782,1.0007872,0.054809,1.06
2461232.96964639,0.9903434,0.054786,1.06
2461232.97173346,0.8982577,0.054764,1.05
2461232.97381068,0.9444357,0.054744,1.05
2461232.97589924,0.9489642,0.054724,1.05
2461232.97982341,0.937119,0.054688,1.04
2461232.98372364,0.8948287,0.054656,1.03
2461232.98767127,0.9440802,0.054626,1.03
