# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_target
"observation/HAT-P-19 b/HATP-19260711092127.FITS",2461232.8906070045,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711092417.FITS",2461232.8925790046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711092716.FITS",2461232.8946441375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711093015.FITS",2461232.896719746,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711093316.FITS",2461232.8988189795,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711093615.FITS",2461232.9008832444,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711093916.FITS",2461232.9029836003,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711094216.FITS",2461232.905059672,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711094515.FITS",2461232.9071392855,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711094816.FITS",2461232.9092275687,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711095115.FITS",2461232.9113052026,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711095416.FITS",2461232.913393856,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711095715.FITS",2461232.915471652,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711100015.FITS",2461232.9175590673,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711100315.FITS",2461232.919635567,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711100616.FITS",2461232.921735425,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711100916.FITS",2461232.9238120867,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711101215.FITS",2461232.925887116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711101515.FITS",2461232.927975966,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711101815.FITS",2461232.930051494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711102115.FITS",2461232.9321396262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711102415.FITS",2461232.9342275155,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711102715.FITS",2461232.9363053576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-19 b/HATP-19260711103015.FITS",2461232.938393328,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
