#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=KELT-7
#EXOPLANET_NAME=KELT-7 b
#BINNING=2x2
#EXPOSURE_TIME=1.452
#COMP_STAR-XC={"ra": null, "dec": null, "x": "860.0", "y": "685.0"}
#NOTES=LCOGT 0.4m Haleakala (MicroObservatory), CCD, 2x2 binning, ip filter (SDSS-IP-124), exposure 3.086s. No calibration frames available. Observation from FITS headers: MJD 57760.29.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "750.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=4.8914 +/- 0.0001,Rp/R*=0.109 +/- 0.005,a/R*=6.33 +/- 0.1,inc=89.6 +/- 0.5,ecc=0.0,u0=2.905 +/- 0.028,u1=-5.22 +/- 0.11,u2=5.04 +/- 0.14,u3=-1.722 +/- 0.057
#PRIORS-XC={"Period": {"value": "4.8914", "uncertainty": "0.0001", "units": "days"}, "Rp/R*": {"value": "0.109", "uncertainty": "0.005"}, "a/R*": {"value": "6.33", "uncertainty": "0.1"}, "inc": {"value": "89.6", "uncertainty": "0.5", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.905", "uncertainty": "0.028"}, "u1": {"value": "-5.22", "uncertainty": "0.11"}, "u2": {"value": "5.04", "uncertainty": "0.14"}, "u3": {"value": "-1.722", "uncertainty": "0.057"}}
#RESULTS=Tc=2457757.228 +/- 0.018,Rp/R*=0.093 +/- 0.04,inc=87.82 +/- 1.54,Am1=0.921 +/- 0.063,Am2=0.08 +/- 0.36
#RESULTS-XC={"Tc": {"value": "2457757.228", "uncertainty": "0.018", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.093", "uncertainty": "0.04"}, "inc": {"value": "87.82", "uncertainty": "1.54"}, "Am1": {"value": "0.921", "uncertainty": "0.063"}, "Am2": {"value": "0.08", "uncertainty": "0.36"}, "Duration": {"value": "0.00039", "uncertainty": "0.0041", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2457760.79767153,0.979138,0.070436,1.0924443,1.002848
2457760.79794092,1.052915,0.0704371,1.0918573,1.0028023
2457760.7982248,0.9341008,0.0704384,1.0912031,1.0027514
2457760.79848709,1.1023263,0.0704395,1.0906432,1.0027078
2457760.79873068,0.9466927,0.0704406,1.0900711,1.0026633
2457760.79902127,1.0058179,0.0704418,1.0894533,1.0026152
2457760.79931395,1.0532862,0.0704431,1.0887831,1.002563
2457760.79958144,0.9723325,0.0704442,1.0882192,1.0025191
2457760.79995183,1.0224194,0.0704458,1.0873938,1.0024549
2457760.800577,0.9742729,0.0704484,1.0860673,1.0023517
2457760.80079729,0.9437775,0.0704494,1.0855697,1.002313
2457760.80106408,1.0351115,0.0704504,1.0850309,1.0022711
2457760.80128737,0.9739861,0.0704514,1.0845387,1.0022328
2457760.80154936,0.9171522,0.0704524,1.0840056,1.0021913
2457760.80177494,1.060308,0.0704533,1.0835224,1.0021537
2457760.80204213,1.0333931,0.0704544,1.0829696,1.0021107
2457760.80229782,0.9649743,0.0704555,1.0824289,1.0020687
2457760.8028439,0.984331,0.0704577,1.081306,1.0019813
2457760.80313508,0.9562953,0.0704588,1.0807332,1.0019368
2457760.80337867,0.9594519,0.0704598,1.0802176,1.0018967
2457760.80364596,0.9936177,0.0704608,1.0796981,1.0018563
2457760.80391785,1.0574671,0.0704619,1.079134,1.0018124
2457760.80417844,1.0016847,0.0704629,1.0786345,1.0017736
2457760.80442233,0.9171811,0.0704638,1.0781306,1.0017344
2457760.80476691,1.0873465,0.0704651,1.0774693,1.001683
2457760.80535599,1.0911394,0.0704674,1.0763261,1.0015941
2457760.80562277,1.0657555,0.0704684,1.0757862,1.0015521
2457760.80591826,0.8872344,0.0704695,1.0752377,1.0015095
2457760.80615465,1.0334082,0.0704704,1.0747637,1.0014726
2457760.80640344,1.0554938,0.0704713,1.0743122,1.0014375
2457760.80665873,1.0269829,0.0704723,1.0738056,1.0013981
2457760.80693252,1.1928492,0.0704732,1.0733153,1.00136
2457760.8071975,1.0155828,0.0704742,1.0727942,1.0013195
2457760.80745979,0.9969787,0.0704751,1.0723247,1.001283
2457760.80775058,0.9497417,0.0704762,1.0717685,1.0012398
2457760.80801737,1.1093671,0.0704771,1.0712945,1.001203
2457760.80831965,1.0036915,0.0704782,1.0707257,1.0011588
2457760.80857494,0.9824027,0.0704791,1.0702777,1.001124
2457760.80881633,1.0211102,0.07048,1.0698251,1.0010888
2457760.80919852,1.0621263,0.0704813,1.0691598,1.0010371
2457760.8094548,1.0154049,0.0704822,1.0686781,1.0009997
2457760.80977539,1.0803714,0.0704833,1.0681315,1.0009572
2457760.81000518,0.9298327,0.0704841,1.0677099,1.0009244
2457760.81030287,0.8581204,0.0704851,1.0672053,1.0008852
2457760.81057005,0.9147094,0.070486,1.0667266,1.000848
2457760.81083524,1.0164516,0.0704869,1.0662871,1.0008139
2457760.81118903,0.9554034,0.0704881,1.0656597,1.0007652
2457760.81155231,1.0040347,0.0704893,1.0650633,1.0007188
2457760.81225558,0.96894,0.0704916,1.0638792,1.0006269
2457760.81253437,0.9571952,0.0704925,1.0633978,1.0005895
2457760.81284395,0.8669241,0.0704935,1.0629015,1.0005509
2457760.81306164,0.8894752,0.0704942,1.06253,1.0005221
2457760.81329663,1.0799844,0.0704949,1.0621583,1.0004932
2457760.81359432,1.0073029,0.0704959,1.0616611,1.0004546
2457760.8139765,1.1515982,0.0704971,1.0610614,1.000408
