BJD,Norm Flux,Norm Err,AM
2457760.79767153,0.979138,0.070436,1.09
2457760.79794092,1.052915,0.070437,1.09
2457760.7982248,0.9341008,0.070438,1.09
2457760.79848709,1.1023263,0.070439,1.09
2457760.79873068,0.9466927,0.070441,1.09
2457760.79902127,1.0058179,0.070442,1.09
2457760.79931395,1.0532862,0.070443,1.09
2457760.79958144,0.9723325,0.070444,1.09
2457760.79995183,1.0224194,0.070446,1.09
2457760.800577,0.9742729,0.070448,1.09
2457760.80079729,0.9437775,0.070449,1.09
2457760.80106408,1.0351115,0.07045,1.09
2457760.80128737,0.9739861,0.070451,1.08
2457760.80154936,0.9171522,0.070452,1.08
2457760.80177494,1.060308,0.070453,1.08
2457760.80204213,1.0333931,0.070454,1.08
2457760.80229782,0.9649743,0.070455,1.08
2457760.8028439,0.984331,0.070458,1.08
2457760.80313508,0.9562953,0.070459,1.08
2457760.80337867,0.9594519,0.07046,1.08
2457760.80364596,0.9936177,0.070461,1.08
2457760.80391785,1.0574671,0.070462,1.08
2457760.80417844,1.0016847,0.070463,1.08
2457760.80442233,0.9171811,0.070464,1.08
2457760.80476691,1.0873465,0.070465,1.08
2457760.80535599,1.0911394,0.070467,1.08
2457760.80562277,1.0657555,0.070468,1.08
2457760.80591826,0.8872344,0.070469,1.08
2457760.80615465,1.0334082,0.07047,1.07
2457760.80640344,1.0554938,0.070471,1.07
2457760.80665873,1.0269829,0.070472,1.07
2457760.80693252,1.1928492,0.070473,1.07
2457760.8071975,1.0155828,0.070474,1.07
2457760.80745979,0.9969787,0.070475,1.07
2457760.80775058,0.9497417,0.070476,1.07
2457760.80801737,1.1093671,0.070477,1.07
2457760.80831965,1.0036915,0.070478,1.07
2457760.80857494,0.9824027,0.070479,1.07
2457760.80881633,1.0211102,0.07048,1.07
2457760.80919852,1.0621263,0.070481,1.07
2457760.8094548,1.0154049,0.070482,1.07
2457760.80977539,1.0803714,0.070483,1.07
2457760.81000518,0.9298327,0.070484,1.07
2457760.81030287,0.8581204,0.070485,1.07
2457760.81057005,0.9147094,0.070486,1.07
2457760.81083524,1.0164516,0.070487,1.07
2457760.81118903,0.9554034,0.070488,1.07
2457760.81155231,1.0040347,0.070489,1.07
2457760.81225558,0.96894,0.070492,1.06
2457760.81253437,0.9571952,0.070493,1.06
2457760.81284395,0.8669241,0.070493,1.06
2457760.81306164,0.8894752,0.070494,1.06
2457760.81329663,1.0799844,0.070495,1.06
2457760.81359432,1.0073029,0.070496,1.06
2457760.8139765,1.1515982,0.070497,1.06
2457760.81424359,1.0321282,0.070498,1.06
2457760.81461887,0.7959723,0.070499,1.06
2457760.81487936,0.9996841,0.0705,1.06
2457760.81516495,1.0155955,0.070501,1.06
2457760.81541374,1.0011263,0.070501,1.06
2457760.81577152,1.0239304,0.070503,1.06
2457760.8162161,0.9650535,0.070504,1.06
2457760.81645779,1.0003159,0.070505,1.06
2457760.81673708,1.0543841,0.070505,1.06
2457760.81743565,1.0605493,0.070507,1.06
2457760.81777034,1.0789197,0.070508,1.06
2457760.81806052,0.8987087,0.070509,1.05
2457760.8184724,1.0212053,0.07051,1.05
2457760.81889668,0.883333,0.070512,1.05
2457760.81921117,1.0455587,0.070512,1.05
2457760.81944836,1.0251545,0.070513,1.05
2457760.82005933,0.9731354,0.070515,1.05
2457760.82036842,0.9431108,0.070515,1.05
2457760.82060481,1.0219452,0.070516,1.05
2457760.82090979,1.0211314,0.070517,1.05
2457760.82123058,1.0019202,0.070518,1.05
2457760.82150317,0.949902,0.070518,1.05
2457760.82188955,0.9678794,0.070519,1.05
2457760.82217064,0.9626615,0.07052,1.05
2457760.82240013,0.925635,0.070521,1.05
2457760.82266742,0.9492398,0.070521,1.05
2457760.82288711,0.9738976,0.070522,1.05
2457760.82330459,0.8757711,0.070523,1.05
2457760.82383846,1.0005164,0.070524,1.05
2457760.82408005,0.9425585,0.070525,1.05
2457760.82434234,1.0328243,0.070525,1.05
2457760.82468683,1.10799,0.070526,1.05
2457760.82516011,1.0183421,0.070527,1.05
2457760.82566358,0.9173256,0.070529,1.04
2457760.82606246,0.910783,0.070529,1.04
2457760.82668104,1.0357725,0.070531,1.04
2457760.82699052,0.925275,0.070532,1.04
2457760.82725621,0.985698,0.070532,1.04
2457760.827523,1.0314263,0.070533,1.04
2457760.82779539,1.0914796,0.070533,1.04
2457760.82803938,0.9388046,0.070534,1.04
2457760.82836016,0.9293168,0.070534,1.04
2457760.82863225,0.9277433,0.070535,1.04
2457760.82893014,1.0771479,0.070536,1.04
2457760.82919473,0.9347619,0.070536,1.04
2457760.82952391,1.1551905,0.070537,1.04
2457760.8297414,1.0142,0.070537,1.04
2457760.83000249,1.0533193,0.070538,1.04
2457760.83030948,0.9402452,0.070538,1.04
2457760.83063736,0.9756671,0.070539,1.04
2457760.83091425,0.9785885,0.07054,1.04
2457760.83117024,1.1116889,0.07054,1.04
2457760.83141193,1.0987262,0.070541,1.04
2457760.83179891,0.9706691,0.070541,1.04
2457760.83221609,0.957276,0.070542,1.04
2457760.83310705,0.9387715,0.070544,1.04
2457760.83387322,0.9853819,0.070545,1.04
2457760.83453189,0.8806223,0.070546,1.04
2457760.83560764,0.9262959,0.070548,1.03
2457760.83585723,0.9905253,0.070548,1.03
2457760.83615741,1.0427388,0.070549,1.03
2457760.8364126,0.9982444,0.070549,1.03
2457760.83704618,0.9140161,0.07055,1.03
2457760.83731316,1.1359632,0.070551,1.03
2457760.83788974,0.9283021,0.070551,1.03
2457760.83815043,1.0548083,0.070552,1.03
2457760.83847661,1.0476092,0.070552,1.03
2457760.8387248,1.0425847,0.070553,1.03
2457760.83929877,1.1146614,0.070553,1.03
2457760.84107449,1.0399245,0.070556,1.03
