#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-183
#EXOPLANET_NAME=WASP-183 b
#BINNING=1x1
#EXPOSURE_TIME=70.0
#COMP_STAR-XC=null
#NOTES=MicroObservatory 0.4m telescope, CCD camera, red filter (rp), 70s exposure. Plate solution used for WCS alignment. VLM star identification coordinates adjusted to match FITS image frame.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "Clear (unfiltered) reduced to V sequence", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=4.1117634 +/- 5.1e-06,Rp/R*=0.15 +/- 0.015,a/R*=11.44 +/- 0.54,inc=85.37 +/- 0.73,ecc=0.0,u0=1.902 +/- 0.017,u1=-3.328 +/- 0.068,u2=3.826 +/- 0.089,u3=-1.4 +/- 0.038
#PRIORS-XC={"Period": {"value": "4.1117634", "uncertainty": "5.1e-06", "units": "days"}, "Rp/R*": {"value": "0.15", "uncertainty": "0.015"}, "a/R*": {"value": "11.44", "uncertainty": "0.54"}, "inc": {"value": "85.37", "uncertainty": "0.73", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.902", "uncertainty": "0.017"}, "u1": {"value": "-3.328", "uncertainty": "0.068"}, "u2": {"value": "3.826", "uncertainty": "0.089"}, "u3": {"value": "-1.4", "uncertainty": "0.038"}}
#RESULTS=Tc=2460764.813 +/- 0.037,Rp/R*=0.187 +/- 0.056,inc=86.14 +/- 2.88,Am1=0.252 +/- 0.028,Am2=1.15 +/- 0.2
#RESULTS-XC={"Tc": {"value": "2460764.813", "uncertainty": "0.037", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.187", "uncertainty": "0.056"}, "inc": {"value": "86.14", "uncertainty": "2.88"}, "Am1": {"value": "0.252", "uncertainty": "0.028"}, "Am2": {"value": "1.15", "uncertainty": "0.2"}, "Duration": {"value": "0.044", "uncertainty": "0.039", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460764.80829057,0.8485947,0.1065861,1.1727018,0.9759847
2460764.80913664,0.7932142,0.106412,1.1700067,0.9729517
2460764.80997121,0.8296213,0.106241,1.1673561,0.969978
2460764.81081728,0.7796587,0.1060732,1.1647503,0.9670634
2460764.81166344,0.7131974,0.1059093,1.1622002,0.9642196
2460764.81250951,0.6417287,0.1057484,1.1596944,0.9614334
2460764.81423704,0.7490186,0.1054253,1.1546503,0.9558492
2460764.81508381,0.8626642,0.105273,1.1522657,0.9532205
2460764.81591918,0.8971219,0.1051235,1.1499242,0.9506464
2460764.81676585,0.9346753,0.1049782,1.1476435,0.9481458
2460764.81760112,0.9288134,0.1048345,1.1453847,0.9456757
2460764.81844798,0.8838022,0.1046935,1.1431664,0.9432562
2460764.81929485,0.8836833,0.1045553,1.1409883,0.9408865
2460764.82013012,0.9099496,0.1044203,1.1388592,0.9385759
2460764.82097689,0.9451958,0.1042882,1.1367712,0.9363154
2460764.82181215,0.963924,0.1041583,1.1347178,0.9340977
2460764.82265892,0.9647882,0.1040309,1.1326994,0.9319229
2460764.82349409,0.9626696,0.1039067,1.1307307,0.9298066
2460764.82434096,0.9819459,0.1037846,1.1287925,0.9277277
2460764.82518782,0.9596377,0.1036653,1.1268959,0.9256979
2460764.82602299,0.934722,0.1035483,1.1250341,0.9237097
2460764.82686986,0.8793414,0.1034338,1.1232102,0.9217661
2460764.82770513,0.8860355,0.103322,1.1214266,0.9198694
2460764.82855269,0.910875,0.1032124,1.1196771,0.9180128
2460764.82939876,0.9286998,0.1031049,1.1179603,0.9161945
2460764.83026803,0.9185756,0.1029967,1.116228,0.9143634
2460764.8311141,0.7942944,0.1028943,1.114589,0.9126344
2460764.83194856,0.8634471,0.1027952,1.1130012,0.9109624
2460764.83279463,0.7533275,0.1026977,1.1114357,0.909317
2460764.8336292,0.6725853,0.1026032,1.1099181,0.9077247
2460764.83447527,0.7359924,0.1025102,1.1084233,0.9061591
2460764.83530973,0.7548812,0.1024196,1.106965,0.9046343
2460764.8361558,0.7716294,0.1023311,1.105541,0.9031478
2460764.83700187,0.7718934,0.1022456,1.1041629,0.9017116
2460764.83783634,0.7936454,0.1021616,1.1028078,0.9003016
2460764.8386824,0.8055989,0.1020798,1.1014873,0.8989297
2460764.83952867,0.8310135,0.1020002,1.1002017,0.8975961
2460764.84036314,0.8439464,0.1019228,1.0989498,0.8962993
2460764.84120931,0.8997957,0.1018476,1.0977325,0.8950402
2460764.84210177,0.93806,0.1017702,1.0964801,0.8937466
2460764.84293694,0.9690824,0.1016994,1.0953318,0.8925621
