# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_target
"observation/WASP-183 b/ogg0m463-sq40-20250329-0122-e91.fits",2460764.808290574,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0123-e91.fits",2460764.809136641,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0124-e91.fits",2460764.809971209,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0125-e91.fits",2460764.810817277,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0126-e91.fits",2460764.811663444,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0127-e91.fits",2460764.8125095116,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0128-e91.fits",2460764.813390378,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0129-e91.fits",2460764.814237045,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0130-e91.fits",2460764.815083813,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0131-e91.fits",2460764.815919181,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0132-e91.fits",2460764.816765848,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0133-e91.fits",2460764.817601116,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0134-e91.fits",2460764.8184479834,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0135-e91.fits",2460764.819294851,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0136-e91.fits",2460764.8201301186,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0137-e91.fits",2460764.820976886,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0138-e91.fits",2460764.8218121543,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0139-e91.fits",2460764.8226589216,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0140-e91.fits",2460764.8234940893,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0141-e91.fits",2460764.8243409568,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0142-e91.fits",2460764.825187824,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0143-e91.fits",2460764.8260229914,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0144-e91.fits",2460764.826869859,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0145-e91.fits",2460764.8277051267,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0146-e91.fits",2460764.828552694,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0147-e91.fits",2460764.8293987615,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0148-e91.fits",2460764.830268028,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0149-e91.fits",2460764.8311140956,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0150-e91.fits",2460764.8319485635,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0151-e91.fits",2460764.8327946304,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0152-e91.fits",2460764.8336291984,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0153-e91.fits",2460764.8344752654,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0154-e91.fits",2460764.8353097336,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0155-e91.fits",2460764.836155801,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0156-e91.fits",2460764.8370018676,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0157-e91.fits",2460764.837836336,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0158-e91.fits",2460764.838682403,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0159-e91.fits",2460764.8395286705,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0160-e91.fits",2460764.840363138,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0161-e91.fits",2460764.8412093055,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0162-e91.fits",2460764.842101771,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0163-e91.fits",2460764.842936938,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0164-e91.fits",2460764.8437839057,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0165-e91.fits",2460764.8446306726,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0166-e91.fits",2460764.8454659404,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0167-e91.fits",2460764.8463127073,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0168-e91.fits",2460764.8471595747,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0169-e91.fits",2460764.847994842,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0170-e91.fits",2460764.8488416094,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0171-e91.fits",2460764.8496884764,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0172-e91.fits",2460764.8505237442,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0173-e91.fits",2460764.851370511,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0174-e91.fits",2460764.8522174787,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0175-e91.fits",2460764.8530525463,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0176-e91.fits",2460764.853899313,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0177-e91.fits",2460764.854734681,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0178-e91.fits",2460764.855569748,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0179-e91.fits",2460764.856416515,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0180-e91.fits",2460764.8572517834,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0181-e91.fits",2460764.85809865,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0182-e91.fits",2460764.858945417,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0183-e91.fits",2460764.859780685,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0184-e91.fits",2460764.860627352,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0185-e91.fits",2460764.861462619,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0186-e91.fits",2460764.862309386,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0187-e91.fits",2460764.8631446534,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0188-e91.fits",2460764.863991421,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0189-e91.fits",2460764.864838188,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0190-e91.fits",2460764.8656734554,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0191-e91.fits",2460764.8665202223,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0192-e91.fits",2460764.8673554896,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0193-e91.fits",2460764.8682023566,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0194-e91.fits",2460764.869037524,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0195-e91.fits",2460764.8698842907,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0196-e91.fits",2460764.8707195586,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0197-e91.fits",2460764.871566425,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0198-e91.fits",2460764.872401593,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0199-e91.fits",2460764.87323666,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0200-e91.fits",2460764.8740834272,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0201-e91.fits",2460764.8749186946,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0202-e91.fits",2460764.8757655616,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0203-e91.fits",2460764.876600729,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0204-e91.fits",2460764.877447596,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0205-e91.fits",2460764.878282763,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0206-e91.fits",2460764.8791198307,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0207-e91.fits",2460764.8799659973,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0208-e91.fits",2460764.8808128643,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0209-e91.fits",2460764.8816504315,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0210-e91.fits",2460764.882496498,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0211-e91.fits",2460764.883330966,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0212-e91.fits",2460764.8841769327,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0213-e91.fits",2460764.8850121,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0214-e91.fits",2460764.8858472668,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0215-e91.fits",2460764.8866941337,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0216-e91.fits",2460764.8875293015,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0217-e91.fits",2460764.8883760683,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0218-e91.fits",2460764.889211335,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0219-e91.fits",2460764.8900466026,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0220-e91.fits",2460764.8908933694,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0221-e91.fits",2460764.8917287365,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0222-e91.fits",2460764.8925755033,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0223-e91.fits",2460764.8934106706,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0224-e91.fits",2460764.894257537,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0225-e91.fits",2460764.8950928045,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0226-e91.fits",2460764.8959395713,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0227-e91.fits",2460764.8967748387,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0228-e91.fits",2460764.897621505,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0229-e91.fits",2460764.898456672,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0230-e91.fits",2460764.8993035387,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0231-e91.fits",2460764.900138806,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0232-e91.fits",2460764.900985573,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0233-e91.fits",2460764.90182074,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0234-e91.fits",2460764.902656007,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0235-e91.fits",2460764.9035027735,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0236-e91.fits",2460764.904338041,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0237-e91.fits",2460764.9051848073,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0238-e91.fits",2460764.9060316742,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0239-e91.fits",2460764.906866941,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0240-e91.fits",2460764.9077020083,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0241-e91.fits",2460764.9085488752,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0242-e91.fits",2460764.909384042,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0243-e91.fits",2460764.9102192093,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0244-e91.fits",2460764.911066076,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0245-e91.fits",2460764.911901243,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0246-e91.fits",2460764.9127480094,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0247-e91.fits",2460764.9135832763,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0248-e91.fits",2460764.914430143,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0249-e91.fits",2460764.9152654097,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0250-e91.fits",2460764.9161121766,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0251-e91.fits",2460764.916947344,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/WASP-183 b/ogg0m463-sq40-20250329-0252-e91.fits",2460764.9177826107,False,False,False,False,False,False,False,False,False,False,False,False,False,False
