#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=Qatar-1
#EXOPLANET_NAME=Qatar-1 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": null, "dec": null, "x": "400", "y": "432"}
#NOTES=Qatar-1 b transit observation with MicroObservatory Cecilia telescope (Whipple Observatory, Mount Graham, AZ). Clear filter, 60s exposure. 75 science frames, 2 dark frames (60s each). No flats or biases available.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=3.53846 +/- 1e-06,Rp/R*=0.118 +/- 0.005,a/R*=7.26 +/- 0.1,inc=86.5 +/- 0.5,ecc=0.0,u0=1.848 +/- 0.015,u1=-3.293 +/- 0.061,u2=3.824 +/- 0.08,u3=-1.379 +/- 0.034
#PRIORS-XC={"Period": {"value": "3.53846", "uncertainty": "1e-06", "units": "days"}, "Rp/R*": {"value": "0.118", "uncertainty": "0.005"}, "a/R*": {"value": "7.26", "uncertainty": "0.1"}, "inc": {"value": "86.5", "uncertainty": "0.5", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.848", "uncertainty": "0.015"}, "u1": {"value": "-3.293", "uncertainty": "0.061"}, "u2": {"value": "3.824", "uncertainty": "0.08"}, "u3": {"value": "-1.379", "uncertainty": "0.034"}}
#RESULTS=Tc=2461253.888 +/- 0.026,Rp/R*=0.027 +/- 0.043,inc=86.72 +/- 2.41,Am1=0.832 +/- 0.013,Am2=0.147 +/- 0.037
#RESULTS-XC={"Tc": {"value": "2461253.888", "uncertainty": "0.026", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.027", "uncertainty": "0.043"}, "inc": {"value": "86.72", "uncertainty": "2.41"}, "Am1": {"value": "0.832", "uncertainty": "0.013"}, "Am2": {"value": "0.147", "uncertainty": "0.037"}, "Duration": {"value": "0.0", "uncertainty": "0.0", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461256.65296866,0.9812301,0.0181339,1.3912427,1.0201563
2461256.6564661,1.0054608,0.0181342,1.3799935,1.0184728
2461256.66047465,1.0199096,0.0181346,1.367951,1.0166735
2461256.66446085,1.0031528,0.018135,1.3564285,1.0149549
2461256.66785197,0.9949406,0.0181353,1.3470308,1.0135554
2461256.66906944,0.9878896,0.0181354,1.3437549,1.013068
2461256.67027564,1.0086549,0.0181355,1.3405257,1.0125878
2461256.67148337,0.9949777,0.0181356,1.337363,1.0121177
2461256.67270026,1.0077016,0.0181357,1.334204,1.0116484
2461256.67392913,1.0239272,0.0181358,1.3310694,1.0111828
2461256.6751584,1.0095662,0.0181359,1.3279791,1.0107241
2461256.67637607,1.0185003,0.018136,1.3249527,1.0102751
2461256.67758221,1.005781,0.0181361,1.321969,1.0098326
2461256.679138,1.0268615,0.0181362,1.3182362,1.0092793
2461256.68121428,1.0050001,0.0181364,1.3133072,1.0085491
2461256.68330264,1.0000437,0.0181365,1.308517,1.00784
2461256.68540173,1.0040781,0.0181367,1.3038048,1.007143
2461256.69164695,0.9970193,0.0181371,1.2904885,1.0051757
2461256.6937131,1.0190854,0.0181372,1.286287,1.0045558
2461256.69581412,1.0032405,0.0181374,1.2821693,1.0039487
2461256.69787953,1.0241039,0.0181375,1.2781869,1.0033618
2461256.69996792,1.0108994,0.0181376,1.2743011,1.0027895
2461256.70205631,1.0249983,0.0181377,1.2705269,1.002234
2461256.70414421,1.0182565,0.0181378,1.2668619,1.0016948
2461256.70623197,1.0285014,0.018138,1.2632862,1.001169
2461256.70829878,1.0161541,0.0181381,1.2598484,1.0006638
2461256.71038842,1.0238771,0.0181382,1.2565118,1.0001737
2461256.71246484,0.9959488,0.0181383,1.2532574,0.9996959
2461256.71455342,0.9918712,0.0181384,1.2501162,0.9992349
2461256.71663164,1.0116581,0.0181385,1.2470857,0.9987904
2461256.71871964,1.0295078,0.0181386,1.2441472,0.9983595
2461256.72080726,0.9974595,0.0181387,1.2413147,0.9979444
2461256.7228849,1.01996,0.0181387,1.23857,0.9975423
2461256.72497161,1.0039612,0.0181388,1.2359426,0.9971576
2461256.72704887,1.0106592,0.0181389,1.233399,0.9967852
2461256.7291381,1.0248414,0.018139,1.2309529,0.9964273
2461256.73122636,1.0255822,0.0181391,1.2286176,0.9960857
2461256.73330335,1.0278492,0.0181391,1.2263605,0.9957556
2461256.73539397,1.0141083,0.0181392,1.2242104,0.9954413
2461256.73747092,1.0081402,0.0181393,1.2221503,0.9951403
2461256.73954872,1.0093379,0.0181393,1.2201933,0.9948544
2461256.74164935,1.0037033,0.0181394,1.218323,0.9945812
