#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-19
#EXOPLANET_NAME=HAT-P-19 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": null, "dec": null, "x": "400.0", "y": "432.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Cecilia (Whipple Observatory; Center for Astrophysics | Harvard-Smithsonian); camera type=CCD; first image=HATP-19260711092127.FITS; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=4.00878322 +/- 1.9e-07,Rp/R*=0.14657 +/- 0.00064,a/R*=12.84 +/- 0.06,inc=89.52 +/- 0.2,ecc=0.07,u0=1.779 +/- 0.013,u1=-3.055 +/- 0.054,u2=3.493 +/- 0.07,u3=-1.217 +/- 0.03
#PRIORS-XC={"Period": {"value": "4.00878322", "uncertainty": "1.9e-07", "units": "days"}, "Rp/R*": {"value": "0.14657", "uncertainty": "0.00064"}, "a/R*": {"value": "12.84", "uncertainty": "0.06"}, "inc": {"value": "89.52", "uncertainty": "0.2", "units": "degrees"}, "ecc": {"value": "0.07", "uncertainty": null}, "u0": {"value": "1.779", "uncertainty": "0.013"}, "u1": {"value": "-3.055", "uncertainty": "0.054"}, "u2": {"value": "3.493", "uncertainty": "0.07"}, "u3": {"value": "-1.217", "uncertainty": "0.03"}}
#RESULTS=Tc=2461228.992 +/- 0.0058,Rp/R*=0.179 +/- 0.055,inc=87.09 +/- 1.45,Am1=0.993 +/- 0.052,Am2=-0.0 +/- 0.11
#RESULTS-XC={"Tc": {"value": "2461228.992", "uncertainty": "0.0058", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.179", "uncertainty": "0.055"}, "inc": {"value": "87.09", "uncertainty": "1.45"}, "Am1": {"value": "0.993", "uncertainty": "0.052"}, "Am2": {"value": "-0.0", "uncertainty": "0.11"}, "Duration": {"value": "0.029", "uncertainty": "0.016", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461232.890607,1.0320146,0.0541146,1.3535526,0.9930532
2461232.892579,1.049045,0.054113,1.3413829,0.9930552
2461232.89464414,1.0427636,0.0541115,1.328993,0.9930573
2461232.89671975,1.0364854,0.0541099,1.3168356,0.9930593
2461232.89881898,0.9717253,0.0541084,1.3050442,0.9930613
2461232.90088324,0.9344119,0.0541069,1.2936436,0.9930632
2461232.9029836,0.9386244,0.0541055,1.2824748,0.9930651
2461232.90505967,0.9339072,0.0541041,1.2716759,0.9930669
2461232.90713928,1.0444803,0.0541028,1.2611821,0.9930687
2461232.90922757,1.0516603,0.0541015,1.2510013,0.9930704
2461232.9113052,1.0430504,0.0541002,1.2411235,0.993072
2461232.91339386,1.0155058,0.054099,1.231524,0.9930736
2461232.91755907,1.046793,0.0540966,1.2131591,0.9930767
2461232.91963557,1.0444291,0.0540955,1.2043779,0.9930782
2461232.92173542,0.8895941,0.0540944,1.1958451,0.9930796
2461232.92381209,0.8759478,0.0540934,1.1875677,0.993081
2461232.92588712,0.8706626,0.0540923,1.1795387,0.9930824
2461232.92797597,0.8831516,0.0540913,1.1717387,0.9930837
2461232.93005149,1.0006678,0.0540904,1.1642229,0.9930849
2461232.93213963,0.9993383,0.0540894,1.1568397,0.9930862
2461232.93422752,0.9866245,0.0540885,1.1497284,0.9930874
2461232.93630536,0.9985664,0.0540876,1.1428238,0.9930885
2461232.93839333,1.0033636,0.0540868,1.1361321,0.9930896
2461232.9404802,0.9976699,0.054086,1.1296482,0.9930907
2461232.94255649,1.0401648,0.0540852,1.123357,0.9930918
2461232.9446447,1.0401927,0.0540844,1.117274,0.9930928
2461232.94672124,1.0505588,0.0540836,1.1113749,0.9930938
2461232.9488092,1.0299757,0.0540829,1.1056653,0.9930947
2461232.95089721,1.0149359,0.0540822,1.100141,0.9930957
2461232.95297435,1.0049555,0.0540815,1.094798,0.9930966
2461232.95506294,0.9915002,0.0540808,1.0896323,0.9930974
2461232.95715164,1.0013944,0.0540802,1.0846404,0.9930983
2461232.9592396,0.9961875,0.0540796,1.0798186,0.9930991
2461232.96131528,1.0,0.054079,1.075134,0.9930999
2461232.96339224,0.9792297,0.0540784,1.0706723,0.9931006
2461232.96549223,1.0295398,0.0540779,1.0663139,0.9931013
2461232.96755782,0.9975239,0.0540773,1.0621681,0.993102
2461232.96964639,1.0023117,0.0540768,1.058156,0.9931027
2461232.97173346,0.8833923,0.0540763,1.0542709,0.9931034
2461232.97381068,0.9305891,0.0540759,1.050584,0.993104
2461232.97589924,0.9286182,0.0540754,1.0470248,0.9931046
2461232.97982341,0.934881,0.0540746,1.0407171,0.9931056
2461232.98372364,0.9111383,0.0540739,1.0349478,0.9931066
