#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HD 189733
#EXOPLANET_NAME=HD 189733 b
#BINNING=1x1
#EXPOSURE_TIME=2.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=elp0m400-sq41-20260804-0198-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=V
#FILTER-XC={"name": "V", "desc": "Johnson V", "fwhm": [{"value": "502.8", "units": "nm"}, {"value": "586.8", "units": "nm"}]}
#PRIORS=Period=2.218574944 +/- 3e-08,Rp/R*=0.1503 +/- 0.0038,a/R*=8.92 +/- 0.03,inc=85.78 +/- 0.03,ecc=0.028,u0=1.528 +/- 0.011,u1=-2.604 +/- 0.045,u2=3.257 +/- 0.059,u3=-1.18 +/- 0.025
#PRIORS-XC={"Period": {"value": "2.218574944", "uncertainty": "3e-08", "units": "days"}, "Rp/R*": {"value": "0.1503", "uncertainty": "0.0038"}, "a/R*": {"value": "8.92", "uncertainty": "0.03"}, "inc": {"value": "85.78", "uncertainty": "0.03", "units": "degrees"}, "ecc": {"value": "0.028", "uncertainty": null}, "u0": {"value": "1.528", "uncertainty": "0.011"}, "u1": {"value": "-2.604", "uncertainty": "0.045"}, "u2": {"value": "3.257", "uncertainty": "0.059"}, "u3": {"value": "-1.18", "uncertainty": "0.025"}}
#RESULTS=Tc=2461256.8537 +/- 0.0021,Rp/R*=0.052 +/- 0.054,inc=85.78 +/- 2.69,Am1=1.42 +/- 0.27,Am2=-0.4 +/- 1.38
#RESULTS-XC={"Tc": {"value": "2461256.8537", "uncertainty": "0.0021", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.052", "uncertainty": "0.054"}, "inc": {"value": "85.78", "uncertainty": "2.69"}, "Am1": {"value": "1.42", "uncertainty": "0.27"}, "Am2": {"value": "-0.4", "uncertainty": "1.38"}, "Duration": {"value": "0.0057", "uncertainty": "0.013", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461257.76211888,0.8122769,0.1776086,1.0099655,0.9498322
2461257.76222318,0.7172856,0.1776084,1.0099806,0.9498264
2461257.76232748,1.0096528,0.1776082,1.0100041,0.9498175
2461257.76246658,1.1656369,0.1776081,1.0100241,0.9498098
2461257.76259418,1.025181,0.1776079,1.0100479,0.9498008
2461257.76272168,0.8034183,0.1776077,1.0100677,0.9497932
2461257.76281438,0.6680432,0.1776075,1.0100851,0.9497866
2461257.76293028,0.9953864,0.1776073,1.010111,0.9497767
2461257.76305788,1.175512,0.1776071,1.0101333,0.9497682
2461257.76318528,0.9992733,0.1776069,1.0101584,0.9497586
2461257.76330118,0.8137531,0.1776067,1.0101816,0.9497498
2461257.76340558,0.688299,0.1776065,1.0102002,0.9497427
2461257.76350987,1.0022446,0.1776063,1.010228,0.9497321
2461257.76364897,1.2014719,0.1776061,1.0102526,0.9497227
2461257.76377647,1.0275104,0.1776058,1.0102814,0.9497117
2461257.76390397,0.8040281,0.1776056,1.010307,0.949702
2461257.76399667,0.6911286,0.1776054,1.0103281,0.9496939
2461257.76411257,1.0213554,0.1776052,1.0103576,0.9496827
2461257.76424017,1.1720047,0.1776049,1.0103861,0.9496718
2461257.76436817,1.0336213,0.1776047,1.0104158,0.9496605
2461257.76449567,0.7947039,0.1776044,1.0104436,0.9496499
2461257.76458847,0.7177591,0.1776042,1.0104657,0.9496415
2461257.76470437,1.0015083,0.1776039,1.0104987,0.9496289
2461257.76484337,1.1981347,0.1776037,1.0105294,0.9496172
2461257.76497087,1.0215387,0.1776034,1.0105624,0.9496046
2461257.76509837,0.8115839,0.1776031,1.0105933,0.9495928
2461257.76519117,0.7182345,0.1776029,1.0106182,0.9495834
2461257.76530706,1.031227,0.1776026,1.0106545,0.9495695
2461257.76544616,1.1287854,0.1776023,1.0106858,0.9495576
2461257.76557366,1.0390814,0.177602,1.0107223,0.9495437
2461257.76570116,0.7754514,0.1776017,1.0107546,0.9495314
2461257.76579386,0.6679177,0.1776015,1.0107812,0.9495212
2461257.76590976,1.0120765,0.1776012,1.0108203,0.9495063
2461257.76604886,1.2389419,0.1776009,1.010854,0.9494935
2461257.76617646,1.0375661,0.1776005,1.0108952,0.9494778
2461257.76630396,0.8277897,0.1776002,1.0109297,0.9494646
2461257.76640826,0.7332421,0.1776,1.0109583,0.9494537
2461257.76651266,1.0326751,0.1775996,1.011,0.9494378
2461257.76665176,1.2179163,0.1775993,1.0110358,0.9494242
2461257.76677926,1.0495305,0.1775989,1.0110754,0.9494091
2461257.76689516,0.8032162,0.1775986,1.0111121,0.9493951
