#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=CoRoT-2
#EXOPLANET_NAME=CoRoT-2 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": "291.268889543", "dec": "0.98475858004", "x": "603.0", "y": "486.0"}
#NOTES=MicroObservatory Cecilia telescope at Whipple Observatory. Targeted observation of CoRoT-2 b transit. No bias/flat calibration frames available. Dark frames present but not used. Pixel scale: 3600 arcsec/pixel (from FITS header IM_SCALE=5.0 arcsec/pixel with 2x2 binning = 10 arcsec/pixel). Exposure time: 60s.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=1.742998455 +/- 4e-08,Rp/R*=0.1795 +/- 0.0011,a/R*=6.7 +/- 0.03,inc=87.84 +/- 0.1,ecc=0.0,u0=2.006 +/- 0.017,u1=-3.643 +/- 0.069,u2=4.166 +/- 0.091,u3=-1.529 +/- 0.039
#PRIORS-XC={"Period": {"value": "1.742998455", "uncertainty": "4e-08", "units": "days"}, "Rp/R*": {"value": "0.1795", "uncertainty": "0.0011"}, "a/R*": {"value": "6.7", "uncertainty": "0.03"}, "inc": {"value": "87.84", "uncertainty": "0.1", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.006", "uncertainty": "0.017"}, "u1": {"value": "-3.643", "uncertainty": "0.069"}, "u2": {"value": "4.166", "uncertainty": "0.091"}, "u3": {"value": "-1.529", "uncertainty": "0.039"}}
#RESULTS=Tc=2461254.8378 +/- 0.0036,Rp/R*=0.001 +/- 0.061,inc=87.79 +/- 2.08,Am1=6.82 +/- 2.04,Am2=-1.51 +/- 0.23
#RESULTS-XC={"Tc": {"value": "2461254.8378", "uncertainty": "0.0036", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.001", "uncertainty": "0.061"}, "inc": {"value": "87.79", "uncertainty": "2.08"}, "Am1": {"value": "6.82", "uncertainty": "2.04"}, "Am2": {"value": "-1.51", "uncertainty": "0.23"}, "Duration": {"value": "0.081", "uncertainty": "0.0078", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461254.75539012,0.8100907,0.3741861,1.1586315,1.1804015
2461254.75660702,1.2714405,0.3743189,1.1582768,1.1810355
2461254.75862446,1.1774436,0.374478,1.1578518,1.1817955
2461254.76072261,1.0265567,0.3745707,1.1576042,1.1822385
2461254.76278808,1.2352314,0.3745927,1.1575453,1.1823439
2461254.76487678,1.1773657,0.3745354,1.1576985,1.1820698
2461254.76695201,1.0,0.3744117,1.1580288,1.181479
2461254.76904049,0.9909668,0.3742082,1.1585723,1.1805072
2461254.77111856,1.0490961,0.3739334,1.159307,1.1791951
2461254.77321972,1.2505389,0.3735823,1.1602463,1.1775195
2461254.77528633,1.1062541,0.3731632,1.1613689,1.1755202
2461254.77738469,1.4593253,0.3726663,1.1627014,1.1731515
2461254.77945077,1.2837595,0.3720952,1.164235,1.1704311
2461254.78154109,0.9383916,0.3714488,1.1659736,1.1673549
2461254.78361713,1.1361684,0.3707352,1.1678968,1.1639614
2461254.78570577,1.0658458,0.3699393,1.1700459,1.1601809
2461254.78779446,1.1130302,0.3690688,1.1724016,1.1560512
2461254.78987287,1.0413008,0.3681271,1.1749566,1.1515886
2461254.79195095,0.8754593,0.3671125,1.1777165,1.1467874
2461254.79403764,0.8999274,0.366014,1.1807133,1.1415969
2461254.79612572,1.5937621,0.3648439,1.1839152,1.136077
2461254.7982143,1.3314829,0.3635957,1.1873421,1.1301989
2461254.80029002,0.9694197,0.3622773,1.1909748,1.1240009
2461254.80238951,1.4147105,0.3608671,1.194875,1.1173845
2461254.80445354,0.7211826,0.3594025,1.1989419,1.1105267
2461254.80654176,1.0866434,0.3578469,1.2032795,1.1032587
2461254.80861766,1.1843964,0.3562182,1.2078413,1.0956663
2461254.81070555,0.7885172,0.3545092,1.2126505,1.0877189
2461254.81279363,0.993648,0.3527229,1.2177021,1.079433
2461254.81486976,0.9322421,0.3508571,1.2230057,1.0708015
2461254.81696948,0.8829828,0.3489097,1.2285717,1.0618174
2461254.81904592,0.9854492,0.3468837,1.2343953,1.052498
2461254.82112171,1.0336007,0.3447769,1.2404872,1.0428368
2461254.82321019,0.8816204,0.3425927,1.2468425,1.0328523
2461254.82737413,1.3038265,0.3379777,1.2604049,1.0118639
2461254.82945009,0.9192598,0.3355481,1.2676194,1.0008734
2461254.83153722,0.9888476,0.3330323,1.2751453,0.9895358
2461254.83362569,1.3245441,0.3304338,1.2829783,0.9778718
2461254.83570225,1.0116545,0.3277566,1.2911137,0.9659032
2461254.83778955,1.0979819,0.3249924,1.299583,0.9535988
2461254.83987815,0.9267721,0.3221391,1.3084013,0.9409539
2461254.8419543,1.0484535,0.319207,1.3175451,0.9280194
2461254.84404321,0.8450128,0.3161878,1.3270486,0.9147646
2461254.84612118,0.9421469,0.3130859,1.3369072,0.9012143
2461254.8482214,0.9890641,0.3098732,1.3472218,0.8872523
