BJD,Norm Flux,Norm Err,AM
2461254.75539012,0.8100907,0.374186,1.16
2461254.75660702,1.2714405,0.374319,1.16
2461254.75862446,1.1774436,0.374478,1.16
2461254.76072261,1.0265567,0.374571,1.16
2461254.76278808,1.2352314,0.374593,1.16
2461254.76487678,1.1773657,0.374535,1.16
2461254.76695201,1.0,0.374412,1.16
2461254.76904049,0.9909668,0.374208,1.16
2461254.77111856,1.0490961,0.373933,1.16
2461254.77321972,1.2505389,0.373582,1.16
2461254.77528633,1.1062541,0.373163,1.16
2461254.77738469,1.4593253,0.372666,1.16
2461254.77945077,1.2837595,0.372095,1.16
2461254.78154109,0.9383916,0.371449,1.17
2461254.78361713,1.1361684,0.370735,1.17
2461254.78570577,1.0658458,0.369939,1.17
2461254.78779446,1.1130302,0.369069,1.17
2461254.78987287,1.0413008,0.368127,1.17
2461254.79195095,0.8754593,0.367112,1.18
2461254.79403764,0.8999274,0.366014,1.18
2461254.79612572,1.5937621,0.364844,1.18
2461254.7982143,1.3314829,0.363596,1.19
2461254.80029002,0.9694197,0.362277,1.19
2461254.80238951,1.4147105,0.360867,1.19
2461254.80445354,0.7211826,0.359403,1.2
2461254.80654176,1.0866434,0.357847,1.2
2461254.80861766,1.1843964,0.356218,1.21
2461254.81070555,0.7885172,0.354509,1.21
2461254.81279363,0.993648,0.352723,1.22
2461254.81486976,0.9322421,0.350857,1.22
2461254.81696948,0.8829828,0.34891,1.23
2461254.81904592,0.9854492,0.346884,1.23
2461254.82112171,1.0336007,0.344777,1.24
2461254.82321019,0.8816204,0.342593,1.25
2461254.82737413,1.3038265,0.337978,1.26
2461254.82945009,0.9192598,0.335548,1.27
2461254.83153722,0.9888476,0.333032,1.28
2461254.83362569,1.3245441,0.330434,1.28
2461254.83570225,1.0116545,0.327757,1.29
2461254.83778955,1.0979819,0.324992,1.3
2461254.83987815,0.9267721,0.322139,1.31
2461254.8419543,1.0484535,0.319207,1.32
2461254.84404321,0.8450128,0.316188,1.33
2461254.84612118,0.9421469,0.313086,1.34
2461254.8482214,0.9890641,0.309873,1.35
2461254.85028504,1.1162814,0.306613,1.36
2461254.85237295,0.9060746,0.303245,1.37
2461254.85445097,0.9269606,0.299793,1.38
2461254.85655033,0.8466377,0.296249,1.39
2461254.85861567,0.9837141,0.29264,1.4
2461254.8607045,1.5059862,0.288899,1.42
2461254.86486839,0.6216256,0.281186,1.44
2461254.86695669,1.0510413,0.277198,1.46
2461254.86904326,0.6941922,0.273115,1.47
2461254.8732077,0.8474916,0.264689,1.5
2461254.87528402,0.5943985,0.260335,1.52
2461254.87944847,0.5133999,0.251392,1.56
2461254.89403374,0.1784392,0.217164,1.7
2461254.89612388,0.781017,0.21194,1.73
2461254.90445323,0.8730996,0.190213,1.84
2461254.91071844,0.2455797,0.17311,1.93
2461254.91694731,0.0544279,0.155539,2.04
2461254.93155243,0.0618083,0.112933,2.36
