#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=Qatar-10
#EXOPLANET_NAME=Qatar-10 b
#BINNING=1x1
#EXPOSURE_TIME=77.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=ogg0m455-sq30-20240714-0124-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "Clear (unfiltered) reduced to V sequence", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=3.619429 +/- 1e-05,Rp/R*=0.1 +/- 1,a/R*=8.6 +/- 1,inc=88.7 +/- 1,ecc=0.0,u0=0.32 +/- 0.11,u1=2.06 +/- 0.45,u2=-2.46 +/- 0.6,u3=1.08 +/- 0.25
#PRIORS-XC={"Period": {"value": "3.619429", "uncertainty": "1e-05", "units": "days"}, "Rp/R*": {"value": "0.1", "uncertainty": "1"}, "a/R*": {"value": "8.6", "uncertainty": "1"}, "inc": {"value": "88.7", "uncertainty": "1", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "0.32", "uncertainty": "0.11"}, "u1": {"value": "2.06", "uncertainty": "0.45"}, "u2": {"value": "-2.46", "uncertainty": "0.6"}, "u3": {"value": "1.08", "uncertainty": "0.25"}}
#RESULTS=Tc=2460505.86 +/- 0.52,Rp/R*=0.018 +/- 0.037,inc=88.03 +/- 1.78,Am1=0.073 +/- 0.027,Am2=1.72 +/- 0.7
#RESULTS-XC={"Tc": {"value": "2460505.86", "uncertainty": "0.52", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.018", "uncertainty": "0.037"}, "inc": {"value": "88.03", "uncertainty": "1.78"}, "Am1": {"value": "0.073", "uncertainty": "0.027"}, "Am2": {"value": "1.72", "uncertainty": "0.7"}, "Duration": {"value": "0.029", "uncertainty": "0.056", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460506.86021674,0.8928877,0.4031778,1.5511959,1.0389363
2460506.86124839,0.8480776,0.4033558,1.5497605,1.036381
2460506.86228074,0.6376932,0.4035297,1.5483586,1.0338915
2460506.86331319,0.1918786,0.4036991,1.5469928,1.0314718
2460506.86434594,0.9411904,0.4038646,1.54566,1.029116
2460506.86537849,0.8631475,0.4040252,1.5443664,1.0268346
2460506.86641104,0.7254069,0.4041829,1.5430975,1.0246018
2460506.86744359,0.8413027,0.4043363,1.5418632,1.0224344
2460506.86847624,0.9331648,0.4044847,1.5406694,1.0203426
2460506.87052964,0.808304,0.404769,1.5383845,1.0163508
2460506.87259484,1.1804075,0.4050386,1.5362186,1.0125813
2460506.87362739,1.135119,0.4051679,1.5351806,1.0107797
2460506.87465984,0.6958934,0.4052911,1.5341911,1.0090653
2460506.87569239,0.8989332,0.4054126,1.5332165,1.0073796
2460506.87672494,0.883176,0.4055286,1.5322862,1.0057731
2460506.87775759,0.9602134,0.4056414,1.5313812,1.0042127
2460506.87879014,0.9345294,0.4057494,1.5305156,1.0027226
2460506.87982269,0.879757,0.4058539,1.529678,1.0012828
2460506.88085534,0.9150559,0.4059533,1.528881,0.9999146
2460506.88188799,0.8594719,0.4060492,1.528113,0.998598
2460506.88292044,0.7855734,0.406142,1.5273699,0.9973258
2460506.88395299,0.8135479,0.4062302,1.5266637,0.9961182
2460506.88498554,0.8076364,0.4063143,1.5259903,0.9949681
2460506.88601809,0.8163839,0.4063939,1.5253533,0.9938814
2460506.88705074,0.7796872,0.4064697,1.5247462,0.9928468
2460506.88911604,0.943764,0.4066098,1.5236255,0.9909397
2460506.8901485,1.0793182,0.4066737,1.5231147,0.9900717
2460506.89221359,1.0772458,0.4067894,1.5221893,0.9885012
2460506.89324624,0.7040458,0.4068414,1.5217732,0.9877958
2460506.89427899,1.2614587,0.4068893,1.5213908,0.987148
2460506.8963423,0.7882847,0.4069732,1.5207198,0.9860123
2460506.89737385,0.6796847,0.4070091,1.5204325,0.9855264
2460506.8984055,1.0130987,0.4070413,1.5201758,0.9850925
2460506.89947195,1.6512242,0.4070702,1.5199445,0.9847017
2460506.9005036,1.5845232,0.4070941,1.5197534,0.9843789
2460506.90153515,1.9810161,0.4071141,1.5195939,0.9841096
2460506.9025668,1.1954105,0.4071303,1.5194646,0.9838913
2460506.90359855,0.8499516,0.4071423,1.5193682,0.9837286
2460506.9046302,0.6640849,0.4071504,1.519304,0.9836202
2460506.90566185,0.7532296,0.4071545,1.5192709,0.9835644
2460506.9066937,1.9121909,0.4071546,1.5192706,0.9835639
2460506.90772615,1.2185582,0.4071507,1.5193018,0.9836165
2460506.9087588,1.8491311,0.4071428,1.5193646,0.9837225
2460506.90979105,0.7533344,0.4071311,1.5194582,0.9838805
2460506.9108344,1.3738808,0.4071151,1.5195862,0.9840966
2460506.91186615,0.7826472,0.4070954,1.5197435,0.9843622
2460506.9128977,0.7946398,0.4070717,1.5199326,0.9846816
2460506.91392935,1.0892632,0.4070441,1.5201532,0.9850543
2460506.9149611,1.351029,0.4070124,1.5204062,0.9854819
2460506.91598115,0.2423272,0.4069773,1.5206873,0.9859573
2460506.9170129,1.5916111,0.4069376,1.5210043,0.9864936
2460506.91804455,1.1942184,0.4068941,1.5213521,0.9870824
2460506.9190762,1.1303002,0.4068463,1.5217344,0.98773
2460506.92010785,1.2015827,0.406795,1.5221446,0.9884254
2460506.9211395,1.2930443,0.4067395,1.5225878,0.9891772
2460506.92217125,0.9885233,0.4066798,1.5230657,0.9899885
2460506.923203,0.8321504,0.4066167,1.5235703,0.9908459
2460506.92423525,1.0406772,0.406549,1.5241118,0.9917668
2460506.9252669,1.5922714,0.4064772,1.5246862,0.9927446
2460506.92629845,0.7509562,0.4064021,1.5252874,0.993769
2460506.92836185,1.6277444,0.4062392,1.5265917,0.9959952
2460506.9293935,0.1592438,0.4061514,1.5272948,0.9971973
2460506.93042525,1.012291,0.4060598,1.5280279,0.9984523
2460506.931457,1.457505,0.4059642,1.5287938,0.9997651
2460506.93248875,0.6285675,0.4058651,1.529588,1.0011282
2460506.9335204,0.7056136,0.4057612,1.5304206,1.0025592
2460506.93455215,1.1564512,0.4056534,1.5312853,1.0040475
2460506.9355838,0.8523946,0.4055413,1.5321838,1.0055964
2460506.93661545,1.1665918,0.4054257,1.5331111,1.0071974
2460506.9376474,1.5496246,0.4053062,1.5340706,1.0088567
2460506.93867985,1.7267908,0.405182,1.5350672,1.0105831
2460506.9397124,1.2988414,0.4050543,1.5360928,1.0123628
2460506.94074495,0.9955085,0.4049218,1.5371563,1.0142115
2460506.9417775,1.2087359,0.4047852,1.538254,1.0161233
2460506.94281005,0.8117144,0.4046447,1.539383,1.0180933
2460506.9438427,1.1126416,0.4045002,1.5405449,1.0201247
2460506.94487525,0.9457095,0.4043515,1.5417411,1.0222203
2460506.9459078,1.2822499,0.4041993,1.5429655,1.0243698
2460506.94694045,1.0288209,0.4040424,1.5442282,1.0265912
2460506.9479729,1.1169109,0.4038808,1.5455291,1.0288849
2460506.94900545,0.9553212,0.4037158,1.5468584,1.031234
2460506.9500381,0.9868431,0.4035472,1.5482171,1.0336405
2460506.95107075,1.3959044,0.4033732,1.5496196,1.0361305
2460506.9521033,1.1142121,0.4031961,1.5510481,1.0386729
2460506.95313615,0.6924236,0.4030139,1.5525189,1.041297
2460506.9541686,0.1457761,0.4028269,1.5540284,1.0439971
2460506.95520115,1.1573751,0.4026374,1.5555585,1.0467412
2460506.9562337,0.9616083,0.4024426,1.5571326,1.0495718
