#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-43
#EXOPLANET_NAME=WASP-43 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": "154.976003088", "dec": "-9.75010313418", "x": "870.0", "y": "1475.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Exoplanet Watch .4 Meter; camera type=CCD; first image=lsc0m476-sq34-20260311-0122-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "Clear (unfiltered) reduced to V sequence", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=0.81347407 +/- 2e-08,Rp/R*=0.15854 +/- 0.00079,a/R*=4.86 +/- 0.01,inc=82.133 +/- 0.001,ecc=0.0062,u0=1.707 +/- 0.012,u1=-2.726 +/- 0.048,u2=3.065 +/- 0.064,u3=-1.046 +/- 0.027
#PRIORS-XC={"Period": {"value": "0.81347407", "uncertainty": "2e-08", "units": "days"}, "Rp/R*": {"value": "0.15854", "uncertainty": "0.00079"}, "a/R*": {"value": "4.86", "uncertainty": "0.01"}, "inc": {"value": "82.133", "uncertainty": "0.001", "units": "degrees"}, "ecc": {"value": "0.0062", "uncertainty": null}, "u0": {"value": "1.707", "uncertainty": "0.012"}, "u1": {"value": "-2.726", "uncertainty": "0.048"}, "u2": {"value": "3.065", "uncertainty": "0.064"}, "u3": {"value": "-1.046", "uncertainty": "0.027"}}
#RESULTS=Tc=2461111.74044 +/- 0.00057,Rp/R*=0.168 +/- 0.0048,inc=82.93 +/- 0.44,Am1=1.0041 +/- 0.0065,Am2=-0.0028 +/- 0.0036
#RESULTS-XC={"Tc": {"value": "2461111.74044", "uncertainty": "0.00057", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.168", "uncertainty": "0.0048"}, "inc": {"value": "82.93", "uncertainty": "0.44"}, "Am1": {"value": "1.0041", "uncertainty": "0.0065"}, "Am2": {"value": "-0.0028", "uncertainty": "0.0036"}, "Duration": {"value": "0.054", "uncertainty": "0.0012", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461111.67574718,0.9897342,0.0073751,1.0692252,1.0011767
2461111.67646577,0.9918927,0.0073751,1.0696198,1.0011756
2461111.67719616,0.9923083,0.0073751,1.0700374,1.0011745
2461111.67792645,1.0031144,0.0073751,1.0704738,1.0011733
2461111.68014061,0.9827219,0.007375,1.071933,1.0011692
2461111.6808709,0.9988148,0.007375,1.0724549,1.0011678
2461111.68160119,0.9892041,0.007375,1.0729987,1.0011663
2461111.68233148,1.0069925,0.007375,1.0735609,1.0011647
2461111.68305036,1.0028974,0.0073749,1.0741439,1.0011631
2461111.68378065,0.9874475,0.0073749,1.0747477,1.0011614
2461111.68449934,1.0061836,0.0073749,1.0753664,1.0011597
2461111.68521813,1.0082531,0.0073749,1.0760086,1.001158
2461111.68593672,1.0030347,0.0073749,1.0766721,1.0011561
2461111.686667,0.9987383,0.0073748,1.0773565,1.0011542
2461111.68738579,0.9889645,0.0073748,1.0780688,1.0011523
2461111.68884637,1.0145115,0.0073748,1.0795508,1.0011482
2461111.68956506,1.0075094,0.0073747,1.0803195,1.001146
2461111.69028365,0.987871,0.0073747,1.0811144,1.0011439
2461111.69101413,0.9993466,0.0073747,1.0819314,1.0011416
2461111.69179102,1.0111155,0.0073747,1.0828314,1.0011391
2461111.69250981,1.0119374,0.0073746,1.0836887,1.0011367
2461111.69324,1.0125567,0.0073746,1.0845672,1.0011343
2461111.69395869,0.9997038,0.0073746,1.0854666,1.0011318
2461111.69468917,0.9976029,0.0073746,1.0863969,1.0011293
2461111.69540786,1.0090611,0.0073745,1.0873449,1.0011266
2461111.69613815,0.9979415,0.0073745,1.0883248,1.0011239
2461111.69686834,1.0047348,0.0073745,1.0893122,1.0011212
2461111.69758713,0.9975326,0.0073744,1.0903316,1.0011184
2461111.69831741,0.9902222,0.0073744,1.0913739,1.0011155
2461111.6990361,0.9919555,0.0073744,1.0924297,1.0011126
2461111.69976639,1.0102649,0.0073743,1.093508,1.0011096
2461111.70048508,0.9971542,0.0073743,1.0946137,1.0011066
2461111.70121537,1.0149548,0.0073743,1.095742,1.0011034
2461111.70193405,1.0065478,0.0073742,1.0968932,1.0011003
2461111.70266434,1.0097806,0.0073742,1.0980631,1.001097
2461111.70338303,0.9987052,0.0073742,1.0992501,1.0010937
2461111.70410182,1.011461,0.0073741,1.1004768,1.0010904
2461111.70484361,0.9962202,0.0073741,1.1017393,1.0010869
2461111.70556229,1.0047106,0.007374,1.1030011,1.0010834
2461111.70629268,1.0009785,0.007374,1.1042934,1.0010798
2461111.70701137,1.0049285,0.007374,1.1056096,1.0010762
2461111.70774186,0.9986146,0.0073739,1.1069567,1.0010725
2461111.70847215,1.0003878,0.0073739,1.1083143,1.0010687
2461111.70919083,1.0156952,0.0073738,1.1097015,1.0010649
