BJD,Norm Flux,Norm Err,AM
2460506.86191497,1.4300788,0.323509,1.55
2460506.86604402,1.7064854,0.323608,1.55
2460506.87017416,1.0031795,0.323698,1.54
2460506.8742926,1.7626502,0.323778,1.54
2460506.87842254,0.8697951,0.323848,1.53
2460506.88255278,0.7414055,0.32391,1.53
2460506.88668283,0.7888189,0.323961,1.53
2460506.89081317,0.9648682,0.324004,1.52
2460506.89494321,1.2715955,0.324037,1.52
2460506.89907065,1.3113375,0.324061,1.52
2460506.9032318,0.9506414,0.324076,1.52
2460506.90735834,1.054161,0.324082,1.52
2460506.91148738,0.8559438,0.324079,1.52
2460506.91562552,1.1335184,0.324066,1.52
2460506.91974056,1.77667,0.324045,1.52
2460506.9238671,1.0402916,0.324014,1.52
2460506.92799415,1.1804975,0.323974,1.53
2460506.93212079,0.9132124,0.323925,1.53
2460506.93624753,0.623616,0.323866,1.53
2460506.94037507,0.7987192,0.323798,1.54
2460506.94450511,1.4394758,0.323721,1.54
2460506.94863535,0.647124,0.323634,1.54
2460506.95276549,0.5952097,0.323537,1.55
2460506.95689574,0.9411296,0.323431,1.56
2460506.96102578,0.5788921,0.323314,1.56
2460506.96515602,1.0712267,0.323188,1.57
2460506.96928616,1.0176132,0.323051,1.58
2460506.9734163,0.8939147,0.322904,1.58
2460506.97754644,1.5943092,0.322745,1.59
2460506.98168568,1.0074629,0.322577,1.6
2460506.98580062,1.0,0.322397,1.61
2460506.98992716,1.032043,0.322207,1.62
2460506.99404401,0.8835501,0.322004,1.64
2460506.99817035,0.5319925,0.32179,1.65
2460507.00230849,0.8699111,0.321563,1.66
