#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=Qatar-10
#EXOPLANET_NAME=Qatar-10 b
#BINNING=1
#EXPOSURE_TIME=77.0
#COMP_STAR-XC=null
#NOTES=LCOGT 0.4m-06 at Haleakala Observatory. Subset of images for testing.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "620.0", "units": "nm"}, {"value": "750.0", "units": "nm"}]}
#PRIORS=Period=3.0224 +/- 0.0001,Rp/R*=0.0114 +/- 0.001,a/R*=13.78 +/- 0.5,inc=88.4 +/- 0.1,ecc=0.0,u0=2.275 +/- 0.02,u1=-3.992 +/- 0.08,u2=4.23 +/- 0.1,u3=-1.514 +/- 0.044
#PRIORS-XC={"Period": {"value": "3.0224", "uncertainty": "0.0001", "units": "days"}, "Rp/R*": {"value": "0.0114", "uncertainty": "0.001"}, "a/R*": {"value": "13.78", "uncertainty": "0.5"}, "inc": {"value": "88.4", "uncertainty": "0.1", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.275", "uncertainty": "0.02"}, "u1": {"value": "-3.992", "uncertainty": "0.08"}, "u2": {"value": "4.23", "uncertainty": "0.1"}, "u3": {"value": "-1.514", "uncertainty": "0.044"}}
#RESULTS=Tc=2460506.93 +/- 0.43,Rp/R*=0.0044 +/- 0.0041,inc=87.84 +/- 1.89,Am1=11.12 +/- 3.39,Am2=-1.52 +/- 1.01
#RESULTS-XC={"Tc": {"value": "2460506.93", "uncertainty": "0.43", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.0044", "uncertainty": "0.0041"}, "inc": {"value": "87.84", "uncertainty": "1.89"}, "Am1": {"value": "11.12", "uncertainty": "3.39"}, "Am2": {"value": "-1.52", "uncertainty": "1.01"}, "Duration": {"value": "0.0069", "uncertainty": "0.02", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460506.86191497,1.4300788,0.3235089,1.5511959,1.0469142
2460506.86604402,1.7064854,0.3236082,1.54566,1.0557787
2460506.87017416,1.0031795,0.3236978,1.5406694,1.0638344
2460506.8742926,1.7626502,0.3237777,1.5362186,1.0710706
2460506.87842254,0.8697951,0.3238484,1.5322862,1.077505
2460506.88255278,0.7414055,0.3239095,1.528881,1.0831079
2460506.88668283,0.7888189,0.3239615,1.5259903,1.0878871
2460506.89081317,0.9648682,0.324004,1.5236255,1.0918125
2460506.89494321,1.2715955,0.3240372,1.5217732,1.0948971
2460506.89907065,1.3113375,0.3240613,1.5204325,1.0971352
2460506.9032318,0.9506414,0.3240764,1.5195939,1.0985374
2460506.90735834,1.054161,0.3240822,1.5192709,1.099078
2460506.91148738,0.8559438,0.3240789,1.5194582,1.0987645
2460506.91562552,1.1335184,0.3240664,1.5201532,1.097602
2460506.91974056,1.77667,0.3240448,1.5213521,1.0955996
2460506.9238671,1.0402916,0.324014,1.5230657,1.0927438
2460506.92799415,1.1804975,0.3239741,1.5252874,1.0890524
2460506.93212079,0.9132124,0.3239249,1.5280279,1.0845161
2460506.93624753,0.623616,0.3238663,1.5312853,1.0791488
2460506.94037507,0.7987192,0.3237984,1.5350672,1.0729506
2460506.94450511,1.4394758,0.3237209,1.539383,1.0659208
2460506.94863535,0.647124,0.3236339,1.5442282,1.0580836
2460506.95276549,0.5952097,0.3235372,1.5496196,1.0494307
2460506.95689574,0.9411296,0.3234306,1.5555585,1.0399809
2460506.96102578,0.5788921,0.3233141,1.5620553,1.0297408
2460506.96515602,1.0712267,0.3231876,1.5691149,1.0187279
2460506.96928616,1.0176132,0.3230508,1.5767486,1.0069519
2460506.9734163,0.8939147,0.3229035,1.5849675,0.9944253
2460506.97754644,1.5943092,0.3227455,1.593796,0.9811432
2460506.98168568,1.0074629,0.3225766,1.6032326,0.9671423
2460506.98580062,1.0,0.3223973,1.6132602,0.9524834
2460506.98992716,1.032043,0.3222066,1.6239285,0.9371318
2460506.99404401,0.8835501,0.3220043,1.6352503,0.9211103
2460506.99817035,0.5319925,0.3217896,1.6472767,0.9043916
2460507.00230849,0.8699111,0.3215628,1.6599897,0.8870483
