# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_target
"observation/Qatar-1 b/Qatar-1260804033734.FITS",2461256.6529686595,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804034237.FITS",2461256.656466101,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804034823.FITS",2461256.660474653,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804035407.FITS",2461256.664460854,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804035900.FITS",2461256.6678519743,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804040046.FITS",2461256.6690694406,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804040230.FITS",2461256.670275645,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804040414.FITS",2461256.671483366,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804040559.FITS",2461256.672700265,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804040745.FITS",2461256.6739291316,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804040932.FITS",2461256.6751584033,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804041117.FITS",2461256.6763760666,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804041301.FITS",2461256.677582213,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804041515.FITS",2461256.679137996,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/Qatar-1 b/Qatar-1260804041815.FITS",2461256.6812142753,True,False,False,False,False,False,False,False,False,False,False,False,False,False
