# #x_centroid, y_centroid, amplitude, sigma_x, sigma_y, rotation offset
516.975531 117.000673 69.994358 0.500000 0.500000 0.722248 360.780326
516.976318 116.973670 161.865989 0.500000 0.500000 0.784738 30.376045
516.989723 116.988705 86.276809 0.500000 0.500000 -0.778983 26.433503
516.955908 116.990405 10.449319 0.500000 0.500000 -0.780353 29.211489
516.975636 116.984525 4.905594 0.500000 0.809578 0.570462 35.927712
516.953505 116.998068 1.202341 15.989268 20.000000 -0.009557 41.954665
516.945236 116.975507 8.597990 0.500000 0.601516 0.717123 27.449256
523.969018 262.004382 1.760591 6.437930 0.500000 -0.190961 42.588576
226.996393 477.981805 1.738713 0.500000 13.934531 0.726891 57.787297
516.959445 116.984865 87.476522 0.500000 0.500000 0.784645 32.888289
516.979788 116.993699 88.692375 0.500000 0.500000 0.785398 103.152624
516.975272 116.998322 80.264241 0.500000 0.500000 0.301385 157.646504
516.982397 116.992334 30.677762 0.500000 0.500000 -0.734595 91.365701
516.987345 116.992099 51.800315 0.500000 0.500000 -0.782791 106.520610
516.974913 116.991918 85.479685 0.500000 0.500000 0.785146 40.734537
388.992848 253.989725 4.166713 1.108930 0.681157 0.785398 96.800962
516.965768 116.977185 99.928610 0.500000 0.500000 -0.784998 26.080631
516.909054 116.992313 87.148901 0.500000 0.500000 -0.783812 26.724402
516.986758 117.009873 17.475041 20.000000 6.671140 -0.785398 3539.973885
516.935255 116.987183 58.653258 0.500000 0.500000 -0.784685 15.692256
516.954567 116.890589 0.726936 4.140262 19.970497 -0.785398 12.964331
516.929165 116.944189 0.812795 11.105163 20.000000 -0.785398 18.552250
516.934739 116.932723 0.605373 11.402756 20.000000 -0.785398 19.282806
516.978417 117.006386 1.444263 20.000000 7.300523 -0.785398 227.990274
516.963677 116.979415 0.983628 17.086433 1.660407 0.215358 23.826012
516.933647 117.009321 1.038230 19.026581 1.230464 -0.568394 20.611233
516.959625 116.969349 2.132936 2.843723 1.308025 0.785398 28.414311
516.975116 116.986241 1.252496 16.623498 0.799063 -0.367960 26.213693
516.934846 117.005644 0.000000 0.502322 6.719782 -0.777871 22.399584
516.968859 116.979121 0.739617 3.780532 19.170362 -0.785398 27.625472
516.931888 116.984272 63.811350 0.500000 0.500000 0.785398 25.398403
516.950709 116.982515 200.701950 0.500000 0.500000 -0.785369 39.446016
516.971295 117.018460 0.650353 4.236756 20.000000 0.785398 52.357546
516.970545 117.024380 150.239608 0.500000 0.500000 0.452990 56.536074
516.969436 117.002166 107.094958 0.500000 0.500000 0.293826 54.821971
516.979452 116.993745 112.310337 0.500000 0.500000 0.785179 72.759089
516.977963 116.987754 129.867534 0.500000 0.500000 0.785266 66.103147
516.966620 116.995548 142.884439 0.500000 0.500000 -0.776796 59.005262
516.976436 116.984218 118.880490 0.500000 0.500000 -0.780082 64.251672
516.974236 117.001296 108.924039 0.500000 0.500000 -0.785395 56.422447
516.993970 116.990761 130.899860 0.500000 0.500000 -0.785398 62.679954
516.979825 117.000349 0.808415 20.000000 12.054096 -0.785398 78.508936
516.980320 116.996642 0.524066 5.136196 19.999577 -0.496535 83.680073
516.978443 116.990975 0.917117 20.000000 2.164547 0.506980 90.765351
516.980076 116.995939 3.277280 1.097831 0.500000 -0.785398 100.550152
516.993503 117.011188 1.185334 1.864716 8.343912 -0.331402 97.515492
516.990582 117.004734 7.919446 0.500000 1.100959 -0.785398 115.924668
516.976481 117.016829 174.187495 0.500000 0.500000 0.389913 137.375091
387.000617 194.000219 2.855980 0.500015 0.500004 0.777785 130.706488
387.001139 193.999501 2.018135 0.500000 10.694515 -0.402830 180.440203
387.000014 193.998487 3.364208 0.500000 6.919071 -0.665787 183.170777
516.980963 117.012442 228.815380 0.500000 0.500000 -0.780221 136.729648
386.996470 193.990464 6.879851 0.500000 0.500000 0.776600 104.475213
516.992078 116.998000 212.644401 0.500000 0.500000 -0.785215 190.311476
386.994458 193.988432 2.945437 0.500000 5.615332 -0.202869 140.856237
387.006043 193.997698 2.579067 1.979953 1.269307 0.785398 179.651170
516.987225 117.002723 660.159408 0.500000 0.500000 0.431021 216.175841
386.992357 193.999050 6.256716 0.500000 1.655582 -0.530892 240.333983
304.995055 317.999214 4.692945 3.870125 0.556103 0.123736 218.276844
516.990464 116.999156 249.859201 0.500000 0.500000 0.782871 231.960623
516.993198 116.998632 200.192855 0.500000 0.500000 0.784964 260.105551
304.999362 317.991884 3.150522 0.590794 12.078859 0.359573 258.370340
304.998127 318.002117 12.416600 0.500000 0.650636 -0.035089 262.976579
516.993370 117.002435 78.791573 0.500000 0.500000 -0.271727 273.184996
392.994240 388.986628 4.758977 2.080156 0.500000 -0.710187 262.533715
516.985256 117.005250 73.534582 0.500000 0.500000 -0.719549 254.490270
516.993746 117.002120 80.435984 0.500000 0.500000 0.723476 264.149858
516.989284 117.000099 64.770623 0.500000 0.500000 -0.779042 247.644448
516.993841 117.003564 113.507457 0.500000 0.500000 0.785131 264.479310
516.989732 117.004958 137.551316 0.500000 0.500000 0.785398 258.243171
516.989871 116.987897 85.054355 0.500000 0.500000 0.756571 263.515706
516.977192 117.021900 1832.666003 0.500000 0.500000 0.129255 283.415039
516.987614 117.002450 90.336520 0.500000 0.500000 -0.784963 244.290319
517.006365 116.994864 14.997074 0.500000 0.500000 0.785398 254.943828
516.989721 116.985811 11.128441 0.500000 0.500001 0.759344 226.483069
