BJD,Norm Flux,Norm Err,AM
2460943.55443504,1.0052193,0.004516,1.11
2460943.55461023,0.9985694,0.004516,1.11
2460943.55477262,1.0021539,0.004516,1.11
2460943.5549473,1.0015349,0.004516,1.11
2460943.55511339,1.0116557,0.004516,1.11
2460943.55528248,0.9991169,0.004516,1.11
2460943.55545637,1.0048371,0.004516,1.11
2460943.55561926,1.0004529,0.004516,1.11
2460943.55579314,0.9984584,0.004516,1.11
2460943.55595653,0.9961718,0.004516,1.11
2460943.55612952,1.0042173,0.004516,1.11
2460943.55629181,1.0076393,0.004516,1.11
2460943.5564657,1.0001812,0.004516,1.11
2460943.55662929,1.0127366,0.004516,1.11
2460943.55680357,1.0043675,0.004516,1.11
2460943.55696846,1.0024092,0.004516,1.11
2460943.55714405,1.0030168,0.004516,1.11
2460943.55730634,1.0041414,0.004516,1.11
2460943.55748222,1.004577,0.004516,1.11
2460943.55764581,1.0102602,0.004516,1.11
2460943.5578196,1.0025659,0.004516,1.11
2460943.55798189,1.0032645,0.004516,1.11
2460943.55815578,0.9944931,0.004516,1.11
2460943.55832446,1.0022711,0.004516,1.11
2460943.55849225,1.0000923,0.004516,1.11
2460943.55865464,0.9969534,0.004516,1.11
2460943.55882853,0.9972356,0.004516,1.11
2460943.55899352,1.001444,0.004516,1.11
2460943.55916741,0.9935111,0.004516,1.11
2460943.55933019,1.0026138,0.004516,1.11
2460943.55950638,0.9948451,0.004516,1.11
2460943.55967067,1.0015709,0.004516,1.11
2460943.55984516,1.0033477,0.004516,1.11
2460943.56000745,1.0004792,0.004516,1.11
2460943.56017663,0.9992591,0.004516,1.11
2460943.56035142,1.0000912,0.004516,1.11
2460943.56051551,1.0001518,0.004516,1.11
2460943.5606894,0.9993457,0.004516,1.11
2460943.56086329,0.9989901,0.004516,1.11
2460943.56103117,1.0049693,0.004516,1.11
2460943.56120506,1.0056427,0.004516,1.11
2460943.56136875,1.0057572,0.004516,1.11
2460943.56154694,1.0051548,0.004516,1.11
2460943.56171802,0.9962516,0.004516,1.11
2460943.56189191,1.0019161,0.004516,1.11
2460943.5620658,0.9995781,0.004516,1.11
2460943.56222809,1.0079347,0.004516,1.11
2460943.56240238,1.0035496,0.004516,1.1
2460943.56257666,1.0099236,0.004516,1.1
2460943.56274835,1.0014136,0.004516,1.1
2460943.56291254,1.0001858,0.004516,1.1
2460943.56307683,0.997061,0.004516,1.1
2460943.56325072,0.9982141,0.004516,1.1
2460943.5634131,1.0041604,0.004516,1.1
2460943.56358699,1.0040399,0.004516,1.1
2460943.56374928,1.0107002,0.004516,1.1
2460943.56392317,1.000012,0.004516,1.1
2460943.56409076,1.0037112,0.004516,1.1
2460943.56425345,0.9921693,0.004516,1.1
2460943.56441763,1.000369,0.004516,1.1
2460943.56459402,1.0020632,0.004516,1.1
2460943.56475631,1.0009887,0.004516,1.1
2460943.5649303,1.0065785,0.004516,1.1
2460943.56509289,1.0009076,0.004516,1.1
2460943.56525527,1.0052607,0.004516,1.1
2460943.56543256,1.0039303,0.004516,1.1
2460943.56560695,1.0039219,0.004516,1.1
2460943.56577134,1.003538,0.004516,1.1
2460943.56594523,1.0056741,0.004516,1.1
2460943.56611911,0.9983409,0.004516,1.1
2460943.566293,1.0033706,0.004516,1.1
2460943.56646689,0.9983144,0.004516,1.1
2460943.56664078,1.002274,0.004516,1.1
2460943.56681466,1.0020487,0.004516,1.1
2460943.56698095,1.0067079,0.004516,1.1
2460943.56715694,1.0112271,0.004516,1.1
2460943.56732403,1.0031873,0.004516,1.1
2460943.56749832,1.0026828,0.004516,1.1
2460943.5676652,1.0030727,0.004516,1.1
2460943.56783939,1.0004103,0.004516,1.1
2460943.56801318,0.9965304,0.004516,1.1
2460943.56817547,0.9976687,0.004516,1.1
2460943.56834936,1.0053533,0.004516,1.1
2460943.56851754,1.0045146,0.004516,1.1
2460943.56869643,1.002437,0.004516,1.1
2460943.56885882,1.0013429,0.004516,1.1
2460943.56903471,1.0071352,0.004516,1.1
2460943.56920859,1.0036871,0.004516,1.1
2460943.56938278,1.0031069,0.004516,1.1
2460943.56955667,0.9980025,0.004516,1.11
2460943.56971896,1.00003,0.004516,1.11
2460943.56989305,1.000306,0.004516,1.11
2460943.57006693,0.9983877,0.004516,1.11
2460943.57023212,1.0023306,0.004516,1.11
2460943.5705829,1.0015069,0.004516,1.11
2460943.57074929,0.9983295,0.004516,1.11
2460943.57092857,1.0033261,0.004516,1.11
2460943.57109086,1.0012943,0.004516,1.11
2460943.57126475,1.0016346,0.004516,1.11
2460943.57142794,1.0048604,0.004516,1.11
2460943.57160262,1.0036396,0.004516,1.11
2460943.57176731,1.0018111,0.004516,1.11
2460943.5719371,1.0029745,0.004516,1.11
2460943.57211619,0.9983311,0.004516,1.11
2460943.57227848,1.0009601,0.004516,1.11
2460943.57245326,0.9907822,0.004516,1.11
2460943.57261955,0.9998383,0.004516,1.11
2460943.57278404,1.0026029,0.004516,1.11
2460943.57295933,0.991981,0.004516,1.11
2460943.57312252,1.0014816,0.004516,1.11
2460943.5733014,0.9943355,0.004516,1.11
2460943.57346379,0.9997598,0.004516,1.11
2460943.57364008,0.9961474,0.004516,1.11
2460943.57380437,1.0073444,0.004516,1.11
2460943.57396886,0.9949556,0.004516,1.11
2460943.57414274,1.0026296,0.004516,1.11
2460943.57430503,1.0024355,0.004516,1.11
2460943.57447902,0.9998667,0.004516,1.11
