#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=Qatar-1
#EXOPLANET_NAME=Qatar-1 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Cecilia (Whipple Observatory; Center for Astrophysics | Harvard-Smithsonian); camera type=CCD; first image=Qatar-1260804033734.FITS; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=1.420024443 +/- 4.9e-08,Rp/R*=0.1540454 +/- 6.8e-06,a/R*=6.25 +/- 0.07,inc=84.08 +/- 0.15,ecc=0.012,u0=1.706 +/- 0.012,u1=-2.919 +/- 0.051,u2=3.384 +/- 0.066,u3=-1.171 +/- 0.028
#PRIORS-XC={"Period": {"value": "1.420024443", "uncertainty": "4.9e-08", "units": "days"}, "Rp/R*": {"value": "0.1540454", "uncertainty": "6.8e-06"}, "a/R*": {"value": "6.25", "uncertainty": "0.07"}, "inc": {"value": "84.08", "uncertainty": "0.15", "units": "degrees"}, "ecc": {"value": "0.012", "uncertainty": null}, "u0": {"value": "1.706", "uncertainty": "0.012"}, "u1": {"value": "-2.919", "uncertainty": "0.051"}, "u2": {"value": "3.384", "uncertainty": "0.066"}, "u3": {"value": "-1.171", "uncertainty": "0.028"}}
#RESULTS=Tc=2461256.7238 +/- 0.0034,Rp/R*=0.129 +/- 0.056,inc=80.84 +/- 2.82,Am1=3.09 +/- 1.91,Am2=-0.89 +/- 1.14
#RESULTS-XC={"Tc": {"value": "2461256.7238", "uncertainty": "0.0034", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.129", "uncertainty": "0.056"}, "inc": {"value": "80.84", "uncertainty": "2.82"}, "Am1": {"value": "3.09", "uncertainty": "1.91"}, "Am2": {"value": "-0.89", "uncertainty": "1.14"}, "Duration": {"value": "0.033", "uncertainty": "0.028", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461256.65646611,0.6752375,0.5767011,1.3799935,0.9063623
2461256.66047467,0.8102098,0.5806643,1.367951,0.916121
2461256.66446087,0.5938512,0.584482,1.3564285,0.9255567
2461256.66785199,0.3917754,0.5876142,1.3470308,0.9333244
2461256.66906945,0.5396628,0.58871,1.3437549,0.9360473
2461256.67148338,0.1168996,0.590854,1.337363,0.9413833
2461256.67515842,1.1063134,0.5940157,1.3279791,0.949272
2461256.67637608,2.3492308,0.595039,1.3249527,0.9518303
2461256.67758223,1.2399081,0.5960495,1.321969,0.9543593
2461256.67913801,1.5093359,0.5973163,1.3182362,0.9575326
2461256.68121429,0.4114651,0.598993,1.3133072,0.961739
2461256.68540174,1.2370118,0.6022389,1.3038048,0.9699006
2461256.68746733,0.6611744,0.60379,1.2992819,0.9738096
2461256.69164696,0.2327414,0.6068171,1.2904885,0.9814546
2461256.69581414,0.5373087,0.6096949,1.2821693,0.9887425
2461256.69787955,0.3373115,0.6110774,1.2781869,0.9922505
2461256.69996793,2.3720803,0.6124293,1.2743011,0.9956853
2461256.70205632,1.8099784,0.6137453,1.2705269,0.9990327
2461256.70414422,1.0021276,0.6150259,1.2668619,1.0022943
2461256.70623198,1.9863737,0.6162779,1.2632862,1.0054865
2461256.70829879,0.3999527,0.617484,1.2598484,1.0085652
2461256.71038843,0.8365625,0.6186568,1.2565118,1.0115623
2461256.71246486,0.7264314,0.6198029,1.2532574,1.0144941
2461256.71455343,0.5934911,0.6209112,1.2501162,1.017332
2461256.71663165,1.1472054,0.6219822,1.2470857,1.0200774
2461256.71871966,0.5608661,0.6230226,1.2441472,1.0227466
2461256.72497162,0.9080452,0.6259364,1.2359426,1.0302362
2461256.72704888,1.135243,0.6268426,1.233399,1.0325692
2461256.72913811,1.1993558,0.6277152,1.2309529,1.0348179
2461256.73122637,0.0695797,0.6285495,1.2286176,1.0369692
2461256.73539399,2.5895298,0.6301269,1.2242104,1.0410413
2461256.73954873,1.0185361,0.6315681,1.2201933,1.044767
2461256.74371364,0.8873984,0.6328772,1.2165524,1.0481553
2461256.74580326,1.2694957,0.6334847,1.2148655,1.0497289
2461256.74996771,1.3812011,0.634597,1.2117807,1.0526125
2461256.75206761,0.9494781,0.635108,1.2103656,1.053938
2461256.75413326,0.0428264,0.6355806,1.2090577,1.0551646
2461256.75622217,1.7632547,0.6360256,1.207827,1.05632
2461256.76246614,1.1936421,0.6371619,1.2046884,1.0592725
2461256.76664422,0.5501168,0.6377542,1.2030547,1.0608127
2461256.76873168,1.0,0.6380035,1.2023674,1.0614613
2461256.77080816,1.0011518,0.6382219,1.2017656,1.0620295
2461256.77288516,1.4673117,0.6384044,1.2012628,1.0625045
