#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-1
#EXOPLANET_NAME=TrES-1 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Cecilia (Whipple Observatory; Center for Astrophysics | Harvard-Smithsonian); camera type=CCD; first image=TRES-1260803065251.FITS; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=3.030069476 +/- 7.2e-08,Rp/R*=0.14763 +/- 0.00028,a/R*=10.52 +/- 0.06,inc=90.0 +/- 0.1,ecc=0.012,u0=1.906 +/- 0.015,u1=-3.368 +/- 0.06,u2=3.835 +/- 0.079,u3=-1.372 +/- 0.034
#PRIORS-XC={"Period": {"value": "3.030069476", "uncertainty": "7.2e-08", "units": "days"}, "Rp/R*": {"value": "0.14763", "uncertainty": "0.00028"}, "a/R*": {"value": "10.52", "uncertainty": "0.06"}, "inc": {"value": "90.0", "uncertainty": "0.1", "units": "degrees"}, "ecc": {"value": "0.012", "uncertainty": null}, "u0": {"value": "1.906", "uncertainty": "0.015"}, "u1": {"value": "-3.368", "uncertainty": "0.06"}, "u2": {"value": "3.835", "uncertainty": "0.079"}, "u3": {"value": "-1.372", "uncertainty": "0.034"}}
#RESULTS=Tc=2461255.8784 +/- 0.0034,Rp/R*=0.001 +/- 0.053,inc=85.73 +/- 1.45,Am1=1.3 +/- 0.71,Am2=-0.04 +/- 0.15
#RESULTS-XC={"Tc": {"value": "2461255.8784", "uncertainty": "0.0034", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.001", "uncertainty": "0.053"}, "inc": {"value": "85.73", "uncertainty": "1.45"}, "Am1": {"value": "1.3", "uncertainty": "0.71"}, "Am2": {"value": "-0.04", "uncertainty": "0.15"}, "Duration": {"value": "0.055", "uncertainty": "0.03", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461255.79080258,1.9332389,0.6569285,1.0383628,1.243332
2461255.80234703,0.3455935,0.6552574,1.0570187,1.2424002
2461255.80477075,0.5869902,0.6548572,1.0614932,1.2421768
2461255.81052401,1.9457179,0.6538308,1.0729814,1.2416034
2461255.81677965,0.9630522,0.6525974,1.0868118,1.2409135
2461255.8188797,0.9728494,0.6521549,1.0917794,1.2406658
2461255.82094558,1.1458157,0.6517032,1.096855,1.2404128
2461255.82512173,0.3269656,0.6507481,1.1075968,1.2398774
2461255.83137406,0.3671242,0.6491975,1.1250704,1.2390071
2461255.83346227,0.9416572,0.6486444,1.1313127,1.2386963
2461255.83761615,1.0271506,0.6474976,1.1442741,1.2380513
2461255.83969467,1.4719441,0.6468966,1.1510758,1.2377129
2461255.84178295,1.5625176,0.6462776,1.1580878,1.2373642
2461255.84594845,0.6208949,0.6449838,1.172765,1.2366346
2461255.85011381,0.5165328,0.6436138,1.1883389,1.2358608
2461255.85219201,1.6571879,0.6428992,1.1964754,1.2354568
2461255.85844814,1.4171509,0.6406299,1.2223751,1.2341716
2461255.86053481,1.6498044,0.6398302,1.231524,1.2337179
2461255.8626103,1.90276,0.6390074,1.2409484,1.2332507
2461255.86469858,0.7876207,0.638161,1.2506568,1.2327697
2461255.86677565,1.5221838,0.6372916,1.2606413,1.2322751
2461255.86886502,0.3061548,0.6363988,1.2709095,1.2317667
2461255.87093973,2.1083389,0.6354851,1.2814338,1.2312459
2461255.87302847,0.6985592,0.6345356,1.2923857,1.2307041
2461255.87511655,1.6591592,0.6335635,1.3036144,1.2301489
2461255.88553887,1.2231066,0.6282875,1.3648643,1.2271247
2461255.88969626,1.2471713,0.6259625,1.3920184,1.2257863
2461255.89386096,3.2401793,0.6235054,1.4208251,1.2243681
2461255.89594877,1.4916223,0.6222233,1.4359017,1.2236265
2461255.89803757,0.5009176,0.6209076,1.4514055,1.2228644
2461255.90011554,1.104832,0.6195504,1.4674331,1.222077
2461255.90635619,1.068086,0.6152535,1.5184083,1.2195761
2461255.90844357,3.0146108,0.6137273,1.5366,1.2186848
2461255.91261027,1.7960945,0.610554,1.5745686,1.2168267
2461255.92720309,0.368353,0.5978436,1.7286557,1.2093151
2461255.93136608,0.9150821,0.5936888,1.7797354,1.2068352
2461255.93969459,0.7963165,0.5845527,1.8933241,1.2013389
2461255.94179417,1.7452914,0.5820679,1.9245255,1.1998335
2461255.94385817,0.1935802,0.5795267,1.9565716,1.1982893
2461255.94594766,1.2913325,0.5768861,1.9900221,1.1966795
2461255.95012475,0.5825641,0.5713294,2.0609135,1.1932752
2461255.95218993,2.4928362,0.5684047,2.0985048,1.1914739
