#TYPE=EXOPLANET
#OBSCODE=EXOAGENT
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-44
#EXOPLANET_NAME=WASP-44 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": null, "dec": null, "x": "196.0", "y": "362.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Cecilia (Whipple Observatory); camera=CCD KAF-1402ME; first image=WASP-44260715101554.FITS; VLM-supplied coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=2.68373 +/- 1e-05,Rp/R*=0.117 +/- 0.01,a/R*=10.0 +/- 1.0,inc=84.0 +/- 1.0,ecc=0.0,u0=1.965 +/- 0.017,u1=-3.598 +/- 0.069,u2=4.179 +/- 0.092,u3=-1.546 +/- 0.039
#PRIORS-XC={"Period": {"value": "2.68373", "uncertainty": "1e-05", "units": "days"}, "Rp/R*": {"value": "0.117", "uncertainty": "0.01"}, "a/R*": {"value": "10.0", "uncertainty": "1.0"}, "inc": {"value": "84.0", "uncertainty": "1.0", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.965", "uncertainty": "0.017"}, "u1": {"value": "-3.598", "uncertainty": "0.069"}, "u2": {"value": "4.179", "uncertainty": "0.092"}, "u3": {"value": "-1.546", "uncertainty": "0.039"}}
#RESULTS=Tc=2461237.02 +/- 0.4,Rp/R*=0.132 +/- 0.042,inc=88.93 +/- 2.89,Am1=0.789 +/- 0.029,Am2=0.17 +/- 0.12
#RESULTS-XC={"Tc": {"value": "2461237.02", "uncertainty": "0.4", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.132", "uncertainty": "0.042"}, "inc": {"value": "88.93", "uncertainty": "2.89"}, "Am1": {"value": "0.789", "uncertainty": "0.029"}, "Am2": {"value": "0.17", "uncertainty": "0.12"}, "Duration": {"value": "0.0056", "uncertainty": "0.015", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461236.93114094,1.06832,0.0392439,1.5894954,1.0319786
2461236.93276711,1.0258974,0.0392456,1.5795363,1.0302442
2461236.93485477,1.0425387,0.0392478,1.567294,1.0281162
2461236.93695416,0.9863397,0.0392499,1.5554974,1.0260698
2461236.93901788,1.0467903,0.0392519,1.5442866,1.0241289
2461236.9411071,0.9983371,0.0392538,1.5334798,1.0222613
2461236.94318323,0.980567,0.0392556,1.5232135,1.0204903
2461236.94527207,1.0429884,0.0392573,1.5132546,1.0187753
2461236.94734923,0.9427124,0.039259,1.5038279,1.0171546
2461236.94943656,0.9896682,0.0392606,1.4947083,1.0155891
2461236.95152488,1.0529609,0.0392621,1.486056,1.0141061
2461236.95360113,1.0355188,0.0392636,1.4777963,1.0126924
2461236.95568978,1.0531016,0.039265,1.4699146,1.0113452
2461236.95776616,0.9995405,0.0392663,1.4624515,1.0100712
2461236.9598671,0.9336196,0.0392675,1.4552575,1.0088447
2461236.96194346,1.0431635,0.0392687,1.4484829,1.007691
2461236.96402064,1.0004595,0.0392699,1.4420606,1.0065986
2461236.96610912,1.0156088,0.039271,1.4359534,1.0055608
2461236.96818707,0.9846875,0.039272,1.4302023,1.0045846
2461236.97027684,0.9772551,0.0392729,1.424771,1.0036635
2461236.97235391,1.0307408,0.0392738,1.4196502,1.0027958
2461236.9744548,0.9789435,0.0392747,1.414831,1.0019799
2461236.97652026,1.0426723,0.0392755,1.4103787,1.0012267
2461236.97860824,1.0771194,0.0392762,1.4062109,1.0005222
2461236.98069575,0.9677418,0.0392769,1.4023207,0.999865
2461236.9847149,0.9711515,0.0392781,1.3956797,0.9987442
2461236.98876983,0.9982395,0.039279,1.3900933,0.9978023
2461236.99284675,0.9337144,0.0392798,1.385548,0.9970366
