BJD,Norm Flux,Norm Err,AM
2460710.76375197,1.0090778,0.0078,1.27
2460710.7653412,1.0048595,0.0078,1.26
2460710.76691904,1.0041108,0.0078,1.25
2460710.76850837,1.0143809,0.0078,1.24
2460710.77008611,1.0111552,0.0078,1.23
2460710.77166284,1.0129786,0.0078,1.23
2460710.77325077,0.998101,0.0078,1.22
2460710.77483891,1.005631,0.0078,1.21
2460710.77641514,0.9942358,0.0078,1.2
2460710.77799158,0.9962123,0.0078,1.2
2460710.77956831,1.0,0.007799,1.19
2460710.78115644,0.9949212,0.007799,1.18
2460710.78274438,0.9967314,0.007799,1.17
2460710.78590914,1.0010285,0.007799,1.16
2460710.78748688,1.0026329,0.007799,1.16
2460710.78907611,0.9998156,0.007799,1.15
2460710.79065385,0.9976169,0.007799,1.14
2460710.79224338,0.9939609,0.007799,1.14
2460710.79382111,0.9886743,0.007799,1.13
2460710.79541045,1.0011251,0.007799,1.13
2460710.79698798,0.998514,0.007799,1.12
2460710.79856562,0.9991567,0.007799,1.12
2460710.80014325,0.9925297,0.007799,1.11
2460710.80173188,0.9972402,0.007799,1.11
2460710.80330812,0.9953258,0.007799,1.1
2460710.80489615,1.0015968,0.007799,1.1
2460710.80647268,0.9924091,0.007799,1.09
2460710.80809542,0.9924735,0.007799,1.09
2460710.80967185,0.9907173,0.007799,1.08
2460710.81129478,0.9977573,0.007799,1.08
2460710.81291751,0.9955852,0.007799,1.08
2460710.81450545,1.0123237,0.007799,1.07
2460710.81608278,0.9960942,0.007799,1.07
2460710.81766051,1.0017661,0.007799,1.07
2460710.81923835,0.9924222,0.007799,1.06
2460710.82081598,1.0078886,0.007799,1.06
2460710.82240521,0.999957,0.007798,1.06
2460710.82399445,1.0065115,0.007798,1.05
2460710.82558368,0.9879168,0.007798,1.05
2460710.82716141,1.0021041,0.007798,1.05
2460710.82876234,1.0035829,0.007798,1.04
2460710.83033988,1.0079492,0.007798,1.04
2460710.83192911,1.0057412,0.007798,1.04
2460710.83350634,1.0008354,0.007798,1.04
2460710.83509438,0.9990641,0.007798,1.03
2460710.83667081,1.0114363,0.007798,1.03
2460710.83824714,1.0133147,0.007798,1.03
2460710.83983508,1.0204534,0.007798,1.03
2460710.84141141,1.0230206,0.007798,1.02
