#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-20
#EXOPLANET_NAME=HAT-P-20 b
#BINNING=1x1
#EXPOSURE_TIME=20.0
#COMP_STAR-XC={"ra": null, "dec": null, "x": "2042.0", "y": "815.0"}
#NOTES=MicroObservatory 0.4m; HAT-P-20 b observation; 300 exposures of 20s each; SDSS-rp filter; pixel scale=0.74 arcsec/pix; no calibration frames available.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "550.0", "units": "nm"}, {"value": "750.0", "units": "nm"}]}
#PRIORS=Period=3.296577 +/- 1e-06,Rp/R*=0.00824 +/- 0.0001,a/R*=10.1 +/- 0.5,inc=86.0 +/- 0.5,ecc=0.0,u0=2.243 +/- 0.02,u1=-3.961 +/- 0.08,u2=4.25 +/- 0.1,u3=-1.533 +/- 0.044
#PRIORS-XC={"Period": {"value": "3.296577", "uncertainty": "1e-06", "units": "days"}, "Rp/R*": {"value": "0.00824", "uncertainty": "0.0001"}, "a/R*": {"value": "10.1", "uncertainty": "0.5"}, "inc": {"value": "86.0", "uncertainty": "0.5", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.243", "uncertainty": "0.02"}, "u1": {"value": "-3.961", "uncertainty": "0.08"}, "u2": {"value": "4.25", "uncertainty": "0.1"}, "u3": {"value": "-1.533", "uncertainty": "0.044"}}
#RESULTS=Tc=2460709.9633 +/- 0.0097,Rp/R*=0.0016 +/- 0.003,inc=81.56 +/- 2.57,Am1=1.0082 +/- 0.0078,Am2=-0.005 +/- 0.016
#RESULTS-XC={"Tc": {"value": "2460709.9633", "uncertainty": "0.0097", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.0016", "uncertainty": "0.003"}, "inc": {"value": "81.56", "uncertainty": "2.57"}, "Am1": {"value": "1.0082", "uncertainty": "0.0078"}, "Am2": {"value": "-0.005", "uncertainty": "0.016"}, "Duration": {"value": "0.016", "uncertainty": "0.025", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460710.76375197,1.0090778,0.0078,1.2673558,1.0012224
2460710.7653412,1.0048595,0.0078,1.2585071,1.0012708
2460710.76691904,1.0041108,0.0077999,1.2499065,1.0013178
2460710.76850837,1.0143809,0.0077998,1.241502,1.0013638
2460710.77008611,1.0111552,0.0077998,1.2333395,1.0014084
2460710.77166284,1.0129786,0.0077997,1.2253763,1.0014519
2460710.77325077,0.998101,0.0077997,1.2176044,1.0014944
2460710.77483891,1.005631,0.0077996,1.2099961,1.001536
2460710.77641514,0.9942358,0.0077996,1.2026492,1.0015762
2460710.77799158,0.9962123,0.0077995,1.1954544,1.0016155
2460710.77956831,1.0,0.0077995,1.1884665,1.0016538
2460710.78115644,0.9949212,0.0077994,1.1816,1.0016913
2460710.78274438,0.9967314,0.0077994,1.1749435,1.0017277
2460710.78590914,1.0010285,0.0077993,1.1621262,1.0017978
2460710.78748688,1.0026329,0.0077992,1.1559454,1.0018316
2460710.78907611,0.9998156,0.0077992,1.1499473,1.0018644
2460710.79065385,0.9976169,0.0077991,1.1440951,1.0018964
2460710.79224338,0.9939609,0.0077991,1.1383894,1.0019276
2460710.79382111,0.9886743,0.0077991,1.1328509,1.0019579
2460710.79541045,1.0011251,0.007799,1.1274371,1.0019876
2460710.79698798,0.998514,0.007799,1.122192,1.0020162
2460710.79856562,0.9991567,0.0077989,1.1170831,1.0020442
2460710.80014325,0.9925297,0.0077989,1.1121158,1.0020714
2460710.80173188,0.9972402,0.0077989,1.1072677,1.0020979
2460710.80330812,0.9953258,0.0077988,1.1025695,1.0021236
2460710.80489615,1.0015968,0.0077988,1.0979802,1.0021487
2460710.80647268,0.9924091,0.0077988,1.0935444,1.002173
2460710.80809542,0.9924735,0.0077987,1.0891276,1.0021971
2460710.80967185,0.9907173,0.0077987,1.0849317,1.0022201
2460710.81129478,0.9977573,0.0077987,1.0807619,1.0022429
2460710.81291751,0.9955852,0.0077986,1.0767009,1.0022651
2460710.81450545,1.0123237,0.0077986,1.0728758,1.0022861
2460710.81608278,0.9960942,0.0077986,1.0691655,1.0023064
2460710.81766051,1.0017661,0.0077986,1.0655797,1.002326
2460710.81923835,0.9924222,0.0077985,1.0621041,1.002345
2460710.82081598,1.0078886,0.0077985,1.0587272,1.0023635
2460710.82240521,0.999957,0.0077985,1.0554721,1.0023813
2460710.82399445,1.0065115,0.0077985,1.0522846,1.0023987
2460710.82558368,0.9879168,0.0077985,1.0492339,1.0024154
2460710.82716141,1.0021041,0.0077984,1.0462938,1.0024315
2460710.82876234,1.0035829,0.0077984,1.0434192,1.0024473
2460710.83033988,1.0079492,0.0077984,1.0406838,1.0024622
