# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_comp5,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_comp5,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_comp5,skybg_target
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0166-e91.fits",2460710.7637519697,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0172-e91.fits",2460710.7653412037,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0178-e91.fits",2460710.766919038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0184-e91.fits",2460710.7685083714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0190-e91.fits",2460710.7700861054,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0196-e91.fits",2460710.77166284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0202-e91.fits",2460710.773250774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0208-e91.fits",2460710.7748389076,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0214-e91.fits",2460710.7764151418,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0220-e91.fits",2460710.777991576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0226-e91.fits",2460710.7795683104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0232-e91.fits",2460710.7811564435,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0238-e91.fits",2460710.7827443774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0244-e91.fits",2460710.7843207116,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0250-e91.fits",2460710.785909145,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0256-e91.fits",2460710.787486879,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0262-e91.fits",2460710.7890761127,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0268-e91.fits",2460710.7906538467,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0274-e91.fits",2460710.79224338,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0280-e91.fits",2460710.793821114,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0286-e91.fits",2460710.7954104478,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"runs/HAT-P-20_b_[REDACTED]/scratch/subset/ogg0m455-sq30-20250203-0292-e91.fits",2460710.7969879815,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
