#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-65
#EXOPLANET_NAME=WASP-65 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=lsc0m476-sq34-20260312-0086-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=2.3114205 +/- 1.7e-07,Rp/R*=0.12237 +/- 0.0002,a/R*=7.11 +/- 0.1,inc=88.8 +/- 0.75,ecc=0.016,u0=1.985 +/- 0.017,u1=-3.581 +/- 0.068,u2=4.097 +/- 0.09,u3=-1.5 +/- 0.038
#PRIORS-XC={"Period": {"value": "2.3114205", "uncertainty": "1.7e-07", "units": "days"}, "Rp/R*": {"value": "0.12237", "uncertainty": "0.0002"}, "a/R*": {"value": "7.11", "uncertainty": "0.1"}, "inc": {"value": "88.8", "uncertainty": "0.75", "units": "degrees"}, "ecc": {"value": "0.016", "uncertainty": null}, "u0": {"value": "1.985", "uncertainty": "0.017"}, "u1": {"value": "-3.581", "uncertainty": "0.068"}, "u2": {"value": "4.097", "uncertainty": "0.09"}, "u3": {"value": "-1.5", "uncertainty": "0.038"}}
#RESULTS=Tc=2461112.6025 +/- 0.0014,Rp/R*=0.153 +/- 0.0028,inc=86.43 +/- 0.88,Am1=1.224 +/- 0.01,Am2=-0.1401 +/- 0.0099
#RESULTS-XC={"Tc": {"value": "2461112.6025", "uncertainty": "0.0014", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.153", "uncertainty": "0.0028"}, "inc": {"value": "86.43", "uncertainty": "0.88"}, "Am1": {"value": "1.224", "uncertainty": "0.01"}, "Am2": {"value": "-0.1401", "uncertainty": "0.0099"}, "Duration": {"value": "0.11", "uncertainty": "0.0051", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461112.50333798,0.9839091,0.0101695,1.5798228,0.9808834
2461112.50405664,0.9970078,0.0101778,1.5743627,0.9816343
2461112.5047869,0.9827483,0.0101861,1.5689453,0.9823798
2461112.50551695,0.9999587,0.0101942,1.5636291,0.983112
2461112.50623981,0.9915857,0.0102021,1.5584119,0.983831
2461112.50695847,0.9971138,0.01021,1.5532669,0.9845406
2461112.50768862,1.0013269,0.0102177,1.5481901,0.9852413
2461112.50841888,0.997504,0.0102254,1.5431366,0.9859393
2461112.50913754,1.0021591,0.010233,1.5381522,0.9866283
2461112.50986769,1.0124899,0.0102406,1.5332354,0.9873083
2461112.51059785,1.0006584,0.010248,1.5283858,0.9879796
2461112.51132811,0.9973737,0.0102553,1.5236229,0.9886392
2461112.51205836,1.0002093,0.0102625,1.5189219,0.9892908
2461112.51278852,1.012686,0.0102697,1.514237,0.9899405
2461112.51351887,1.0015098,0.0102767,1.5096609,0.9905755
2461112.51423743,1.0021608,0.0102837,1.5051297,0.9912048
2461112.51496789,1.0093226,0.0102905,1.5007018,0.99182
2461112.51569814,1.0092005,0.0102973,1.4962921,0.9924331
2461112.5164168,1.0018044,0.0103039,1.4919674,0.9930348
2461112.51714716,0.998204,0.0103105,1.487721,0.9936259
2461112.51786581,1.0038675,0.0103169,1.4835362,0.9942088
2461112.51858437,1.0053784,0.0103233,1.4793689,0.9947896
2461112.51931453,0.9870371,0.0103296,1.4752968,0.9953575
2461112.52003318,0.9989804,0.0103358,1.4712809,0.9959178
2461112.52076344,0.9891792,0.010342,1.4673003,0.9964735
2461112.5214821,0.9976178,0.010348,1.4633739,0.997022
2461112.52221235,0.9958838,0.0103541,1.4594855,0.9975654
2461112.52294261,0.9979381,0.01036,1.45567,0.998099
2461112.52441482,1.0029836,0.0103717,1.4480687,0.9991627
2461112.52514498,1.0007293,0.0103774,1.4443959,0.9996772
2461112.52586363,1.0086413,0.010383,1.44081,1.0001796
2461112.52659379,1.0055636,0.0103885,1.437258,1.0006776
2461112.52731245,1.0136191,0.0103939,1.4337878,1.0011644
2461112.5280313,1.0032242,0.0103993,1.4303313,1.0016495
2461112.52879646,1.0148325,0.0104048,1.4267587,1.0021511
2461112.52951511,1.0029069,0.01041,1.4234212,1.0026199
2461112.53024537,1.0116213,0.0104152,1.4201189,1.003084
2461112.53096403,0.9883103,0.0104202,1.4168778,1.0035397
2461112.53168268,1.0098075,0.0104252,1.4136807,1.0039895
2461112.53241294,1.0088108,0.0104301,1.4105335,1.0044324
2461112.5331315,1.013743,0.010435,1.4073998,1.0048736
2461112.53386185,1.0088095,0.0104398,1.4043286,1.0053062
2461112.53458051,1.0105329,0.0104445,1.4013049,1.0057323
2461112.53531067,1.0140214,0.0104491,1.3983393,1.0061503
2461112.53602952,1.0028593,0.0104537,1.3954025,1.0065645
2461112.53679458,1.0071251,0.0104585,1.3923544,1.0069946
2461112.53751323,0.9965852,0.0104629,1.3895216,1.0073944
2461112.53824339,1.0102739,0.0104673,1.3867189,1.0077902
2461112.53896215,1.0124852,0.0104716,1.3839736,1.008178
2461112.5396808,1.0136403,0.0104758,1.381269,1.0085602
2461112.54041096,1.0198084,0.01048,1.378608,1.0089363
2461112.54112962,1.0226851,0.0104841,1.3759752,1.0093087
2461112.54184837,1.0250918,0.0104881,1.3733972,1.0096734
2461112.54257863,1.0127018,0.0104921,1.3708353,1.0100359
2461112.54330888,1.0183884,0.0104961,1.3683138,1.0103929
2461112.54402754,1.0109748,0.0105,1.3658563,1.0107409
2461112.5447461,1.0147992,0.0105037,1.3634374,1.0110836
2461112.54547635,1.0137021,0.0105075,1.3610347,1.0114241
2461112.54619511,1.0137973,0.0105112,1.3586949,1.0117558
2461112.54692527,0.998447,0.0105148,1.3563923,1.0120824
2461112.54764402,0.9985698,0.0105184,1.3541057,1.0124067
2461112.54837418,1.0056028,0.0105219,1.3518712,1.0127238
2461112.54910444,1.012986,0.0105254,1.3496645,1.013037
2461112.54984619,1.0162144,0.0105289,1.3474646,1.0133494
2461112.55056485,1.0210058,0.0105322,1.3453468,1.0136502
2461112.5512837,1.0034749,0.0105354,1.3432749,1.0139446
2461112.55201396,0.9970179,0.0105387,1.3412308,1.0142351
2461112.55273262,1.0065491,0.0105418,1.3392319,1.0145192
2461112.55346287,1.0089426,0.0105449,1.3372485,1.0148012
2461112.55418153,0.9964823,0.010548,1.3353107,1.0150769
2461112.55491169,0.9969004,0.010551,1.3334094,1.0153474
2461112.55564184,0.9980718,0.0105539,1.331536,1.015614
2461112.5563607,1.0089819,0.0105568,1.3297088,1.0158741
2461112.55707935,1.0134391,0.0105596,1.327924,1.0161282
2461112.55780981,1.0083759,0.0105624,1.3261659,1.0163786
2461112.55852867,1.009399,0.0105651,1.3244432,1.016624
2461112.55925892,1.0087985,0.0105678,1.3227554,1.0168645
2461112.55997768,1.0121468,0.0105704,1.3210931,1.0171014
2461112.56074273,1.0055601,0.0105731,1.319385,1.0173449
2461112.56147299,1.00379,0.0105756,1.3178076,1.0175698
2461112.56219165,1.0022078,0.0105781,1.3162502,1.0177919
2461112.5629451,1.0062304,0.0105806,1.3146747,1.0180166
2461112.56366376,1.0071915,0.0105829,1.3131999,1.0182271
2461112.56439401,1.0038409,0.0105852,1.3117512,1.0184338
2461112.56511267,0.9893951,0.0105874,1.310335,1.018636
2461112.56583143,0.996432,0.0105896,1.308958,1.0188325
2461112.56656158,0.9981868,0.0105918,1.3076015,1.0190262
2461112.56728024,0.9851511,0.0105938,1.3062897,1.0192136
2461112.56804529,0.9845429,0.010596,1.3049282,1.0194081
2461112.56877545,0.9981441,0.010598,1.3036756,1.019587
2461112.5695058,1.0053085,0.0105999,1.3024495,1.0197623
2461112.57022436,1.0076493,0.0106018,1.3012614,1.0199321
2461112.57095472,1.0056821,0.0106036,1.3000993,1.0200982
2461112.57168497,1.0066998,0.0106054,1.2989707,1.0202595
2461112.57240353,1.0084088,0.0106072,1.2978779,1.0204158
2461112.57313378,1.0065944,0.0106088,1.2968158,1.0205677
2461112.57385244,1.0172934,0.0106105,1.2957795,1.0207159
2461112.5745826,1.0029553,0.0106121,1.2947764,1.0208594
2461112.57531275,0.9907523,0.0106136,1.2938088,1.0209978
2461112.57603151,1.0017805,0.0106151,1.2928662,1.0211327
2461112.57676167,0.9963072,0.0106165,1.2919597,1.0212625
2461112.57748032,0.9844479,0.0106179,1.2910837,1.0213878
2461112.57821058,0.9903564,0.0106193,1.2902376,1.0215089
2461112.57892923,0.9966355,0.0106206,1.2894231,1.0216256
2461112.57964799,0.9927798,0.0106218,1.2886386,1.0217379
2461112.58037835,1.0024759,0.010623,1.2878848,1.0218458
2461112.5810971,0.9960692,0.0106242,1.2871567,1.0219501
2461112.58182746,1.000549,0.0106253,1.286463,1.0220494
2461112.58255761,0.9953011,0.0106263,1.2857924,1.0221455
2461112.58327627,0.9868675,0.0106273,1.2851581,1.0222364
2461112.58400663,0.9960536,0.0106283,1.2845505,1.0223234
2461112.58472528,1.0024966,0.0106292,1.2839787,1.0224053
2461112.58545564,1.0098163,0.0106301,1.2834335,1.0224835
2461112.5861744,0.9874372,0.0106309,1.282913,1.022558
2461112.58690475,0.9961142,0.0106317,1.2824271,1.0226277
2461112.58763511,0.9875688,0.0106324,1.2819667,1.0226937
2461112.58835376,0.9983286,0.0106331,1.2815395,1.0227549
2461112.58908422,0.9900845,0.0106337,1.2811404,1.0228121
2461112.58981457,0.9879852,0.0106343,1.2807704,1.0228651
2461112.59053323,0.9913376,0.0106349,1.28043,1.0229139
2461112.59129828,0.9913407,0.0106354,1.2801032,1.0229608
2461112.59202854,0.9913133,0.0106358,1.2798232,1.0230009
2461112.5927588,0.9974088,0.0106362,1.2795726,1.0230368
2461112.59347745,0.9943494,0.0106366,1.2793535,1.0230682
2461112.59419601,0.9985368,0.0106369,1.279162,1.0230957
2461112.59492626,0.9952458,0.0106371,1.2789999,1.0231189
2461112.59564502,0.9909754,0.0106373,1.2788674,1.0231379
2461112.59640987,0.9906135,0.0106375,1.2787587,1.0231535
2461112.59712853,0.990783,0.0106376,1.2786845,1.0231642
2461112.59785889,0.9943959,0.0106377,1.27864,1.0231705
2461112.59858914,0.990352,0.0106377,1.2786244,1.0231728
2461112.5993078,0.9897971,0.0106377,1.2786377,1.0231709
2461112.60002635,0.9906982,0.0106376,1.2786803,1.0231648
2461112.60075661,0.9920843,0.0106375,1.2787518,1.0231545
2461112.60148687,0.9873358,0.0106374,1.2788531,1.02314
2461112.60220542,0.9881239,0.0106372,1.2789837,1.0231213
2461112.60293578,0.9938176,0.0106369,1.2791429,1.0230984
2461112.60366593,0.9931207,0.0106366,1.2793316,1.0230714
2461112.60438469,0.9922014,0.0106363,1.2795486,1.0230403
2461112.60510345,0.9887852,0.0106359,1.2797948,1.023005
2461112.6058338,0.994495,0.0106354,1.2800715,1.0229653
2461112.60655256,0.9923952,0.0106349,1.2803759,1.0229217
2461112.60728271,0.9946629,0.0106344,1.2807076,1.0228741
2461112.60800127,0.9944369,0.0106338,1.2810699,1.0228222
2461112.60871993,0.9959192,0.0106332,1.2814614,1.0227661
2461112.60943868,0.9946486,0.0106325,1.2818825,1.0227057
2461112.61016894,0.9948274,0.0106318,1.2823324,1.0226412
2461112.61088769,0.9960097,0.0106311,1.2828142,1.0225722
2461112.61161795,0.9921282,0.0106303,1.2833233,1.0224992
2461112.61233651,0.9941261,0.0106294,1.2838615,1.0224221
2461112.61306686,0.9878685,0.0106285,1.2844355,1.0223399
2461112.61379712,0.9903198,0.0106275,1.2850345,1.0222541
2461112.61451577,0.9901829,0.0106265,1.2856685,1.0221632
2461112.61524613,0.9918958,0.0106255,1.2863288,1.0220687
2461112.61597628,0.9881152,0.0106244,1.2870192,1.0219698
2461112.61669494,0.9842623,0.0106232,1.2877398,1.0218666
2461112.61745989,0.9836145,0.010622,1.2885203,1.0217548
2461112.61817845,0.984453,0.0106208,1.2893067,1.0216422
2461112.61890861,0.9886582,0.0106195,1.2901234,1.0215253
2461112.61966206,0.9867301,0.0106181,1.2909963,1.0214003
2461112.62038062,0.9738658,0.0106167,1.2918671,1.0212757
2461112.62111087,0.9905697,0.0106152,1.2927775,1.0211454
2461112.62184113,0.98974,0.0106138,1.2937103,1.0210119
2461112.62255978,0.9976365,0.0106122,1.2946732,1.0208742
2461112.62328994,0.975236,0.0106107,1.295676,1.0207307
2461112.62400859,0.9849729,0.010609,1.2967005,1.0205842
2461112.62476195,0.9854431,0.0106073,1.2977975,1.0204273
2461112.6254806,0.9870666,0.0106056,1.2988916,1.0202708
2461112.62621086,0.9887946,0.0106038,1.300017,1.0201099
2461112.62694102,0.9936374,0.0106019,1.3011721,1.0199448
2461112.62765957,0.985196,0.0106001,1.3023613,1.0197749
2461112.62838973,0.9951928,0.0105981,1.3035765,1.0196012
2461112.62989673,0.9998251,0.010594,1.3062151,1.0192243
2461112.63062699,0.9945081,0.0105919,1.3075412,1.0190349
2461112.63134555,0.9911039,0.0105897,1.3088998,1.0188409
2461112.6320758,0.9940379,0.0105875,1.3102772,1.0186442
2461112.63280606,1.0001207,0.0105853,1.3117015,1.0184409
2461112.63352471,0.9980601,0.010583,1.3131513,1.018234
2461112.63425487,0.9971029,0.0105806,1.3146344,1.0180224
2461112.63498502,0.998641,0.0105782,1.3161582,1.017805
2461112.63570378,0.9996597,0.0105758,1.3177174,1.0175827
2461112.63643404,1.0083836,0.0105733,1.3193022,1.0173567
2461112.63715259,1.0090451,0.0105707,1.3209054,1.0171281
2461112.63789455,1.0033144,0.010568,1.3225993,1.0168867
2461112.6386247,0.999289,0.0105654,1.3242951,1.0166451
2461112.63934326,0.9993058,0.0105627,1.3260087,1.016401
2461112.64007361,1.0045846,0.0105599,1.3277748,1.0161494
2461112.64080407,1.0035286,0.010557,1.3295754,1.0158931
2461112.64152282,0.9987629,0.0105542,1.3313945,1.0156341
2461112.64225318,1.0020525,0.0105512,1.3332589,1.0153688
2461112.64297204,0.9989273,0.0105482,1.3351508,1.0150996
2461112.64370229,1.0031408,0.0105452,1.3370862,1.0148243
2461112.64442085,0.9961749,0.0105421,1.3390472,1.0145455
2461112.6451396,1.0020502,0.0105389,1.3410636,1.0142588
2461112.64586986,1.0046871,0.0105357,1.3430983,1.0139697
2461112.64660011,0.9886925,0.0105324,1.3451901,1.0136725
2461112.64731887,1.0048576,0.0105291,1.3472987,1.013373
2461112.64803753,1.006558,0.0105257,1.3494432,1.0130685
2461112.64876778,0.9913286,0.0105223,1.3516257,1.0127587
2461112.64948634,1.0042964,0.0105188,1.353868,1.0124405
2461112.65021649,1.007377,0.0105152,1.3561283,1.0121198
2461112.65094685,1.0023867,0.0105116,1.3584509,1.0117904
2461112.6516655,1.0082951,0.0105079,1.3607867,1.0114593
2461112.65239576,1.0069568,0.0105041,1.3631848,1.0111194
2461112.65311442,1.0053435,0.0105003,1.3656097,1.0107759
2461112.65384457,1.0046016,0.0104965,1.3680752,1.0104267
2461112.65456313,1.0116591,0.0104926,1.3705703,1.0100734
2461112.65528198,1.0089556,0.0104886,1.3731062,1.0097145
2461112.65600054,1.0038896,0.0104845,1.3756796,1.0093505
2461112.65673079,1.0064407,0.0104804,1.3783183,1.0089773
2461112.65744945,1.0079088,0.0104763,1.3809735,1.0086019
2461112.6581797,1.0079447,0.010472,1.3836972,1.008217
2461112.65890996,1.0080385,0.0104677,1.3864664,1.0078258
2461112.65962872,1.0112364,0.0104633,1.3892504,1.0074327
2461112.66035887,1.0128226,0.0104588,1.3921046,1.0070298
