#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-2
#EXOPLANET_NAME=TrES-2 b
#BINNING=1x1
#EXPOSURE_TIME=6.524
#COMP_STAR-XC=null
#NOTES=TrES-2 b transit observation via LCOGT MicroObservatory 0.4m telescope at McDonald Observatory. CCD camera (QHY600M), Astrodon ExoPlanet-BB filter (CBB, 500-1000nm). 6.524s exposure time.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CBB
#FILTER-XC={"name": "CBB", "desc": "Astrodon ExoPlanet-BB", "fwhm": [{"value": "500.0", "units": "nm"}, {"value": "1000.0", "units": "nm"}]}
#PRIORS=Period=2.4706376 +/- 5e-07,Rp/R*=0.1117 +/- 0.002,a/R*=3.312 +/- 0.05,inc=86.0 +/- 0.5,ecc=0.041,u0=2.085 +/- 0.017,u1=-3.667 +/- 0.068,u2=3.981 +/- 0.089,u3=-1.399 +/- 0.038
#PRIORS-XC={"Period": {"value": "2.4706376", "uncertainty": "5e-07", "units": "days"}, "Rp/R*": {"value": "0.1117", "uncertainty": "0.002"}, "a/R*": {"value": "3.312", "uncertainty": "0.05"}, "inc": {"value": "86.0", "uncertainty": "0.5", "units": "degrees"}, "ecc": {"value": "0.041", "uncertainty": null}, "u0": {"value": "2.085", "uncertainty": "0.017"}, "u1": {"value": "-3.667", "uncertainty": "0.068"}, "u2": {"value": "3.981", "uncertainty": "0.089"}, "u3": {"value": "-1.399", "uncertainty": "0.038"}}
#RESULTS=Tc=2460171.402 +/- 0.029,Rp/R*=0.124 +/- 0.04,inc=88.41 +/- 2.59,Am1=2.0 +/- 0.46,Am2=-0.64 +/- 1.21
#RESULTS-XC={"Tc": {"value": "2460171.402", "uncertainty": "0.029", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.124", "uncertainty": "0.04"}, "inc": {"value": "88.41", "uncertainty": "2.59"}, "Am1": {"value": "2.0", "uncertainty": "0.46"}, "Am2": {"value": "-0.64", "uncertainty": "1.21"}, "Duration": {"value": "0.011", "uncertainty": "0.013", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460173.70856146,0.7852793,0.2293466,1.0623396,1.0172338
2460173.70866576,0.7897703,0.2293452,1.0624073,1.0171899
2460173.70878166,1.4281539,0.2293439,1.0624712,1.0171485
2460173.70889766,0.8263613,0.2293425,1.0625376,1.0171054
2460173.70900196,0.7622327,0.2293411,1.0626039,1.0170625
2460173.70911786,0.9468626,0.2293397,1.0626731,1.0170176
2460173.70923375,0.9391931,0.2293383,1.0627378,1.0169757
2460173.70934965,1.093699,0.2293369,1.0628074,1.0169305
2460173.70945395,0.7851213,0.2293354,1.0628773,1.0168852
2460173.70956985,1.1170309,0.229334,1.0629453,1.0168411
2460173.70968575,1.1864053,0.2293326,1.0630137,1.0167968
2460173.70979005,0.7389692,0.2293312,1.0630822,1.0167524
2460173.70990595,0.8182444,0.2293297,1.0631515,1.0167075
2460173.71001034,1.2018157,0.2293283,1.0632186,1.016664
2460173.71012624,1.0867861,0.2293268,1.0632905,1.0166174
2460173.71024214,0.9857532,0.2293254,1.0633581,1.0165736
2460173.71035804,0.9536686,0.2293239,1.0634329,1.0165252
2460173.71046234,0.9602322,0.2293224,1.0635037,1.0164793
2460173.71057824,0.7547534,0.2293209,1.0635746,1.0164333
2460173.71068254,0.9591999,0.2293194,1.0636459,1.0163871
2460173.71079844,1.0130627,0.229318,1.063715,1.0163424
2460173.71091433,1.2376407,0.2293165,1.0637894,1.0162942
2460173.71101863,1.297517,0.2293149,1.0638636,1.0162461
2460173.71113463,1.2203329,0.2293135,1.0639341,1.0162004
2460173.71125053,1.0575519,0.2293119,1.0640094,1.0161517
2460173.71135483,0.627191,0.2293104,1.0640802,1.0161058
2460173.71147073,1.1022194,0.2293088,1.0641562,1.0160566
2460173.71158663,0.6855047,0.2293074,1.0642276,1.0160103
2460173.71169093,1.328695,0.2293058,1.0643041,1.0159608
2460173.71180692,1.2089267,0.2293043,1.0643759,1.0159143
2460173.71191122,0.7881894,0.2293027,1.0644532,1.0158642
2460173.71202712,1.231723,0.2293011,1.064526,1.0158171
2460173.71214302,0.9296208,0.2292995,1.0646039,1.0157667
2460173.71224732,1.223501,0.2292979,1.0646822,1.015716
2460173.71236332,1.0167629,0.2292964,1.0647557,1.0156684
2460173.71247922,1.0229987,0.2292947,1.0648344,1.0156174
2460173.71258352,1.3496461,0.2292932,1.0649085,1.0155695
2460173.71269942,0.9305834,0.2292915,1.0649881,1.0155179
2460173.71280371,0.6589151,0.22929,1.0650631,1.0154694
2460173.71291961,1.0559093,0.2292883,1.0651428,1.0154178
2460173.71303551,0.9895385,0.2292868,1.0652183,1.0153689
2460173.71313991,0.9730885,0.2292851,1.0652991,1.0153166
