BJD,Norm Flux,Norm Err,AM
2460173.70856146,0.7852793,0.229347,1.06
2460173.70866576,0.7897703,0.229345,1.06
2460173.70878166,1.4281539,0.229344,1.06
2460173.70889766,0.8263613,0.229342,1.06
2460173.70900196,0.7622327,0.229341,1.06
2460173.70911786,0.9468626,0.22934,1.06
2460173.70923375,0.9391931,0.229338,1.06
2460173.70934965,1.093699,0.229337,1.06
2460173.70945395,0.7851213,0.229335,1.06
2460173.70956985,1.1170309,0.229334,1.06
2460173.70968575,1.1864053,0.229333,1.06
2460173.70979005,0.7389692,0.229331,1.06
2460173.70990595,0.8182444,0.22933,1.06
2460173.71001034,1.2018157,0.229328,1.06
2460173.71012624,1.0867861,0.229327,1.06
2460173.71024214,0.9857532,0.229325,1.06
2460173.71035804,0.9536686,0.229324,1.06
2460173.71046234,0.9602322,0.229322,1.06
2460173.71057824,0.7547534,0.229321,1.06
2460173.71068254,0.9591999,0.229319,1.06
2460173.71079844,1.0130627,0.229318,1.06
2460173.71091433,1.2376407,0.229316,1.06
2460173.71101863,1.297517,0.229315,1.06
2460173.71113463,1.2203329,0.229313,1.06
2460173.71125053,1.0575519,0.229312,1.06
2460173.71135483,0.627191,0.22931,1.06
2460173.71147073,1.1022194,0.229309,1.06
2460173.71158663,0.6855047,0.229307,1.06
2460173.71169093,1.328695,0.229306,1.06
2460173.71180692,1.2089267,0.229304,1.06
2460173.71191122,0.7881894,0.229303,1.06
2460173.71202712,1.231723,0.229301,1.06
2460173.71214302,0.9296208,0.2293,1.06
2460173.71224732,1.223501,0.229298,1.06
2460173.71236332,1.0167629,0.229296,1.06
2460173.71247922,1.0229987,0.229295,1.06
2460173.71258352,1.3496461,0.229293,1.06
2460173.71269942,0.9305834,0.229292,1.06
2460173.71280371,0.6589151,0.22929,1.07
2460173.71291961,1.0559093,0.229288,1.07
2460173.71303551,0.9895385,0.229287,1.07
2460173.71313991,0.9730885,0.229285,1.07
2460173.71325581,1.0154607,0.229283,1.07
2460173.71337181,1.2597364,0.229282,1.07
2460173.71348771,1.0208711,0.22928,1.07
2460173.71360361,0.6603026,0.229278,1.07
2460173.7137079,1.073622,0.229277,1.07
2460173.7138238,1.2422143,0.229275,1.07
2460173.7139398,1.156994,0.229273,1.07
2460173.7140441,0.7584879,0.229272,1.07
2460173.71416,1.1611284,0.22927,1.07
2460173.7142759,1.2124611,0.229268,1.07
2460173.7143802,1.0864871,0.229267,1.07
2460173.7144961,1.25776,0.229265,1.07
2460173.71462359,0.9035625,0.229263,1.07
2460173.71472799,1.0167467,0.229261,1.07
2460173.71484389,1.490307,0.229259,1.07
2460173.71507569,1.0277955,0.229256,1.07
2460173.71517999,0.7918107,0.229254,1.07
2460173.71529599,1.1312838,0.229252,1.07
2460173.71541189,0.9658081,0.229251,1.07
2460173.71551618,1.1605745,0.229249,1.07
2460173.71563208,1.3591025,0.229247,1.07
2460173.71574798,1.1290686,0.229245,1.07
2460173.71586388,1.031602,0.229243,1.07
2460173.71597978,0.6685891,0.229241,1.07
2460173.71609568,0.920105,0.22924,1.07
2460173.71643187,0.8770924,0.229234,1.07
2460173.71653627,0.7700264,0.229232,1.07
2460173.71665217,1.383988,0.22923,1.07
2460173.71676807,0.6319707,0.229229,1.07
2460173.71687237,1.2050764,0.229227,1.07
2460173.71698827,1.0397436,0.229225,1.07
2460173.71710427,1.1430781,0.229223,1.07
2460173.71720857,0.9540347,0.229221,1.07
2460173.71744036,1.189354,0.229217,1.07
2460173.71755626,0.9585434,0.229215,1.07
2460173.71767216,1.2319649,0.229213,1.07
2460173.71778806,0.8806455,0.229211,1.07
2460173.71789236,1.13198,0.22921,1.07
2460173.71800826,0.9544128,0.229208,1.07
2460173.71811266,0.9749173,0.229206,1.07
2460173.71822855,0.6218215,0.229204,1.07
2460173.71834445,0.7113647,0.229202,1.07
2460173.71846035,1.3503713,0.2292,1.07
2460173.71857625,1.427549,0.229198,1.07
2460173.71869225,1.3109268,0.229196,1.07
2460173.71879645,0.7027123,0.229194,1.07
2460173.71891235,0.9006293,0.229192,1.07
2460173.71902835,1.0080528,0.22919,1.07
2460173.71914424,0.5673703,0.229188,1.07
2460173.71924854,0.9287693,0.229186,1.07
2460173.71936444,1.3126475,0.229184,1.07
2460173.71948034,1.0178079,0.229182,1.07
2460173.71959624,0.5266895,0.22918,1.07
2460173.71970054,1.0369516,0.229178,1.07
2460173.71982814,1.0614694,0.229175,1.07
2460173.71993244,0.7076379,0.229173,1.07
2460173.72004833,0.828555,0.229171,1.07
2460173.72016423,0.731636,0.229169,1.07
2460173.72026853,0.7803509,0.229167,1.07
2460173.72038443,1.687633,0.229165,1.07
2460173.72050033,0.8456382,0.229163,1.07
2460173.72060473,0.7956274,0.229161,1.07
2460173.72072063,1.0765143,0.229159,1.07
2460173.72082503,1.4795782,0.229157,1.07
2460173.72094092,1.0057641,0.229155,1.07
2460173.72105682,1.262316,0.229153,1.07
2460173.72116112,1.1300445,0.22915,1.07
2460173.72127702,0.8306293,0.229148,1.07
2460173.72139292,1.1651757,0.229146,1.07
2460173.72150882,1.1531266,0.229144,1.07
2460173.72162482,0.9203568,0.229142,1.07
2460173.72172912,1.2697239,0.22914,1.07
2460173.72184501,0.9058067,0.229137,1.07
2460173.72194931,1.2316776,0.229135,1.07
2460173.72206531,0.756189,0.229133,1.07
2460173.72218111,0.9730529,0.229131,1.07
2460173.72229701,0.9084549,0.229129,1.07
2460173.72240141,0.7722798,0.229126,1.07
2460173.72251731,1.3332818,0.229124,1.07
2460173.72262161,0.9093269,0.229122,1.07
2460173.7227375,1.0331599,0.22912,1.07
2460173.7228534,1.201665,0.229118,1.07
2460173.7229578,0.9061971,0.229116,1.07
2460173.7230737,0.9415795,0.229113,1.07
2460173.723178,0.8479502,0.229111,1.07
2460173.7232939,1.2381212,0.229109,1.07
2460173.7234098,1.0119333,0.229107,1.07
2460173.7235142,1.2404028,0.229104,1.07
2460173.72373439,0.7987257,0.2291,1.07
2460173.72385029,1.1012042,0.229098,1.07
2460173.72396619,1.0581714,0.229095,1.07
2460173.72407049,0.8266967,0.229093,1.07
2460173.72418639,1.0396219,0.229091,1.07
2460173.72429069,0.9948868,0.229088,1.07
2460173.72440659,1.1385901,0.229086,1.07
2460173.72452248,0.5042756,0.229084,1.07
