#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-1
#EXOPLANET_NAME=TrES-1 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": "285.843080156", "dec": "36.4155576199", "x": "338.0", "y": "352.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Cecilia (Whipple Observatory; Center for Astrophysics | Harvard-Smithsonian); camera type=CCD; first image=TRES-1260803065251.FITS; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=3.030069476 +/- 7.2e-08,Rp/R*=0.14763 +/- 0.00028,a/R*=10.52 +/- 0.06,inc=90.0 +/- 0.1,ecc=0.012,u0=1.906 +/- 0.015,u1=-3.368 +/- 0.06,u2=3.835 +/- 0.079,u3=-1.372 +/- 0.034
#PRIORS-XC={"Period": {"value": "3.030069476", "uncertainty": "7.2e-08", "units": "days"}, "Rp/R*": {"value": "0.14763", "uncertainty": "0.00028"}, "a/R*": {"value": "10.52", "uncertainty": "0.06"}, "inc": {"value": "90.0", "uncertainty": "0.1", "units": "degrees"}, "ecc": {"value": "0.012", "uncertainty": null}, "u0": {"value": "1.906", "uncertainty": "0.015"}, "u1": {"value": "-3.368", "uncertainty": "0.06"}, "u2": {"value": "3.835", "uncertainty": "0.079"}, "u3": {"value": "-1.372", "uncertainty": "0.034"}}
#RESULTS=Tc=2461255.8854 +/- 0.0034,Rp/R*=0.184 +/- 0.051,inc=89.91 +/- 1.36,Am1=0.83 +/- 0.19,Am2=0.064 +/- 0.051
#RESULTS-XC={"Tc": {"value": "2461255.8854", "uncertainty": "0.0034", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.184", "uncertainty": "0.051"}, "inc": {"value": "89.91", "uncertainty": "1.36"}, "Am1": {"value": "0.83", "uncertainty": "0.19"}, "Am2": {"value": "0.064", "uncertainty": "0.051"}, "Duration": {"value": "0.11", "uncertainty": "0.0056", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461255.79080258,0.7735231,0.1642659,1.0383628,0.8914406
2461255.79409991,1.1340362,0.1643393,1.043246,0.8917187
2461255.79753754,0.8661335,0.1644214,1.0487082,0.8920299
2461255.8011297,1.2324234,0.1645134,1.0548254,0.8923785
2461255.80234703,1.0030675,0.1645464,1.0570187,0.8925035
2461255.80355324,0.9928076,0.1645796,1.0592221,0.8926292
2461255.80477074,0.9562275,0.1646138,1.0614932,0.8927587
2461255.80597641,1.1150138,0.1646488,1.0638201,0.8928914
2461255.80719302,1.0767864,0.1646846,1.0661968,0.8930269
2461255.80844672,1.3646193,0.1647222,1.0686942,0.8931694
2461255.81052401,1.1259487,0.1647868,1.0729814,0.893414
2461255.81261247,1.1560054,0.1648539,1.077429,0.8936678
2461255.81471234,0.9296663,0.1649238,1.0820639,0.8939325
2461255.81677965,0.8251764,0.1649954,1.0868118,0.8942036
2461255.8188797,0.9061862,0.1650704,1.0917794,0.8944874
2461255.82094558,0.8631581,0.165147,1.096855,0.8947774
2461255.82303427,0.7895855,0.1652269,1.1021433,0.8950797
2461255.82512173,0.8225966,0.1653093,1.1075968,0.8953916
2461255.82719784,0.8977591,0.1653946,1.1132376,0.8957142
2461255.8292867,0.7848263,0.1654828,1.1190608,0.8960474
2461255.83137405,0.806906,0.1655737,1.1250704,0.8963915
2461255.83346226,0.8357781,0.1656683,1.1313127,0.8967489
2461255.83552803,0.7549503,0.1657646,1.1376669,0.897113
2461255.83761615,0.902908,0.1658648,1.1442741,0.8974917
2461255.83969466,0.787989,0.165968,1.1510758,0.8978817
2461255.84178294,0.7828652,0.1660745,1.1580878,0.8982839
2461255.84385915,0.8084734,0.1661836,1.165267,0.8986959
2461255.84594845,0.7792808,0.1662976,1.172765,0.8991264
2461255.84803612,0.8211455,0.1664142,1.1804289,0.8995667
2461255.85011381,0.871476,0.1665346,1.1883389,0.9000213
2461255.852192,0.766478,0.1666586,1.1964754,0.9004892
2461255.85428094,0.881506,0.1667864,1.204858,0.9009715
2461255.85635834,0.7810932,0.1669182,1.2134938,0.9014686
2461255.85844814,0.9212155,0.1670538,1.2223751,0.9019801
2461255.86053481,0.7855877,0.1671937,1.231524,0.9025074
2461255.8626103,0.7209373,0.1673378,1.2409484,0.9030508
2461255.86469858,0.7986472,0.1674865,1.2506568,0.903611
2461255.86677565,0.9372543,0.1676395,1.2606413,0.9041875
2461255.86886501,0.8816723,0.167797,1.2709095,0.9047807
2461255.87093973,0.9627924,0.1679586,1.2814338,0.9053891
2461255.87302847,1.1753329,0.1681269,1.2923857,0.9060227
2461255.87511654,0.9889359,0.1682997,1.3036144,0.9066727
2461255.89594877,0.4265077,0.1703483,1.4359017,0.9143664
2461255.89803757,0.484387,0.17059,1.4514055,0.9152723
