BJD,Norm Flux,Norm Err,AM
2461255.79080258,0.7735231,0.164266,1.04
2461255.79409991,1.1340362,0.164339,1.04
2461255.79753754,0.8661335,0.164421,1.05
2461255.8011297,1.2324234,0.164513,1.05
2461255.80234703,1.0030675,0.164546,1.06
2461255.80355324,0.9928076,0.16458,1.06
2461255.80477074,0.9562275,0.164614,1.06
2461255.80597641,1.1150138,0.164649,1.06
2461255.80719302,1.0767864,0.164685,1.07
2461255.80844672,1.3646193,0.164722,1.07
2461255.81052401,1.1259487,0.164787,1.07
2461255.81261247,1.1560054,0.164854,1.08
2461255.81471234,0.9296663,0.164924,1.08
2461255.81677965,0.8251764,0.164995,1.09
2461255.8188797,0.9061862,0.16507,1.09
2461255.82094558,0.8631581,0.165147,1.1
2461255.82303427,0.7895855,0.165227,1.1
2461255.82512173,0.8225966,0.165309,1.11
2461255.82719784,0.8977591,0.165395,1.11
2461255.8292867,0.7848263,0.165483,1.12
2461255.83137405,0.806906,0.165574,1.13
2461255.83346226,0.8357781,0.165668,1.13
2461255.83552803,0.7549503,0.165765,1.14
2461255.83761615,0.902908,0.165865,1.14
2461255.83969466,0.787989,0.165968,1.15
2461255.84178294,0.7828652,0.166074,1.16
2461255.84385915,0.8084734,0.166184,1.17
2461255.84594845,0.7792808,0.166298,1.17
2461255.84803612,0.8211455,0.166414,1.18
2461255.85011381,0.871476,0.166535,1.19
2461255.852192,0.766478,0.166659,1.2
2461255.85428094,0.881506,0.166786,1.2
2461255.85635834,0.7810932,0.166918,1.21
2461255.85844814,0.9212155,0.167054,1.22
2461255.86053481,0.7855877,0.167194,1.23
2461255.8626103,0.7209373,0.167338,1.24
2461255.86469858,0.7986472,0.167486,1.25
2461255.86677565,0.9372543,0.167639,1.26
2461255.86886501,0.8816723,0.167797,1.27
2461255.87093973,0.9627924,0.167959,1.28
2461255.87302847,1.1753329,0.168127,1.29
2461255.87511654,0.9889359,0.1683,1.3
2461255.89594877,0.4265077,0.170348,1.44
2461255.89803757,0.484387,0.17059,1.45
2461255.90844356,0.3111372,0.171924,1.54
2461255.9230286,0.2762203,0.174209,1.68
2461255.93969459,1.0125154,0.177626,1.89
2461255.95012474,0.9955958,0.18037,2.06
2461255.95218992,0.7805243,0.180991,2.1
2461255.95844277,0.707749,0.183024,2.22
2461255.96053237,1.475316,0.183766,2.26
2461255.96260856,0.9576678,0.184542,2.31
2461255.96469563,1.0849079,0.185357,2.36
2461255.96677263,1.1428958,0.186208,2.41
2461255.96886116,1.0796175,0.18711,2.46
2461255.9709503,0.9969325,0.188055,2.52
2461255.97302542,1.07121,0.189049,2.57
2461255.97512402,0.991631,0.190097,2.64
2461255.97719947,1.1691176,0.191205,2.7
