# #x_centroid, y_centroid, amplitude, sigma_x, sigma_y, rotation offset
252.199360 187.330017 180545.254062 8.507254 7.111211 0.207895 2606.239502
246.933873 188.243564 180797.227433 8.495909 7.149632 0.191011 2330.371582
241.404973 189.436441 181487.264704 8.669651 7.032653 0.160815 2226.848389
236.848895 190.226436 181735.929092 8.458337 7.111116 0.158298 2044.356201
232.006215 191.183132 181738.026925 7.354025 7.911338 -0.785398 1921.435669
227.901033 192.119599 178833.938776 8.406094 7.203413 0.220318 1781.869995
223.334214 192.878556 178697.190102 8.736050 7.098667 0.162117 1791.948486
219.349870 193.758679 182390.376227 8.345777 7.159404 0.183429 1665.537720
215.233536 194.451710 180778.589925 8.494565 7.118095 0.195974 1592.989746
212.028921 194.601029 180418.245950 8.492268 7.177299 0.210003 1588.723633
208.048098 195.051238 180691.994407 8.560201 7.129792 0.186789 1536.177490
204.717823 195.999816 177461.320368 8.406272 7.296880 0.207012 1459.988647
201.101891 196.544553 175084.008532 8.527800 7.261334 0.216753 1482.254761
197.436054 197.113106 176694.791470 8.741607 7.136191 0.184385 1440.771362
194.030673 197.641183 175185.503457 8.737540 7.263322 0.207695 1386.792358
191.008325 198.036604 175997.060855 8.589696 7.229852 0.232804 1378.443848
187.816152 198.428489 175230.923561 8.534303 7.284476 0.249760 1392.254883
184.400204 198.719024 175685.526303 8.738526 7.199819 0.166406 1423.091064
181.429116 199.057764 174635.676174 8.766615 7.207315 0.212147 1393.194214
178.994223 199.364804 174480.278238 8.597363 7.299658 0.229683 1339.661865
175.985766 199.862002 173497.796189 8.599036 7.300848 0.216227 1354.768311
173.849590 199.905925 173186.017849 8.478623 7.364084 0.254950 1331.326172
170.992880 199.993304 173034.936530 8.678234 7.336502 0.235874 1336.884155
168.269466 200.285610 173501.494587 8.766325 7.309356 0.206756 1284.579468
166.244508 200.233558 173064.992469 8.718841 7.316500 0.178355 1333.004761
164.131647 200.608295 174533.751103 8.720721 7.267046 0.234418 1286.634399
162.142354 201.056896 175022.801261 8.709690 7.273085 0.205312 1378.357910
160.826226 201.224258 174812.271349 8.525968 7.315089 0.256872 1285.617920
158.868056 201.332306 176239.626285 8.501838 7.329484 0.219897 1294.103516
157.201404 201.318734 174261.617956 8.783651 7.286644 0.186398 1324.604980
