#TYPE=EXOPLANET
#OBSCODE=anonymous-observer
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-30
#EXOPLANET_NAME=HAT-P-30 b
#BINNING=1x1
#EXPOSURE_TIME=20.284
#COMP_STAR-XC={"ra": "123.927468388", "dec": "5.94912709716", "x": "812.0", "y": "888.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=tfn0m410-kb98-20200202-0475-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=SR
#FILTER-XC={"name": "SR", "desc": "Sloan r", "fwhm": [{"value": "553.1", "units": "nm"}, {"value": "693.1", "units": "nm"}]}
#PRIORS=Period=3.4684457 +/- 3e-07,Rp/R*=0.124 +/- 0.005,a/R*=10.7 +/- 0.3,inc=86.4 +/- 0.5,ecc=0.0,u0=2.128 +/- 0.019,u1=-3.765 +/- 0.077,u2=4.161 +/- 0.1,u3=-1.524 +/- 0.042
#PRIORS-XC={"Period": {"value": "3.4684457", "uncertainty": "3e-07", "units": "days"}, "Rp/R*": {"value": "0.124", "uncertainty": "0.005"}, "a/R*": {"value": "10.7", "uncertainty": "0.3"}, "inc": {"value": "86.4", "uncertainty": "0.5", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.128", "uncertainty": "0.019"}, "u1": {"value": "-3.765", "uncertainty": "0.077"}, "u2": {"value": "4.161", "uncertainty": "0.1"}, "u3": {"value": "-1.524", "uncertainty": "0.042"}}
#RESULTS=Tc=2458881.795 +/- 0.017,Rp/R*=0.151 +/- 0.045,inc=83.41 +/- 2.48,Am1=0.929 +/- 0.01,Am2=0.0606 +/- 0.0059
#RESULTS-XC={"Tc": {"value": "2458881.795", "uncertainty": "0.017", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.151", "uncertainty": "0.045"}, "inc": {"value": "83.41", "uncertainty": "2.48"}, "Am1": {"value": "0.929", "uncertainty": "0.01"}, "Am2": {"value": "0.0606", "uncertainty": "0.0059"}, "Duration": {"value": "0.0", "uncertainty": "0.0", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2458882.52625665,0.9806236,0.0134911,1.0832546,0.9920854
2458882.52664712,0.9953522,0.0134911,1.0833582,0.9920916
2458882.52708028,1.0018066,0.0134911,1.0834795,0.9920989
2458882.52747025,1.0000939,0.0134911,1.0835975,0.992106
2458882.52790361,0.9876836,0.0134911,1.083733,0.9921142
2458882.52829378,1.0016931,0.0134911,1.0838631,0.992122
2458882.52869144,0.9755815,0.0134911,1.0840039,0.9921305
2458882.52908831,1.000862,0.0134911,1.0841486,0.9921392
2458882.52949287,0.9877289,0.0134911,1.084303,0.9921485
2458882.53000553,0.99803,0.0134911,1.0845088,0.9921608
2458882.53041789,0.9763084,0.0134911,1.0846831,0.9921713
2458882.53080816,0.9929891,0.0134911,1.0848505,0.9921814
2458882.53121953,0.9891209,0.0134911,1.085037,0.9921926
2458882.53201976,0.9921914,0.0134911,1.0854206,0.9922157
2458882.53241012,0.9988025,0.0134911,1.085619,0.9922276
2458882.53291508,0.9642811,0.0134911,1.0858809,0.9922434
2458882.53334104,0.9876097,0.0134911,1.0861123,0.9922573
2458882.53373041,0.9992038,0.0134911,1.0863316,0.9922705
2458882.53415667,0.9815797,0.0134911,1.086573,0.992285
2458882.53454624,0.9907279,0.0134911,1.0868032,0.9922989
2458882.53494261,0.9816505,0.0134911,1.0870452,0.9923134
2458882.53534597,0.9981137,0.0134911,1.0872962,0.9923285
2458882.53574984,0.9979444,0.0134911,1.0875562,0.9923442
2458882.536139,1.00165,0.0134911,1.0878116,0.9923595
2458882.53655037,0.9857784,0.0134911,1.0880892,0.9923763
2458882.53694674,0.9977413,0.0134911,1.0883616,0.9923926
2458882.5373869,0.9940101,0.0134912,1.0886743,0.9924115
2458882.53777646,0.9868624,0.0134912,1.0889574,0.9924285
2458882.53820193,0.9882813,0.0134912,1.08927,0.9924473
2458882.53864929,1.0090233,0.0134912,1.0896134,0.992468
2458882.53904556,0.9933131,0.0134912,1.0899224,0.9924866
2458882.53944282,1.0031492,0.0134912,1.090239,0.9925056
2458882.53983219,1.0016377,0.0134912,1.0905548,0.9925246
2458882.54022885,1.004059,0.0134912,1.0908819,0.9925443
2458882.54062522,0.9971999,0.0134912,1.0912162,0.9925644
2458882.54102858,1.0042969,0.0134912,1.0915655,0.9925855
2458882.54142545,0.9961712,0.0134912,1.0919109,0.9926062
2458882.54181462,0.9938571,0.0134912,1.0922634,0.9926275
2458882.54224718,0.9901281,0.0134912,1.0926557,0.9926511
2458882.54263655,1.0069166,0.0134912,1.0930207,0.992673
2458882.54306841,1.0057577,0.0134912,1.0934322,0.9926978
2458882.54351567,0.9954236,0.0134912,1.0938652,0.9927239
2458882.54392644,0.9869934,0.0134912,1.0942685,0.9927481
