# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_target
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0475-e91.fits",2458882.526256651,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0476-e91.fits",2458882.5266471175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0477-e91.fits",2458882.5270802802,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0478-e91.fits",2458882.527470247,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0479-e91.fits",2458882.5279036094,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0480-e91.fits",2458882.5282937763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0481-e91.fits",2458882.528691442,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0482-e91.fits",2458882.529088308,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0483-e91.fits",2458882.5294928737,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0484-e91.fits",2458882.53000553,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0485-e91.fits",2458882.5304178945,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0486-e91.fits",2458882.530808161,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0487-e91.fits",2458882.5312195257,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0488-e91.fits",2458882.531609092,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0489-e91.fits",2458882.532019757,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0490-e91.fits",2458882.5324101234,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0491-e91.fits",2458882.5329150804,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0492-e91.fits",2458882.533341044,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0493-e91.fits",2458882.5337304105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0494-e91.fits",2458882.534156674,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0495-e91.fits",2458882.5345462407,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0496-e91.fits",2458882.5349426065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0497-e91.fits",2458882.535345972,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0498-e91.fits",2458882.5357498378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0499-e91.fits",2458882.536139004,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0500-e91.fits",2458882.5365503686,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0501-e91.fits",2458882.536946735,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0502-e91.fits",2458882.537386897,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0503-e91.fits",2458882.537776464,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0504-e91.fits",2458882.538201927,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0505-e91.fits",2458882.538649289,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0506-e91.fits",2458882.539045555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0507-e91.fits",2458882.539442821,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0508-e91.fits",2458882.539832188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0509-e91.fits",2458882.540228854,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0510-e91.fits",2458882.5406252197,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0511-e91.fits",2458882.541028585,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/HAT-P-30 b/tfn0m410-kb98-20200202-0512-e91.fits",2458882.541425451,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
