BJD,Norm Flux,Norm Err,AM
2458882.52625665,0.9806236,0.013491,1.08
2458882.52664712,0.9953522,0.013491,1.08
2458882.52708028,1.0018066,0.013491,1.08
2458882.52747025,1.0000939,0.013491,1.08
2458882.52790361,0.9876836,0.013491,1.08
2458882.52829378,1.0016931,0.013491,1.08
2458882.52869144,0.9755815,0.013491,1.08
2458882.52908831,1.000862,0.013491,1.08
2458882.52949287,0.9877289,0.013491,1.08
2458882.53000553,0.99803,0.013491,1.08
2458882.53041789,0.9763084,0.013491,1.08
2458882.53080816,0.9929891,0.013491,1.08
2458882.53121953,0.9891209,0.013491,1.09
2458882.53201976,0.9921914,0.013491,1.09
2458882.53241012,0.9988025,0.013491,1.09
2458882.53291508,0.9642811,0.013491,1.09
2458882.53334104,0.9876097,0.013491,1.09
2458882.53373041,0.9992038,0.013491,1.09
2458882.53415667,0.9815797,0.013491,1.09
2458882.53454624,0.9907279,0.013491,1.09
2458882.53494261,0.9816505,0.013491,1.09
2458882.53534597,0.9981137,0.013491,1.09
2458882.53574984,0.9979444,0.013491,1.09
2458882.536139,1.00165,0.013491,1.09
2458882.53655037,0.9857784,0.013491,1.09
2458882.53694674,0.9977413,0.013491,1.09
2458882.5373869,0.9940101,0.013491,1.09
2458882.53777646,0.9868624,0.013491,1.09
2458882.53820193,0.9882813,0.013491,1.09
2458882.53864929,1.0090233,0.013491,1.09
2458882.53904556,0.9933131,0.013491,1.09
2458882.53944282,1.0031492,0.013491,1.09
2458882.53983219,1.0016377,0.013491,1.09
2458882.54022885,1.004059,0.013491,1.09
2458882.54062522,0.9971999,0.013491,1.09
2458882.54102858,1.0042969,0.013491,1.09
2458882.54142545,0.9961712,0.013491,1.09
2458882.54181462,0.9938571,0.013491,1.09
2458882.54224718,0.9901281,0.013491,1.09
2458882.54263655,1.0069166,0.013491,1.09
2458882.54306841,1.0057577,0.013491,1.09
2458882.54351567,0.9954236,0.013491,1.09
2458882.54392644,0.9869934,0.013491,1.09
2458882.5443155,0.9920243,0.013491,1.09
2458882.54471177,0.9920021,0.013491,1.1
2458882.54510804,0.9970471,0.013491,1.1
2458882.5455048,0.9853339,0.013491,1.1
2458882.54595096,1.0065702,0.013491,1.1
2458882.54634733,1.0029653,0.013491,1.1
2458882.54682259,0.9891617,0.013491,1.1
2458882.54726955,0.9909713,0.013491,1.1
2458882.54769461,0.9936812,0.013491,1.1
2458882.54808338,0.9872101,0.013491,1.1
2458882.54847955,0.9878887,0.013491,1.1
2458882.54887561,0.9958899,0.013491,1.1
2458882.54927188,0.98751,0.013491,1.1
2458882.54966815,0.9730144,0.013491,1.1
2458882.55006361,0.9906087,0.013491,1.1
2458882.55047458,0.9748688,0.013491,1.1
2458882.55087034,1.0124625,0.013491,1.1
2458882.55126651,0.992425,0.013491,1.1
2458882.55166287,0.9716142,0.013491,1.1
2458882.55210914,0.9988033,0.013491,1.1
2458882.5525055,0.9932506,0.013491,1.1
2458882.55290127,0.9957135,0.013491,1.1
2458882.55331953,0.986863,0.013491,1.11
2458882.5537148,1.003916,0.013491,1.11
2458882.55410347,0.9856476,0.013491,1.11
2458882.55449913,0.983261,0.013491,1.11
2458882.5548946,0.9860896,0.013491,1.11
2458882.55529026,0.9891138,0.013491,1.11
2458882.55568563,1.0045043,0.013491,1.11
2458882.5560892,0.9819851,0.013491,1.11
2458882.55656386,0.9790152,0.013491,1.11
2458882.55697342,0.9880369,0.013491,1.11
2458882.55736319,0.9890446,0.013491,1.11
2458882.55775905,0.9910605,0.013491,1.11
2458882.55821251,1.0056137,0.013491,1.11
2458882.55860118,0.9889251,0.013491,1.11
2458882.55901775,0.9739418,0.013491,1.11
2458882.55982998,0.9860564,0.013491,1.12
2458882.56022544,0.9895423,0.013491,1.12
2458882.56064231,1.0083902,0.013491,1.12
2458882.56103727,0.9859798,0.013491,1.12
2458882.56142554,0.9884183,0.013491,1.12
2458882.5618276,0.9921075,0.013491,1.12
2458882.56224437,0.9918948,0.013491,1.12
2458882.56264694,0.9938373,0.013491,1.12
2458882.563035,0.9866573,0.013491,1.12
2458882.56343047,0.9809627,0.013492,1.12
2458882.56382533,0.9934389,0.013492,1.12
2458882.5642355,0.9847543,0.013492,1.12
2458882.56463117,0.9929635,0.013492,1.12
2458882.56504063,1.0130376,0.013492,1.13
2458882.5654435,1.0036371,0.013492,1.13
2458882.56583836,0.9865103,0.013492,1.13
2458882.56623383,1.0078969,0.013492,1.13
2458882.56663619,1.0032064,0.013492,1.13
2458882.56706766,0.9867237,0.013492,1.13
2458882.56746282,0.9732252,0.013492,1.13
2458882.56785729,0.9931992,0.013492,1.13
2458882.56825926,0.9829789,0.013492,1.13
2458882.56865432,1.0027032,0.013492,1.13
2458882.56907059,1.0006708,0.013492,1.13
2458882.56945895,0.9738984,0.013492,1.13
2458882.56986052,0.9806265,0.013492,1.14
2458882.57024799,0.9934844,0.013492,1.14
2458882.57065025,0.9996348,0.013492,1.14
2458882.57104492,1.0027008,0.013492,1.14
2458882.57146148,1.0072008,0.013492,1.14
2458882.57187735,0.991423,0.013492,1.14
2458882.57227271,0.9907733,0.013492,1.14
2458882.57267478,0.9905304,0.013492,1.14
2458882.57306984,1.001863,0.013492,1.14
2458882.57347931,1.00203,0.013492,1.14
2458882.57388058,1.0049859,0.013492,1.14
2458882.57427554,1.0078681,0.013492,1.15
2458882.57468441,1.0055039,0.013492,1.15
2458882.57507917,1.0100627,0.013492,1.15
2458882.57547394,1.0014276,0.013492,1.15
2458882.5758759,0.9953812,0.013492,1.15
2458882.57627027,0.9907818,0.013492,1.15
2458882.57667854,0.9980289,0.013492,1.15
2458882.5770731,0.9982275,0.013492,1.15
2458882.57748887,0.9848506,0.013492,1.15
2458882.57788273,1.004181,0.013492,1.15
2458882.5782775,0.9961268,0.013492,1.16
2458882.57871456,0.9922481,0.013492,1.16
2458882.57913803,0.9800467,0.013492,1.16
2458882.57953229,0.9846533,0.013492,1.16
2458882.57992736,0.9956911,0.013492,1.16
2458882.58032172,0.9990989,0.013492,1.16
2458882.58078009,0.9883561,0.013492,1.16
2458882.58118885,0.9910911,0.013492,1.16
2458882.58158292,0.9911391,0.013492,1.16
2458882.58201988,0.9916127,0.013492,1.17
2458882.58242834,0.9917025,0.013492,1.17
2458882.58282211,0.9823127,0.013492,1.17
2458882.58321698,1.0000993,0.013492,1.17
2458882.58363224,0.9903715,0.013492,1.17
2458882.58402711,0.9839733,0.013492,1.17
2458882.58442847,0.9914134,0.013492,1.17
2458882.58482214,1.0133347,0.013492,1.17
2458882.58521641,1.0023429,0.013492,1.18
2458882.58561017,1.0061698,0.013492,1.18
2458882.58601174,1.0152174,0.013492,1.18
2458882.58680027,1.0022802,0.013492,1.18
2458882.58719474,1.0134841,0.013492,1.18
2458882.5875953,1.0066558,0.013492,1.18
2458882.58798977,0.9807916,0.013492,1.18
2458882.58838344,0.982437,0.013492,1.19
2458882.5887768,0.9990661,0.013492,1.19
2458882.58917097,1.0083061,0.013492,1.19
2458882.58956454,0.9964268,0.013492,1.19
2458882.5899581,1.0137524,0.013492,1.19
2458882.59035897,0.9910597,0.013492,1.19
2458882.59075943,0.992895,0.013492,1.19
2458882.5911533,1.0231205,0.013492,1.19
2458882.59157566,1.0027598,0.013492,1.2
2458882.59199873,1.0104851,0.013492,1.2
2458882.59239969,1.0031236,0.013492,1.2
2458882.59279416,0.9783939,0.013492,1.2
2458882.59319503,0.9895133,0.013492,1.2
