#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=KELT-16
#EXOPLANET_NAME=KELT-16 b
#BINNING=1x1
#EXPOSURE_TIME=61.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=elp0m473-sq46-20260707-0120-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=V
#FILTER-XC={"name": "V", "desc": "Johnson V", "fwhm": [{"value": "502.8", "units": "nm"}, {"value": "586.8", "units": "nm"}]}
#PRIORS=Period=0.968992962 +/- 9.7e-08,Rp/R*=0.11633 +/- 0.00038,a/R*=3.23 +/- 0.12,inc=84.4 +/- 2.63,ecc=0.0,u0=1.918 +/- 0.018,u1=-3.392 +/- 0.072,u2=3.973 +/- 0.093,u3=-1.5 +/- 0.039
#PRIORS-XC={"Period": {"value": "0.968992962", "uncertainty": "9.7e-08", "units": "days"}, "Rp/R*": {"value": "0.11633", "uncertainty": "0.00038"}, "a/R*": {"value": "3.23", "uncertainty": "0.12"}, "inc": {"value": "84.4", "uncertainty": "2.63", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.918", "uncertainty": "0.018"}, "u1": {"value": "-3.392", "uncertainty": "0.072"}, "u2": {"value": "3.973", "uncertainty": "0.093"}, "u3": {"value": "-1.5", "uncertainty": "0.039"}}
#RESULTS=Tc=2461229.8192 +/- 0.0013,Rp/R*=0.1454 +/- 0.00092,inc=84.29 +/- 1.82,Am1=1.409 +/- 0.013,Am2=-0.3262 +/- 0.0064
#RESULTS-XC={"Tc": {"value": "2461229.8192", "uncertainty": "0.0013", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1454", "uncertainty": "0.00092"}, "inc": {"value": "84.29", "uncertainty": "1.82"}, "Am1": {"value": "1.409", "uncertainty": "0.013"}, "Am2": {"value": "-0.3262", "uncertainty": "0.0064"}, "Duration": {"value": "0.11", "uncertainty": "0.0026", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461229.72615476,0.9003865,0.0088642,1.3935655,0.8941719
2461229.7268855,0.9057547,0.0088793,1.3884426,0.8956673
2461229.72761653,0.9110316,0.0088944,1.3833511,0.897156
2461229.72835427,0.9024986,0.0089094,1.3783159,0.8986307
2461229.7290849,0.9010266,0.0089241,1.3733574,0.9000853
2461229.72981634,0.9091521,0.0089388,1.3684512,0.9015269
2461229.73055447,0.907794,0.0089534,1.3635499,0.9029693
2461229.73128621,0.9046643,0.0089677,1.3587475,0.9043849
2461229.73201754,0.9102818,0.008982,1.3539963,0.9057876
2461229.73274958,0.9085846,0.0089961,1.3492971,0.907177
2461229.73348741,0.9237224,0.0090101,1.3446053,0.9085664
2461229.73421915,0.9194044,0.009024,1.3400071,0.9099301
2461229.73495048,0.9174101,0.0090377,1.3354584,0.9112812
2461229.73568922,0.9232837,0.0090514,1.3309145,0.9126328
2461229.73642045,0.9166058,0.0090648,1.3264668,0.9139578
2461229.73715839,0.9254144,0.0090783,1.3220244,0.9152831
2461229.73788882,0.9134632,0.0090915,1.3176719,0.9165835
2461229.73862006,0.9111528,0.0091045,1.3133643,0.9178722
2461229.73935809,0.914409,0.0091176,1.3090629,0.9191609
2461229.74008872,0.9146909,0.0091304,1.3048484,0.9204254
2461229.74081956,0.9096687,0.0091431,1.3006787,0.9216781
2461229.74155749,0.9148815,0.0091559,1.2965141,0.9229309
2461229.74228803,0.9137737,0.0091683,1.2924338,0.9241601
2461229.74301876,0.9196309,0.0091807,1.2883966,0.9253779
2461229.7437564,0.915134,0.009193,1.2843644,0.9265958
2461229.74448693,0.9122456,0.0092052,1.2804132,0.9277907
2461229.74521757,0.9182502,0.0092172,1.2765041,0.9289745
2461229.7459552,0.9202529,0.0092292,1.2725983,0.9301588
2461229.74668584,0.9187302,0.009241,1.2687721,0.9313204
2461229.74741607,0.9267699,0.0092527,1.2649684,0.9324766
2461229.74815411,0.9360128,0.0092644,1.2612011,0.9336231
2461229.74888514,0.9355242,0.0092758,1.2574945,0.9347526
2461229.74962258,0.9346525,0.0092873,1.253793,0.9358818
2461229.75035311,0.9409615,0.0092985,1.2501654,0.9369899
2461229.75108365,0.9412383,0.0093097,1.2465583,0.9380929
2461229.75182138,0.9348448,0.0093208,1.2429895,0.9391856
2461229.75255172,0.9380081,0.0093317,1.2394777,0.940262
2461229.75328895,0.9423981,0.0093427,1.2359697,0.9413385
2461229.75401908,0.9505638,0.0093534,1.2325309,0.942395
2461229.75474972,0.9450858,0.0093641,1.2291115,0.9434467
2461229.75548725,0.9453868,0.0093746,1.2257296,0.944488
2461229.75621739,0.9346463,0.0093851,1.2223837,0.9455193
2461229.75697612,0.9469031,0.0093958,1.2189726,0.9465719
2461229.75770876,0.9464937,0.009406,1.2157071,0.9475807
2461229.75843979,0.9506199,0.0094162,1.2124657,0.9485831
2461229.75917753,0.9519515,0.0094263,1.2092601,0.9495755
2461229.75990776,0.9416034,0.0094362,1.2061044,0.9505534
2461229.7606382,0.9431204,0.0094461,1.202967,0.9515266
2461229.76137583,0.9434842,0.0094559,1.1998634,0.9524904
2461229.76210607,0.9561136,0.0094655,1.1968075,0.9534403
2461229.7628438,0.9601673,0.0094752,1.1937549,0.9543901
2461229.76357404,0.9548267,0.0094846,1.1907628,0.955322
2461229.76430507,0.9673623,0.009494,1.1877893,0.956249
2461229.76504231,0.9544158,0.0095034,1.1848469,0.9571672
2461229.76577354,0.9537781,0.0095125,1.1819496,0.9580722
2461229.76650408,0.9532764,0.0095217,1.1790709,0.9589723
2461229.76724191,0.954374,0.0095307,1.1762231,0.9598635
2461229.76797214,0.957602,0.0095397,1.1734207,0.9607413
2461229.76870958,0.9622419,0.0095486,1.1706215,0.9616189
2461229.76943991,0.9546607,0.0095573,1.1678796,0.9624793
2461229.77017725,0.9632877,0.009566,1.1651406,0.9633395
2461229.77090778,0.9601846,0.0095746,1.1624565,0.9641833
2461229.77163872,0.9651211,0.0095831,1.1597889,0.9650226
2461229.77237585,0.9616641,0.0095916,1.1571506,0.9658535
2461229.77310699,0.9540328,0.0095999,1.1545494,0.9666733
2461229.77384662,0.9587506,0.0096082,1.1519535,0.9674922
2461229.77457676,0.9499247,0.0096164,1.1494157,0.9682934
2461229.77530659,0.9576716,0.0096244,1.1468936,0.9690903
2461229.77604383,0.9560522,0.0096325,1.1443989,0.9698792
2461229.77678076,0.9585877,0.0096404,1.1419207,0.9706635
2461229.7775106,0.9582317,0.0096482,1.1394931,0.9714324
2461229.77824793,0.9566607,0.009656,1.1370692,0.9722007
2461229.77897786,0.9710522,0.0096637,1.1346949,0.9729539
2461229.7797084,0.9584549,0.0096713,1.1323413,0.9737012
2461229.78044153,0.9753063,0.0096788,1.1300041,0.9744438
2461229.78117877,0.9704393,0.0096863,1.1276973,0.9751772
2461229.7819092,0.9694736,0.0096936,1.1254162,0.9759031
2461229.78264674,0.9702627,0.0097009,1.1231615,0.9766211
2461229.78338397,0.9678801,0.0097082,1.1209221,0.9773347
2461229.78411401,0.9613473,0.0097153,1.1187301,0.9780337
2461229.78485824,0.9642949,0.0097225,1.1165198,0.9787391
2461229.78559608,0.9636635,0.0097295,1.1143558,0.9794302
2461229.78633341,0.9662188,0.0097364,1.1122182,0.9801133
2461229.78706335,0.9712061,0.0097432,1.1101264,0.9807823
2461229.78779308,0.9674354,0.00975,1.1080478,0.9814475
2461229.78853101,0.9690921,0.0097567,1.1059923,0.9821058
2461229.78926125,0.9691894,0.0097632,1.1039718,0.9827532
2461229.78999858,0.9676644,0.0097698,1.1019561,0.9833996
2461229.79072862,0.9712259,0.0097763,1.0999743,0.9840355
2461229.79146545,0.9637903,0.0097827,1.0980167,0.984664
2461229.79219509,0.9636175,0.009789,1.0960823,0.9852855
2461229.79293192,0.9613588,0.0097952,1.0941709,0.9859
2461229.79366186,0.9643755,0.0098014,1.0922826,0.9865074
2461229.79439869,0.9693941,0.0098075,1.0904176,0.9871077
2461229.79512823,0.961312,0.0098135,1.0885836,0.9876984
2461229.79585856,0.957329,0.0098195,1.0867625,0.9882853
2461229.79659539,0.9629462,0.0098253,1.0849651,0.9888649
2461229.79732513,0.9634017,0.0098312,1.0831904,0.9894374
2461229.79806126,0.9654304,0.0098369,1.0814372,0.9900034
2461229.7987988,0.9588842,0.0098426,1.0796962,0.9905658
2461229.79952893,0.9582066,0.0098482,1.0779944,0.9911158
2461229.80026567,0.9493284,0.0098538,1.0762992,0.991664
2461229.8009948,0.9556042,0.0098592,1.0746415,0.9922003
2461229.80173184,0.9558532,0.0098647,1.0729893,0.9927352
2461229.80246057,0.9575538,0.00987,1.071367,0.9932606
2461229.8031973,0.9632647,0.0098753,1.0697647,0.9937799
2461229.80393384,0.9616895,0.0098805,1.0681764,0.9942949
2461229.80466297,0.9602693,0.0098857,1.0666161,0.994801
2461229.80540011,0.9589274,0.0098908,1.0650748,0.9953013
2461229.80613064,0.9549312,0.0098957,1.0635623,0.9957925
2461229.80686708,0.9590801,0.0099007,1.0620565,0.9962817
2461229.80759681,0.9642459,0.0099056,1.0605779,0.9967623
2461229.80833365,0.9549464,0.0099104,1.0591198,0.9972365
2461229.80907008,0.9409344,0.0099152,1.0576789,0.9977053
2461229.80980282,0.948855,0.0099199,1.0562582,0.9981677
2461229.81053235,0.9644522,0.0099245,1.0548603,0.998623
2461229.81126868,0.9605828,0.0099291,1.0534825,0.9990719
2461229.81199802,0.9569237,0.0099336,1.0521301,0.9995127
2461229.81273505,0.9619694,0.009938,1.0507849,0.9999513
2461229.81346389,0.9521263,0.0099424,1.0494664,1.0003815
2461229.81420082,0.9588267,0.0099467,1.0481587,1.0008083
2461229.81493746,0.9639817,0.009951,1.0468775,1.0012266
2461229.81566689,0.9581411,0.0099552,1.0456153,1.0016389
2461229.81640402,0.9563595,0.0099593,1.0443715,1.0020453
2461229.81713386,0.961234,0.0099634,1.0431479,1.0024454
2461229.81786969,0.9587959,0.0099674,1.041944,1.0028391
2461229.81859833,0.9644545,0.0099713,1.0407587,1.0032269
2461229.81933426,0.9643541,0.0099752,1.0395917,1.0036088
2461229.8200705,0.9773872,0.009979,1.0384373,1.0039868
2461229.82079953,0.9780585,0.0099828,1.0373073,1.0043569
2461229.82153547,0.980197,0.0099865,1.0361954,1.0047213
2461229.8222648,0.9762617,0.0099901,1.0351011,1.0050799
2461229.82300143,0.9820909,0.0099937,1.0340252,1.0054327
2461229.82373067,0.9698846,0.0099973,1.0329676,1.0057796
2461229.8244669,0.9683551,0.0100007,1.0319281,1.0061207
2461229.82519604,0.9629242,0.0100041,1.0309064,1.0064561
2461229.82593247,0.9763052,0.0100075,1.029898,1.0067872
2461229.82666831,0.982608,0.0100108,1.0289124,1.0071109
2461229.82739734,0.9866987,0.010014,1.0279443,1.007429
2461229.82813367,0.9780997,0.0100172,1.0269937,1.0077414
2461229.82886241,0.9693133,0.0100203,1.0260611,1.008048
2461229.82959834,0.9741172,0.0100234,1.0251415,1.0083504
2461229.83033428,0.9803085,0.0100264,1.0242438,1.0086457
2461229.83106321,0.9759872,0.0100293,1.0233632,1.0089354
2461229.83179925,0.982358,0.0100322,1.0225001,1.0092195
2461229.83253488,0.9834859,0.0100351,1.0216503,1.0094993
2461229.83327071,0.9855492,0.0100379,1.0208177,1.0097735
2461229.83399945,0.9807028,0.0100406,1.0200059,1.0100409
2461229.83473558,0.9872946,0.0100432,1.0192111,1.0103028
2461229.83547162,0.9868259,0.0100459,1.0184296,1.0105604
2461229.83620055,0.9860006,0.0100484,1.017669,1.0108111
2461229.83693619,0.9990939,0.0100509,1.0169254,1.0110563
2461229.83766472,0.9877098,0.0100533,1.0161986,1.011296
2461229.83840025,0.9888918,0.0100557,1.0154882,1.0115304
2461229.83913619,1.0015776,0.0100581,1.0147915,1.0117603
2461229.83986432,0.9917318,0.0100603,1.0141149,1.0119836
2461229.84059996,1.0026853,0.0100625,1.0134548,1.0122015
2461229.84133509,0.9971754,0.0100647,1.0128082,1.012415
2461229.84206323,0.995829,0.0100668,1.0121813,1.0126221
2461229.84279866,0.9922597,0.0100689,1.0115705,1.0128238
2461229.8435342,0.9982981,0.0100709,1.0109732,1.0130212
2461229.84426283,0.9896301,0.0100728,1.0103952,1.0132122
2461229.84499806,0.9918754,0.0100747,1.0098308,1.0133987
2461229.8457336,0.9888374,0.0100766,1.0092852,1.0135791
2461229.84646243,0.9889881,0.0100783,1.008756,1.0137541
2461229.84719747,0.9906173,0.0100801,1.0082431,1.0139237
2461229.8479256,0.9960573,0.0100817,1.0077463,1.014088
2461229.84866083,0.9928216,0.0100833,1.0072655,1.0142471
2461229.84939597,0.9911931,0.0100849,1.0067984,1.0144016
2461229.8501246,0.9888402,0.0100864,1.0063496,1.0145501
2461229.85086004,0.9852175,0.0100879,1.0059168,1.0146934
