#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-2
#EXOPLANET_NAME=TRES-2b
#BINNING=1x1
#EXPOSURE_TIME=6.524
#COMP_STAR-XC=null
#NOTES=Reduced with EXOTIC 4.3.1; 300 images from MicroObservatory 0.4m on 2023-08-17; exposure=6.524s; filter=Astrodon-ExoPlanet-BB
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CBB
#FILTER-XC={"name": "CBB", "desc": "Astrodon ExoPlanet-BB", "fwhm": [{"value": "500.0", "units": "nm"}, {"value": "1000.0", "units": "nm"}]}
#PRIORS=Period=2.470634 +/- 1e-06,Rp/R*=0.121 +/- 0.005,a/R*=7.87 +/- 0.1,inc=88.7 +/- 0.5,ecc=0.0,u0=2.088 +/- 0.017,u1=-3.612 +/- 0.068,u2=3.898 +/- 0.088,u3=-1.374 +/- 0.037
#PRIORS-XC={"Period": {"value": "2.470634", "uncertainty": "1e-06", "units": "days"}, "Rp/R*": {"value": "0.121", "uncertainty": "0.005"}, "a/R*": {"value": "7.87", "uncertainty": "0.1"}, "inc": {"value": "88.7", "uncertainty": "0.5", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.088", "uncertainty": "0.017"}, "u1": {"value": "-3.612", "uncertainty": "0.068"}, "u2": {"value": "3.898", "uncertainty": "0.088"}, "u3": {"value": "-1.374", "uncertainty": "0.037"}}
#RESULTS=Tc=2460173.232 +/- 0.02,Rp/R*=0.005 +/- 0.044,inc=89.61 +/- 1.79,Am1=0.158 +/- 0.054,Am2=1.65 +/- 1.34
#RESULTS-XC={"Tc": {"value": "2460173.232", "uncertainty": "0.02", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.005", "uncertainty": "0.044"}, "inc": {"value": "89.61", "uncertainty": "1.79"}, "Am1": {"value": "0.158", "uncertainty": "0.054"}, "Am2": {"value": "1.65", "uncertainty": "1.34"}, "Duration": {"value": "0.0", "uncertainty": "0.0", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460173.70856146,0.8653752,0.3225592,1.0623396,0.9100436
2460173.70866576,0.5353853,0.3225374,1.0624073,0.910145
2460173.70889766,1.0409386,0.3224954,1.0625376,0.9103402
2460173.70900196,1.0193762,0.322474,1.0626039,0.9104395
2460173.70911786,0.0575016,0.3224517,1.0626731,0.9105432
2460173.70923375,0.9112692,0.3224308,1.0627378,0.9106402
2460173.70934965,1.0500602,0.3224084,1.0628074,0.9107445
2460173.70945395,1.1005302,0.3223858,1.0628773,0.9108493
2460173.70956985,0.9575141,0.3223639,1.0629453,0.9109513
2460173.70968575,1.0495687,0.3223419,1.0630137,0.9110538
2460173.70979005,0.7024287,0.3223198,1.0630822,0.9111566
2460173.71001034,1.1816428,0.3222758,1.0632186,0.9113611
2460173.71012624,1.1330074,0.3222527,1.0632905,0.911469
2460173.71024214,1.2484907,0.3222309,1.0633581,0.9115704
2460173.71046234,1.1890125,0.322184,1.0635037,0.9117889
2460173.71057824,0.8666628,0.3221611,1.0635746,0.9118953
2460173.71068254,1.0201694,0.3221382,1.0636459,0.9120023
2460173.71079844,0.7519243,0.3221159,1.063715,0.912106
2460173.71091433,1.136365,0.3220919,1.0637894,0.9122177
2460173.71101863,1.1777466,0.322068,1.0638636,0.9123291
2460173.71113463,0.9666194,0.3220453,1.0639341,0.912435
2460173.71125053,0.0511936,0.3220211,1.0640094,0.9125481
2460173.71135483,1.0840565,0.3219983,1.0640802,0.9126545
2460173.71147073,0.8923242,0.3219738,1.0641562,0.9127686
2460173.71158663,1.0747609,0.3219508,1.0642276,0.9128759
2460173.71169093,1.1072919,0.3219262,1.0643041,0.9129908
2460173.71180692,0.0296807,0.3219031,1.0643759,0.9130987
2460173.71202712,1.314379,0.3218548,1.064526,0.9133244
2460173.71224732,1.2632991,0.3218045,1.0646822,0.9135592
2460173.71236332,1.1080993,0.3217808,1.0647557,0.9136697
2460173.71247922,1.064969,0.3217555,1.0648344,0.9137881
2460173.71258352,0.9345846,0.3217317,1.0649085,0.9138995
2460173.71269942,0.8178424,0.3217061,1.0649881,0.9140193
2460173.71280371,1.0556457,0.3216819,1.0650631,0.9141321
2460173.71291961,0.9442473,0.3216563,1.0651428,0.914252
2460173.71303551,1.4647163,0.321632,1.0652183,0.9143656
2460173.71313991,1.0393424,0.321606,1.0652991,0.9144872
2460173.71325581,1.4307206,0.3215816,1.0653752,0.9146018
2460173.71337181,1.305879,0.3215536,1.065462,0.9147325
2460173.71348771,0.0469988,0.3215282,1.0655412,0.9148517
2460173.71360361,0.8709196,0.3215026,1.0656207,0.9149714
