BJD,Norm Flux,Norm Err,AM
2460173.70856146,0.8653752,0.322559,1.06
2460173.70866576,0.5353853,0.322537,1.06
2460173.70889766,1.0409386,0.322495,1.06
2460173.70900196,1.0193762,0.322474,1.06
2460173.70911786,0.0575016,0.322452,1.06
2460173.70923375,0.9112692,0.322431,1.06
2460173.70934965,1.0500602,0.322408,1.06
2460173.70945395,1.1005302,0.322386,1.06
2460173.70956985,0.9575141,0.322364,1.06
2460173.70968575,1.0495687,0.322342,1.06
2460173.70979005,0.7024287,0.32232,1.06
2460173.71001034,1.1816428,0.322276,1.06
2460173.71012624,1.1330074,0.322253,1.06
2460173.71024214,1.2484907,0.322231,1.06
2460173.71046234,1.1890125,0.322184,1.06
2460173.71057824,0.8666628,0.322161,1.06
2460173.71068254,1.0201694,0.322138,1.06
2460173.71079844,0.7519243,0.322116,1.06
2460173.71091433,1.136365,0.322092,1.06
2460173.71101863,1.1777466,0.322068,1.06
2460173.71113463,0.9666194,0.322045,1.06
2460173.71125053,0.0511936,0.322021,1.06
2460173.71135483,1.0840565,0.321998,1.06
2460173.71147073,0.8923242,0.321974,1.06
2460173.71158663,1.0747609,0.321951,1.06
2460173.71169093,1.1072919,0.321926,1.06
2460173.71180692,0.0296807,0.321903,1.06
2460173.71202712,1.314379,0.321855,1.06
2460173.71224732,1.2632991,0.321804,1.06
2460173.71236332,1.1080993,0.321781,1.06
2460173.71247922,1.064969,0.321756,1.06
2460173.71258352,0.9345846,0.321732,1.06
2460173.71269942,0.8178424,0.321706,1.06
2460173.71280371,1.0556457,0.321682,1.07
2460173.71291961,0.9442473,0.321656,1.07
2460173.71303551,1.4647163,0.321632,1.07
2460173.71313991,1.0393424,0.321606,1.07
2460173.71325581,1.4307206,0.321582,1.07
2460173.71337181,1.305879,0.321554,1.07
2460173.71348771,0.0469988,0.321528,1.07
2460173.71360361,0.8709196,0.321503,1.07
2460173.7137079,0.7642085,0.321476,1.07
2460173.7138238,0.956543,0.321451,1.07
2460173.7139398,1.1167489,0.321424,1.07
2460173.7140441,1.0580152,0.321399,1.07
2460173.71416,0.7427826,0.321372,1.07
2460173.7142759,1.0310636,0.321345,1.07
2460173.71472799,0.8930942,0.321236,1.07
2460173.71484389,1.0057073,0.321208,1.07
2460173.71495979,1.1469283,0.321181,1.07
2460173.71507569,1.1318549,0.321155,1.07
2460173.71517999,0.9147198,0.321127,1.07
2460173.71529599,1.0444188,0.321101,1.07
2460173.71541189,1.0400468,0.321073,1.07
2460173.71551618,1.1011133,0.321046,1.07
2460173.71563208,1.1472424,0.321018,1.07
2460173.71574798,0.8491466,0.320991,1.07
2460173.71586388,0.9691906,0.320961,1.07
2460173.71609568,1.2771858,0.320904,1.07
2460173.71621168,0.9066333,0.320875,1.07
2460173.71631598,1.0107379,0.320846,1.07
2460173.71643187,1.1179673,0.320819,1.07
2460173.71653627,1.0553435,0.32079,1.07
2460173.71665217,1.5408835,0.320762,1.07
2460173.71676807,1.2078171,0.320733,1.07
2460173.71687237,1.5501941,0.320705,1.07
2460173.71698827,0.0704042,0.320675,1.07
2460173.71710427,0.8408928,0.320646,1.07
2460173.71720857,1.1857933,0.320618,1.07
2460173.71732446,0.6946383,0.320588,1.07
2460173.71744036,1.123804,0.320558,1.07
2460173.71755626,1.3332478,0.32053,1.07
2460173.71767216,1.2547409,0.320498,1.07
2460173.71778806,0.8423148,0.320467,1.07
2460173.71789236,1.0394178,0.320439,1.07
2460173.71800826,1.0126455,0.320409,1.07
2460173.71811266,0.8887023,0.32038,1.07
2460173.71822855,1.3050506,0.320351,1.07
2460173.71834445,0.9666366,0.32032,1.07
2460173.71846035,0.8849182,0.320287,1.07
2460173.71857625,1.0558308,0.320256,1.07
2460173.71869225,0.9532148,0.320227,1.07
2460173.71879645,0.8721057,0.320195,1.07
2460173.71891235,0.013535,0.320164,1.07
2460173.71902835,1.0415224,0.320134,1.07
2460173.71914424,1.0012682,0.320103,1.07
2460173.71924854,0.7923064,0.320071,1.07
2460173.71936444,0.7017789,0.320042,1.07
2460173.71948034,0.0171909,0.32001,1.07
2460173.71970054,1.1511943,0.319946,1.07
2460173.71982814,0.7974737,0.319911,1.07
2460173.71993244,0.6318713,0.319881,1.07
2460173.72004833,0.9842835,0.319849,1.07
2460173.72016423,0.7036796,0.319818,1.07
2460173.72038443,1.1304623,0.319754,1.07
2460173.72050033,1.2520805,0.319722,1.07
2460173.72060473,0.7969172,0.319691,1.07
2460173.72072063,0.9732477,0.319658,1.07
2460173.72082503,0.9210587,0.319627,1.07
2460173.72094092,0.9738249,0.319594,1.07
2460173.72105682,1.3996241,0.319562,1.07
2460173.72116112,0.0160329,0.319529,1.07
2460173.72127702,1.075866,0.319498,1.07
2460173.72139292,1.0365408,0.319462,1.07
2460173.72150882,0.8631788,0.319428,1.07
2460173.72162482,1.1744474,0.319394,1.07
2460173.72172912,1.0240156,0.319362,1.07
2460173.72184501,0.8625781,0.319328,1.07
2460173.72194931,1.0058118,0.319296,1.07
2460173.72206531,1.2118927,0.319262,1.07
2460173.72218111,0.9505837,0.319227,1.07
2460173.72240141,0.8971594,0.319161,1.07
2460173.72251731,0.0255553,0.319128,1.07
2460173.72262161,0.9224102,0.319093,1.07
2460173.7227375,1.0407605,0.31906,1.07
2460173.7228534,0.9353376,0.319025,1.07
2460173.7229578,0.8091182,0.318992,1.07
2460173.7230737,0.844772,0.318957,1.07
2460173.723178,1.0353866,0.318924,1.07
2460173.7232939,1.2511687,0.318889,1.07
2460173.7234098,0.9299134,0.318855,1.07
2460173.7235142,0.7654253,0.31882,1.07
2460173.7236301,0.8316412,0.318786,1.07
2460173.72373439,0.837915,0.31875,1.07
2460173.72385029,0.1046101,0.318716,1.07
2460173.72396619,0.0552575,0.31868,1.07
2460173.72407049,1.1522737,0.318646,1.07
2460173.72418639,1.1385534,0.31861,1.07
2460173.72440659,0.0462026,0.31854,1.07
2460173.72452248,0.8057422,0.318505,1.07
2460173.72462688,0.0783295,0.318469,1.08
2460173.72474288,0.9102099,0.318434,1.08
2460173.72496308,1.040532,0.318361,1.08
2460173.72507908,0.8158826,0.318326,1.08
2460173.72518338,1.2118706,0.31829,1.08
2460173.72529928,1.2408537,0.318253,1.08
2460173.72541518,0.9340464,0.318216,1.08
2460173.72553097,1.0409545,0.318179,1.08
2460173.72563537,0.8216732,0.318143,1.08
2460173.72575127,1.1596918,0.318106,1.08
2460173.72585557,0.8920926,0.318068,1.08
2460173.72597147,1.0036215,0.318032,1.08
2460173.72608737,0.8110109,0.317994,1.08
2460173.72619177,1.2738862,0.317958,1.08
2460173.72630767,0.7907954,0.31792,1.08
2460173.72641196,1.008894,0.317884,1.08
2460173.72652786,1.0734196,0.317845,1.08
2460173.72664376,0.0050843,0.317809,1.08
2460173.72674806,0.0782226,0.31777,1.08
2460173.72697986,0.734991,0.317695,1.08
2460173.72709576,1.0621052,0.317656,1.08
2460173.72720016,0.8464805,0.31762,1.08
2460173.72731605,0.7639419,0.31758,1.08
2460173.72743195,0.8183599,0.317541,1.08
2460173.72753635,0.8173063,0.317504,1.08
2460173.72766385,1.1960698,0.317462,1.08
2460173.72776815,1.1130013,0.317422,1.08
2460173.72788405,0.8021185,0.317385,1.08
2460173.72810425,0.5451298,0.317307,1.08
2460173.72822014,0.9830062,0.317268,1.08
2460173.72832444,1.0154461,0.317229,1.08
2460173.72844034,0.721059,0.31719,1.08
2460173.72855624,1.0984944,0.317149,1.08
2460173.72866064,0.9047514,0.317112,1.08
2460173.72877654,0.9235985,0.317071,1.08
2460173.72888084,1.0572034,0.317033,1.08
2460173.72911263,1.1047604,0.316954,1.08
2460173.72922853,1.2385201,0.316912,1.08
2460173.72944883,0.0357742,0.316832,1.08
2460173.72956473,1.0192108,0.316792,1.08
2460173.72966903,1.6591988,0.31675,1.08
2460173.72979653,1.0823184,0.316706,1.08
2460173.72991243,1.014154,0.316665,1.08
2460173.73001672,0.8669141,0.316625,1.08
2460173.73013262,0.6941538,0.316584,1.08
2460173.73023692,1.1696319,0.316544,1.08
2460173.73035292,1.0254,0.316502,1.08
2460173.73046882,0.7948554,0.316463,1.08
2460173.73057322,1.0244189,0.31642,1.08
2460173.73079342,0.0299026,0.316338,1.08
2460173.73090931,1.2000225,0.316298,1.08
2460173.73101361,1.229345,0.316256,1.08
2460173.73112961,0.9758216,0.316215,1.08
2460173.73124551,1.1819558,0.316173,1.08
2460173.73134981,0.8587454,0.316132,1.08
2460173.73146561,1.375175,0.316089,1.08
2460173.73168581,1.3176422,0.316005,1.08
2460173.7318017,1.1508888,0.315962,1.08
2460173.7319176,1.2164477,0.315918,1.08
2460173.732022,0.1026531,0.315877,1.08
2460173.7321379,1.0214015,0.315834,1.08
2460173.7322538,1.1492007,0.315793,1.08
2460173.7323581,1.379587,0.315749,1.08
2460173.732474,0.827202,0.315707,1.08
2460173.7325784,0.7255045,0.315663,1.08
2460173.73269429,1.1109883,0.31562,1.08
2460173.73291459,1.2854868,0.315533,1.08
2460173.73303049,1.3261867,0.315491,1.08
2460173.73314639,1.0753721,0.315446,1.08
2460173.73325069,0.8818838,0.315404,1.08
2460173.73348259,0.8343282,0.315314,1.09
2460173.73358688,0.9872469,0.315269,1.09
2460173.73370278,0.8763446,0.315227,1.09
2460173.73381868,0.984907,0.315181,1.09
2460173.73392308,0.9680389,0.315139,1.09
2460173.73403908,1.0017498,0.315093,1.09
2460173.73415498,0.9150028,0.315051,1.09
2460173.73425928,1.4217913,0.315005,1.09
2460173.73437518,1.0399629,0.314962,1.09
2460173.73447947,1.0529684,0.314916,1.09
2460173.73459547,1.2103083,0.31487,1.09
2460173.73481567,1.1805189,0.31478,1.09
2460173.73493157,1.1357893,0.314737,1.09
2460173.73504757,0.0287901,0.31469,1.09
2460173.73516347,0.923885,0.314642,1.09
2460173.73527937,1.1495868,0.314597,1.09
2460173.73538366,0.8067075,0.31455,1.09
2460173.73549956,0.8169038,0.314506,1.09
2460173.73560386,1.0206259,0.314459,1.09
2460173.73571976,0.7780313,0.314412,1.09
2460173.73583566,0.7733245,0.314368,1.09
2460173.73593996,0.9196411,0.314321,1.09
2460173.73605596,1.0414827,0.314276,1.09
2460173.73617186,0.9398533,0.314225,1.09
2460173.73629935,0.9934316,0.314172,1.09
2460173.73641525,1.0,0.314127,1.09
2460173.73653115,1.098185,0.314079,1.09
2460173.73663545,1.001699,0.314031,1.09
2460173.73675135,0.7310176,0.313986,1.09
2460173.73685575,1.2180471,0.313938,1.09
2460173.73708755,0.7722456,0.313844,1.09
2460173.73730784,0.8915331,0.31375,1.09
2460173.73742374,1.2834131,0.313701,1.09
2460173.73765554,0.9686348,0.313601,1.09
2460173.73777144,0.8420515,0.313555,1.09
2460173.73787584,1.0483328,0.313506,1.09
2460173.73799174,1.377368,0.313456,1.09
2460173.73810763,0.6918459,0.31341,1.09
2460173.73821193,0.8877981,0.313361,1.09
2460173.73832793,0.9280382,0.313314,1.09
2460173.73844383,0.0716906,0.313264,1.09
2460173.73854813,1.1886182,0.313218,1.09
2460173.73866403,1.0019319,0.313168,1.09
2460173.73876843,1.1048901,0.313119,1.09
2460173.73888433,0.1378822,0.313071,1.09
2460173.73900022,0.9286979,0.313022,1.09
2460173.73910452,1.0430158,0.312973,1.09
2460173.73922042,1.1099569,0.312923,1.09
2460173.73933642,0.6907759,0.312872,1.09
2460173.73944072,1.6320374,0.312825,1.09
2460173.73955662,1.2021765,0.312774,1.09
2460173.73966092,0.0537391,0.312726,1.09
2460173.73989281,0.890807,0.312628,1.09
2460173.73999711,1.163466,0.312576,1.09
2460173.74011311,0.8042989,0.312528,1.09
2460173.74021741,0.8784163,0.312477,1.09
2460173.74044921,1.1161855,0.312377,1.09
2460173.74055351,1.0111407,0.312325,1.09
2460173.7407738,1.1882346,0.312225,1.09
2460173.7408897,0.9203566,0.312176,1.1
2460173.7410056,0.8252649,0.312124,1.1
2460173.7411099,0.909917,0.312072,1.1
2460173.7412258,1.012605,0.312023,1.1
2460173.7413417,0.8540456,0.31197,1.1
2460173.741446,1.0860839,0.311921,1.1
2460173.741562,0.770811,0.311868,1.1
2460173.74167789,0.9707768,0.311812,1.1
2460173.74179379,0.7920727,0.311761,1.1
2460173.74190969,0.9719226,0.31171,1.1
2460173.74202559,1.0263507,0.311656,1.1
2460173.74212989,1.0836029,0.311603,1.1
