#TYPE=EXOPLANET
#OBSCODE=anonymous-observer
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=CoRoT-2
#EXOPLANET_NAME=CoRoT-2 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": null, "dec": null, "x": "260.0", "y": "150.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Cecilia (Whipple Observatory; Center for Astrophysics | Harvard-Smithsonian); camera type=CCD; first image=CoRoT-2260802055836.FITS; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=1.742998455 +/- 4e-08,Rp/R*=0.1795 +/- 0.0011,a/R*=6.7 +/- 0.03,inc=87.84 +/- 0.1,ecc=0.0,u0=2.006 +/- 0.017,u1=-3.643 +/- 0.069,u2=4.166 +/- 0.091,u3=-1.529 +/- 0.039
#PRIORS-XC={"Period": {"value": "1.742998455", "uncertainty": "4e-08", "units": "days"}, "Rp/R*": {"value": "0.1795", "uncertainty": "0.0011"}, "a/R*": {"value": "6.7", "uncertainty": "0.03"}, "inc": {"value": "87.84", "uncertainty": "0.1", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.006", "uncertainty": "0.017"}, "u1": {"value": "-3.643", "uncertainty": "0.069"}, "u2": {"value": "4.166", "uncertainty": "0.091"}, "u3": {"value": "-1.529", "uncertainty": "0.039"}}
#RESULTS=Tc=2461254.8503 +/- 0.0034,Rp/R*=0.224 +/- 0.049,inc=84.84 +/- 1.96,Am1=3.34 +/- 0.81,Am2=-1.015 +/- 0.08
#RESULTS-XC={"Tc": {"value": "2461254.8503", "uncertainty": "0.0034", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.224", "uncertainty": "0.049"}, "inc": {"value": "84.84", "uncertainty": "1.96"}, "Am1": {"value": "3.34", "uncertainty": "0.81"}, "Am2": {"value": "-1.015", "uncertainty": "0.08"}, "Duration": {"value": "0.085", "uncertainty": "0.015", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461254.7553992,1.011586,0.1117534,1.1586315,1.0313168
2461254.7566161,0.9962631,0.1117931,1.1582768,1.0316883
2461254.75863354,1.0163918,0.1118406,1.1578518,1.0321335
2461254.76073169,0.9528425,0.1118683,1.1576042,1.0323929
2461254.76279716,0.9993567,0.1118749,1.1575453,1.0324547
2461254.76488586,1.0279162,0.1118577,1.1576985,1.0322941
2461254.76696109,0.974777,0.1118208,1.1580288,1.0319481
2461254.76904958,0.9989558,0.11176,1.1585723,1.0313788
2461254.77112764,1.0197117,0.111678,1.159307,1.0306098
2461254.7732288,1.04055,0.1115731,1.1602463,1.0296274
2461254.77529542,1.0154163,0.1114479,1.1613689,1.0284546
2461254.77739378,1.0325222,0.1112995,1.1627014,1.0270643
2461254.77945986,0.9949567,0.111129,1.164235,1.0254664
2461254.78155018,0.9869674,0.1109359,1.1659736,1.023658
2461254.78362622,1.0184198,0.1107228,1.1678968,1.0216613
2461254.78571486,0.981796,0.1104851,1.1700459,1.0194347
2461254.78780356,1.0425916,0.1102251,1.1724016,1.0169996
2461254.78988196,0.9833178,0.1099439,1.1749566,1.014365
2461254.79196005,1.0,0.1096408,1.1777165,1.0115268
2461254.79404673,1.0295404,0.1093128,1.1807133,1.0084539
2461254.79613482,1.0037821,0.1089633,1.1839152,1.0051811
2461254.7982234,1.0009362,0.1085905,1.1873421,1.0016901
2461254.80029912,1.0489898,0.1081968,1.1909748,0.9980026
2461254.80239861,1.0699501,0.1077756,1.194875,0.9940588
2461254.80446264,1.0283627,0.1073382,1.1989419,0.989963
2461254.80655087,0.9610365,0.1068736,1.2032795,0.9856131
2461254.80862676,1.0403709,0.1063872,1.2078413,0.981059
2461254.81071466,1.0420199,0.1058768,1.2126505,0.9762807
2461254.81280273,1.0105845,0.1053433,1.2177021,0.9712867
2461254.81487887,1.0030973,0.1047861,1.2230057,0.9660709
2461254.81697859,1.0399812,0.1042044,1.2285717,0.9606273
2461254.81905503,1.0118801,0.1035994,1.2343953,0.9549646
2461254.82113082,1.0345321,0.1029702,1.2404872,0.9490767
2461254.8232193,1.0219018,0.1023178,1.2468425,0.9429728
2461254.82738325,1.0076814,0.1009395,1.2604049,0.9300781
2461254.82945921,0.9710019,0.1002139,1.2676194,0.9232908
2461254.83154633,0.9576842,0.0994625,1.2751453,0.9162633
2461254.83363481,0.9122946,0.0986865,1.2829783,0.9090057
2461254.83571137,0.7397165,0.0978869,1.2911137,0.901529
2461254.83779868,0.3363987,0.0970614,1.299583,0.8938106
2461254.84196342,0.8790934,0.0953335,1.3175451,0.8776591
2461254.84405234,1.0269177,0.0944318,1.3270486,0.869232
2461254.8461303,0.9440714,0.0935054,1.3369072,0.8605754
2461254.84823053,0.9547978,0.0925459,1.3472218,0.8516109
