#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-69
#EXOPLANET_NAME=WASP-69 b
#BINNING=1x1
#EXPOSURE_TIME=12.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=lsc0m492-sq35-20250924-0402-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=V
#FILTER-XC={"name": "V", "desc": "Johnson V", "fwhm": [{"value": "502.8", "units": "nm"}, {"value": "586.8", "units": "nm"}]}
#PRIORS=Period=3.86813881 +/- 1.3e-07,Rp/R*=0.13138 +/- 0.00029,a/R*=12.17 +/- 0.07,inc=86.79 +/- 0.04,ecc=0.0,u0=1.3593 +/- 0.0086,u1=-2.27 +/- 0.035,u2=2.901 +/- 0.047,u3=-0.99 +/- 0.02
#PRIORS-XC={"Period": {"value": "3.86813881", "uncertainty": "1.3e-07", "units": "days"}, "Rp/R*": {"value": "0.13138", "uncertainty": "0.00029"}, "a/R*": {"value": "12.17", "uncertainty": "0.07"}, "inc": {"value": "86.79", "uncertainty": "0.04", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.3593", "uncertainty": "0.0086"}, "u1": {"value": "-2.27", "uncertainty": "0.035"}, "u2": {"value": "2.901", "uncertainty": "0.047"}, "u3": {"value": "-0.99", "uncertainty": "0.02"}}
#RESULTS=Tc=2460939.8725 +/- 0.0061,Rp/R*=0.031 +/- 0.047,inc=83.58 +/- 2.39,Am1=0.142 +/- 0.023,Am2=1.74 +/- 0.84
#RESULTS-XC={"Tc": {"value": "2460939.8725", "uncertainty": "0.0061", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.031", "uncertainty": "0.047"}, "inc": {"value": "83.58", "uncertainty": "2.39"}, "Am1": {"value": "0.142", "uncertainty": "0.023"}, "Am2": {"value": "1.74", "uncertainty": "0.84"}, "Duration": {"value": "0.0", "uncertainty": "0.0", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460943.55443504,0.9599191,0.161769,1.1074765,0.9788402
2460943.55461023,0.7520111,0.1617696,1.1073958,0.9787024
2460943.55477262,0.8399517,0.1617702,1.1073158,0.9785659
2460943.5549473,0.8422849,0.1617708,1.1072375,0.9784322
2460943.55511339,1.2784598,0.1617715,1.1071578,0.9782962
2460943.55528248,0.777542,0.1617721,1.107083,0.9781686
2460943.55545637,0.9205214,0.1617726,1.1070109,0.9780456
2460943.55561926,0.6790945,0.1617732,1.106937,0.9779195
2460943.55579314,0.8881742,0.1617738,1.1068659,0.9777983
2460943.55595653,0.6304223,0.1617743,1.1067953,0.9776779
2460943.55612952,0.8766318,0.1617749,1.1067272,0.9775617
2460943.55629181,0.8494637,0.1617754,1.1066567,0.9774415
2460943.5564657,0.8005669,0.1617759,1.1065913,0.9773301
2460943.55662929,0.6216507,0.1617765,1.1065256,0.9772181
2460943.55680357,0.8718493,0.161777,1.1064576,0.9771022
2460943.55696846,0.7578029,0.1617775,1.1063939,0.9769936
2460943.55714405,1.0943492,0.161778,1.1063322,0.9768885
2460943.55730634,1.1449052,0.1617785,1.1062725,0.9767868
2460943.55748222,1.1113018,0.161779,1.1062089,0.9766784
2460943.55764581,1.0,0.1617794,1.1061508,0.9765794
2460943.5578196,0.7444832,0.1617799,1.1060946,0.9764837
2460943.55798189,1.2979908,0.1617803,1.1060397,0.9763902
2460943.55815578,0.9120739,0.1617807,1.1059834,0.9762944
2460943.55832446,0.9426573,0.1617812,1.1059289,0.9762016
2460943.55849225,1.0301577,0.1617816,1.1058754,0.9761105
2460943.55865464,0.9877326,0.161782,1.1058249,0.9760245
2460943.55882853,0.6674111,0.1617824,1.1057732,0.9759365
2460943.55899352,1.0488018,0.1617828,1.1057243,0.9758532
2460943.55916741,1.0066385,0.1617832,1.1056763,0.9757715
2460943.55933019,0.909575,0.1617835,1.1056291,0.9756912
2460943.55950638,1.0734533,0.1617839,1.1055834,0.9756135
2460943.55967067,1.289651,0.1617843,1.1055389,0.9755377
2460943.55984516,0.9841581,0.1617846,1.1054943,0.9754618
2460943.56000745,1.0715518,0.1617849,1.1054533,0.9753921
2460943.56017663,0.9009496,0.1617853,1.1054114,0.9753208
2460943.56035142,1.0977735,0.1617856,1.105372,0.9752538
2460943.56051551,1.1939108,0.1617859,1.105333,0.9751875
2460943.5606894,0.9673272,0.1617862,1.1052965,0.9751254
2460943.56086329,0.7506401,0.1617865,1.1052595,0.9750624
2460943.56120506,0.892559,0.161787,1.1051885,0.9749417
2460943.56136875,0.873111,0.1617873,1.1051555,0.9748856
2460943.56154694,1.180001,0.1617875,1.1051241,0.9748322
2460943.56171802,1.0737632,0.1617878,1.1050932,0.9747797
2460943.56189191,0.8102733,0.161788,1.1050638,0.9747297
2460943.5620658,1.01964,0.1617882,1.1050355,0.9746816
2460943.56222809,1.232594,0.1617884,1.1050089,0.9746363
2460943.56240238,1.0503111,0.1617886,1.1049832,0.9745927
2460943.56257666,0.8678251,0.1617888,1.1049589,0.9745513
2460943.56274835,1.1335116,0.161789,1.1049361,0.9745126
2460943.56291254,1.1942344,0.1617892,1.104914,0.974475
2460943.56307683,0.7734098,0.1617893,1.1048941,0.9744412
2460943.56325072,0.8637458,0.1617895,1.1048752,0.9744091
2460943.5634131,0.8377202,0.1617896,1.1048563,0.974377
2460943.56358699,0.8845696,0.1617898,1.1048396,0.9743486
2460943.56374928,1.0005204,0.1617899,1.1048241,0.9743222
2460943.56392317,1.1650738,0.16179,1.1048095,0.9742974
2460943.56409076,1.1298126,0.1617901,1.1047958,0.9742742
2460943.56425345,1.1048428,0.1617902,1.1047841,0.9742543
2460943.56441763,1.0074231,0.1617903,1.1047727,0.9742349
2460943.56459402,0.7937033,0.1617904,1.104763,0.9742184
2460943.56475631,0.8429844,0.1617904,1.1047539,0.974203
2460943.5649303,1.0787712,0.1617905,1.1047466,0.9741905
2460943.56509289,1.034408,0.1617906,1.1047404,0.97418
2460943.56525527,0.8982099,0.1617906,1.1047352,0.9741712
2460943.56543256,0.8206051,0.1617906,1.104731,0.974164
2460943.56560695,0.932715,0.1617906,1.1047284,0.9741596
2460943.56577134,0.9937088,0.1617907,1.1047267,0.9741567
2460943.56594523,0.8875055,0.1617907,1.1047265,0.9741564
2460943.56611911,1.1874809,0.1617907,1.1047271,0.9741574
2460943.566293,1.0262525,0.1617906,1.1047292,0.974161
2460943.56646689,0.9058362,0.1617906,1.1047324,0.9741664
2460943.56664078,0.9200788,0.1617906,1.104737,0.9741742
2460943.56681466,0.808906,0.1617905,1.1047429,0.9741843
2460943.56698095,1.3604187,0.1617905,1.1047499,0.9741962
2460943.56715694,1.0753375,0.1617904,1.1047578,0.9742096
2460943.56732403,1.036064,0.1617903,1.1047676,0.9742262
2460943.56749832,0.9219138,0.1617903,1.104778,0.9742439
2460943.5676652,1.2562413,0.1617902,1.1047899,0.9742641
2460943.56783939,0.9259509,0.1617901,1.104803,0.9742864
2460943.56801318,0.9036785,0.1617899,1.1048174,0.9743109
2460943.56817547,1.0397201,0.1617898,1.1048331,0.9743375
2460943.56834936,0.9640615,0.1617897,1.1048498,0.9743659
2460943.56851754,1.163962,0.1617895,1.1048676,0.9743962
2460943.56869643,1.005734,0.1617894,1.1048867,0.9744286
2460943.56885882,0.9066731,0.1617892,1.1049072,0.9744635
2460943.56903471,0.9974389,0.1617891,1.1049292,0.9745009
2460943.56920859,1.0828634,0.1617889,1.1049519,0.9745395
2460943.56938278,0.8270912,0.1617887,1.1049765,0.9745813
2460943.56955667,0.9273268,0.1617885,1.1050023,0.9746251
2460943.56971896,1.1834917,0.1617883,1.1050284,0.9746695
2460943.56989305,1.0946913,0.1617881,1.1050562,0.9747168
2460943.57006693,0.7608735,0.1617878,1.1050842,0.9747644
2460943.57023212,0.5890886,0.1617876,1.1051151,0.9748169
2460943.57040901,0.8718799,0.1617874,1.1051462,0.9748698
2460943.5705829,1.0238536,0.1617871,1.1051801,0.9749274
2460943.57074929,0.9109355,0.1617868,1.1052132,0.9749837
2460943.57092857,1.0334064,0.1617865,1.1052484,0.9750436
2460943.57109086,1.0192741,0.1617863,1.1052837,0.9751036
2460943.57126475,0.8495757,0.161786,1.105321,0.975167
2460943.57142794,1.0418947,0.1617857,1.10536,0.9752334
2460943.57160262,0.7955997,0.1617853,1.1054001,0.9753016
2460943.57176731,1.0122081,0.161785,1.1054399,0.9753693
2460943.5719371,0.9019776,0.1617847,1.1054823,0.9754414
2460943.57211619,0.9004914,0.1617844,1.1055261,0.975516
2460943.57227848,1.0287771,0.161784,1.1055692,0.9755893
2460943.57245326,0.7159059,0.1617836,1.1056164,0.9756696
2460943.57261955,1.2190415,0.1617833,1.1056628,0.9757486
2460943.57278404,0.8898474,0.1617829,1.1057101,0.9758291
2460943.57312252,1.4349396,0.1617821,1.105809,0.9759974
2460943.5733014,1.1710138,0.1617817,1.1058612,0.9760863
2460943.57346379,1.1482492,0.1617813,1.1059148,0.9761775
2460943.57364008,0.880956,0.1617809,1.1059681,0.9762683
2460943.57380437,1.1280108,0.1617804,1.1060216,0.9763594
2460943.57396886,0.7408474,0.16178,1.1060796,0.9764582
2460943.57414274,0.8910622,0.1617795,1.1061362,0.9765546
2460943.57430503,0.9845465,0.1617791,1.1061937,0.9766525
2460943.57447902,1.0830746,0.1617786,1.1062552,0.9767573
2460943.57465511,0.880749,0.1617781,1.1063179,0.9768641
2460943.5748246,1.0708517,0.1617776,1.1063782,0.9769669
2460943.57499848,0.8860385,0.1617771,1.1064439,0.9770788
2460943.57516187,0.9820949,0.1617766,1.1065071,0.9771865
2460943.57532406,1.0299768,0.1617761,1.1065725,0.977298
2460943.57551325,0.6846307,0.1617755,1.1066469,0.9774248
2460943.57568723,0.9601894,0.161775,1.1067149,0.9775408
2460943.57585252,1.0712848,0.1617744,1.1067838,0.9776583
2460943.57602791,1.099609,0.1617739,1.1068561,0.9777816
2460943.5761907,0.9047207,0.1617733,1.1069295,0.9779067
2460943.57636939,0.8762301,0.1617727,1.107002,0.9780304
2460943.57653297,1.3034829,0.1617721,1.1070756,0.978156
2460943.57669526,0.7528962,0.1617715,1.1071531,0.9782882
2460943.57686925,0.5875687,0.1617709,1.1072282,0.9784163
2460943.57703374,0.8321931,0.1617703,1.1073058,0.9785488
2460943.57721323,1.1294352,0.1617697,1.1073874,0.9786881
2460943.57737552,0.8353453,0.161769,1.1074691,0.9788275
2460943.5775493,1.1044702,0.1617684,1.1075505,0.9789665
2460943.57772339,1.1584624,0.1617677,1.1076346,0.9791101
2460943.57788678,1.1816785,0.1617671,1.1077175,0.9792517
2460943.57806547,1.0778044,0.1617663,1.1078092,0.9794084
2460943.57824015,0.9531484,0.1617656,1.1078978,0.9795597
2460943.57840344,0.9702355,0.161765,1.1079836,0.9797063
2460943.57856843,1.1555912,0.1617643,1.1080696,0.9798533
