#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=DSLR
#STAR_NAME=WASP-183
#EXOPLANET_NAME=WASP-183 b
#BINNING=1x1
#EXPOSURE_TIME=70.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=DSLR; first image=ogg0m463-sq40-20250329-0122-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "Clear (unfiltered) reduced to V sequence", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=4.1117634 +/- 5.1e-06,Rp/R*=0.15 +/- 0.015,a/R*=11.44 +/- 0.54,inc=85.37 +/- 0.73,ecc=0.0,u0=1.902 +/- 0.017,u1=-3.328 +/- 0.068,u2=3.826 +/- 0.089,u3=-1.4 +/- 0.038
#PRIORS-XC={"Period": {"value": "4.1117634", "uncertainty": "5.1e-06", "units": "days"}, "Rp/R*": {"value": "0.15", "uncertainty": "0.015"}, "a/R*": {"value": "11.44", "uncertainty": "0.54"}, "inc": {"value": "85.37", "uncertainty": "0.73", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.902", "uncertainty": "0.017"}, "u1": {"value": "-3.328", "uncertainty": "0.068"}, "u2": {"value": "3.826", "uncertainty": "0.089"}, "u3": {"value": "-1.4", "uncertainty": "0.038"}}
#RESULTS=Tc=2460764.838 +/- 0.037,Rp/R*=0.179 +/- 0.053,inc=86.03 +/- 2.7,Am1=0.83 +/- 0.19,Am2=0.2 +/- 0.34
#RESULTS-XC={"Tc": {"value": "2460764.838", "uncertainty": "0.037", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.179", "uncertainty": "0.053"}, "inc": {"value": "86.03", "uncertainty": "2.7"}, "Am1": {"value": "0.83", "uncertainty": "0.19"}, "Am2": {"value": "0.2", "uncertainty": "0.34"}, "Duration": {"value": "0.059", "uncertainty": "0.044", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460764.80829057,0.91265,0.1866013,1.1727018,1.042221
2460764.80913664,1.443568,0.186758,1.1700067,1.0416715
2460764.80997121,1.2855382,0.1869122,1.1673561,1.0411313
2460764.81166344,1.020062,0.1872124,1.1622002,1.0400814
2460764.81250951,0.8051256,0.1873585,1.1596944,1.0395715
2460764.81339038,1.4391203,0.1875112,1.1570776,1.0390393
2460764.81423704,0.8905571,0.187653,1.1546503,1.0385459
2460764.81591918,1.0759324,0.1879293,1.1499242,1.0375858
2460764.81676585,1.0,0.1880628,1.1476435,1.0371229
2460764.81760112,1.1761382,0.1881951,1.1453847,1.0366645
2460764.81844798,0.9192645,0.1883251,1.1431664,1.0362146
2460764.81929485,1.1013498,0.1884529,1.1409883,1.035773
2460764.82013012,0.8960788,0.1885778,1.1388592,1.0353416
2460764.82097689,0.9102161,0.1887004,1.1367712,1.0349186
2460764.82181215,1.1524288,0.1888211,1.1347178,1.0345028
2460764.82265892,1.2953571,0.1889398,1.1326994,1.0340943
2460764.82349409,0.9371875,0.1890556,1.1307307,1.033696
2460764.82434096,0.8253904,0.1891698,1.1287925,1.033304
2460764.82518782,1.0933309,0.1892815,1.1268959,1.0329206
2460764.82602299,0.9582459,0.1893912,1.1250341,1.0325443
2460764.82686986,0.8932877,0.1894988,1.1232102,1.0321759
2460764.82770513,0.8910076,0.1896041,1.1214266,1.0318157
2460764.82855269,0.961135,0.1897074,1.1196771,1.0314625
2460764.82939876,1.2552835,0.1898088,1.1179603,1.031116
2460764.83026803,0.9093672,0.1899112,1.116228,1.0307665
2460764.8311141,1.3419509,0.1900081,1.114589,1.030436
2460764.83194856,1.1862448,0.1901021,1.1130012,1.0301158
2460764.83279463,1.095215,0.1901947,1.1114357,1.0298003
2460764.8336292,0.8062738,0.1902846,1.1099181,1.0294945
2460764.83447527,1.0235433,0.1903732,1.1084233,1.0291934
2460764.83530973,1.3730496,0.1904597,1.106965,1.0288998
2460764.8361558,0.6639199,0.1905441,1.105541,1.0286131
2460764.83700187,1.046299,0.1906259,1.1041629,1.0283357
2460764.83783634,0.9880379,0.1907063,1.1028078,1.0280631
2460764.8386824,0.5912537,0.1907847,1.1014873,1.0277974
2460764.83952867,0.9051917,0.1908611,1.1002017,1.0275389
2460764.84036314,1.1325888,0.1909355,1.0989498,1.0272872
2460764.84120931,0.7851394,0.1910079,1.0977325,1.0270425
2460764.84210177,1.1868771,0.1910824,1.0964801,1.0267908
2460764.84293694,0.6358196,0.1911507,1.0953318,1.0265601
2460764.84378391,1.0198964,0.1912171,1.0942167,1.0263361
2460764.84463067,0.869828,0.1912815,1.0931352,1.026119
