#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=MOBS
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=TrES-1
#EXOPLANET_NAME=TrES-1 b
#BINNING=2x2
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": "286.103081414", "dec": "36.7056601835", "x": "192.0", "y": "150.0"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=Cecilia (Whipple Observatory; Center for Astrophysics | Harvard-Smithsonian); camera type=CCD; first image=TRES-1260803065251.FITS; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "MObs CV", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=3.030069476 +/- 7.2e-08,Rp/R*=0.14763 +/- 0.00028,a/R*=10.52 +/- 0.06,inc=90.0 +/- 0.1,ecc=0.012,u0=1.906 +/- 0.015,u1=-3.368 +/- 0.06,u2=3.835 +/- 0.079,u3=-1.372 +/- 0.034
#PRIORS-XC={"Period": {"value": "3.030069476", "uncertainty": "7.2e-08", "units": "days"}, "Rp/R*": {"value": "0.14763", "uncertainty": "0.00028"}, "a/R*": {"value": "10.52", "uncertainty": "0.06"}, "inc": {"value": "90.0", "uncertainty": "0.1", "units": "degrees"}, "ecc": {"value": "0.012", "uncertainty": null}, "u0": {"value": "1.906", "uncertainty": "0.015"}, "u1": {"value": "-3.368", "uncertainty": "0.06"}, "u2": {"value": "3.835", "uncertainty": "0.079"}, "u3": {"value": "-1.372", "uncertainty": "0.034"}}
#RESULTS=Tc=2461255.8866 +/- 0.0034,Rp/R*=0.184 +/- 0.054,inc=87.4 +/- 1.43,Am1=0.99 +/- 0.19,Am2=0.025 +/- 0.093
#RESULTS-XC={"Tc": {"value": "2461255.8866", "uncertainty": "0.0034", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.184", "uncertainty": "0.054"}, "inc": {"value": "87.4", "uncertainty": "1.43"}, "Am1": {"value": "0.99", "uncertainty": "0.19"}, "Am2": {"value": "0.025", "uncertainty": "0.093"}, "Duration": {"value": "0.095", "uncertainty": "0.017", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461255.79080258,1.0355488,0.4097691,1.0383628,1.0197352
2461255.79409991,0.9792543,0.4096502,1.043246,1.0198614
2461255.79753754,1.2270484,0.4095172,1.0487082,1.0200026
2461255.8011297,0.9107709,0.4093683,1.0548254,1.0201608
2461255.80234703,1.0498771,0.409315,1.0570187,1.0202175
2461255.80355324,1.0299844,0.4092614,1.0592221,1.0202745
2461255.80477075,1.0700458,0.4092061,1.0614932,1.0203332
2461255.80597641,1.010569,0.4091495,1.0638201,1.0203934
2461255.80719303,0.9962421,0.4090918,1.0661968,1.0204549
2461255.80844672,0.9398266,0.409031,1.0686942,1.0205195
2461255.81052401,0.9432665,0.4089268,1.0729814,1.0206304
2461255.81261247,0.9686811,0.4088187,1.077429,1.0207455
2461255.81471234,1.0352383,0.4087061,1.0820639,1.0208654
2461255.81677965,0.981858,0.4085908,1.0868118,1.0209883
2461255.8188797,1.0154744,0.4084702,1.0917794,1.0211169
2461255.82094558,1.0055714,0.408347,1.096855,1.0212482
2461255.82303427,1.0300255,0.4082187,1.1021433,1.0213851
2461255.82512173,1.0,0.4080864,1.1075968,1.0215264
2461255.82719784,0.982846,0.4079496,1.1132376,1.0216724
2461255.8292867,0.9885494,0.4078084,1.1190608,1.0218233
2461255.83137406,0.9967093,0.4076628,1.1250704,1.0219789
2461255.83346227,0.9984156,0.4075115,1.1313127,1.0221406
2461255.83552804,0.975026,0.4073577,1.1376669,1.0223053
2461255.83761615,1.0447513,0.4071977,1.1442741,1.0224765
2461255.83969467,1.03388,0.4070331,1.1510758,1.0226528
2461255.84178295,1.0184595,0.4068635,1.1580878,1.0228346
2461255.84385915,1.0286283,0.40669,1.165267,1.0230208
2461255.84594845,1.0127206,0.4065088,1.172765,1.0232152
2461255.84803612,1.0158705,0.4063236,1.1804289,1.023414
2461255.85011381,1.0230084,0.4061327,1.1883389,1.0236193
2461255.85219201,1.023383,0.4059363,1.1964754,1.0238304
2461255.85428095,0.9952872,0.4057341,1.204858,1.024048
2461255.85635835,1.0203673,0.4055259,1.2134938,1.0242722
2461255.85844814,1.0185266,0.4053119,1.2223751,1.0245028
2461255.86053481,0.9835394,0.4050916,1.231524,1.0247404
2461255.8626103,1.0118434,0.4048647,1.2409484,1.0249853
2461255.86469858,0.9970503,0.4046312,1.2506568,1.0252375
2461255.86677565,0.9997811,0.4043911,1.2606413,1.0254971
2461255.86886502,0.9929137,0.4041444,1.2709095,1.025764
2461255.87093973,0.9636861,0.4038917,1.2814338,1.0260377
2461255.87302847,1.1512235,0.4036288,1.2923857,1.0263226
2461255.87511655,0.9722967,0.4033596,1.3036144,1.0266148
2461255.89178456,0.4604551,0.4009057,1.4062837,1.02929
2461255.92927787,1.108709,0.3927115,1.7537342,1.0383955
2461255.94179417,1.9213906,0.3887452,1.9245255,1.0429008
2461255.95844277,1.9198957,0.3819627,2.2206597,1.0507589
2461255.96053238,0.7067826,0.3809598,2.2648953,1.0519378
2461255.96260857,0.9421833,0.3799176,2.3109886,1.0531676
2461255.96469564,1.0122279,0.3788318,2.3591399,1.0544539
2461255.96677264,0.9325627,0.3777062,2.4092068,1.055793
2461255.96886117,0.8931479,0.3765213,2.4620684,1.0572087
2461255.97095031,0.9200369,0.3752909,2.5171415,1.0586856
2461255.97302543,0.972958,0.3740076,2.5747697,1.0602333
2461255.97512403,0.9391606,0.3726659,2.6352384,1.0618596
2461255.97719948,0.8848692,0.3712617,2.698755,1.0635707
