#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-36
#EXOPLANET_NAME=HAT-P-36 b
#BINNING=1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": null, "dec": null, "x": "1128", "y": "1291"}
#NOTES=LCOGT 0m4-15 (McDonald Observatory), QHY600M CCD camera, SDSS-rp filter, 60s exposure, 2400x2400 image, 0.74 arcsec/pixel. 242 frames observed. No calibration frames available. Pixel scale validated from FITS WCS: 0.736 arcsec/pixel.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=N/A
#FILTER-XC={"name": "N/A", "desc": "Custom", "fwhm": [{"value": "600.0", "units": "nm"}, {"value": "700.0", "units": "nm"}]}
#PRIORS=Period=3.353891 +/- 1e-06,Rp/R*=0.1184 +/- 0.003,a/R*=8.44 +/- 0.2,inc=88.57 +/- 0.3,ecc=0.0,u0=2.316 +/- 0.021,u1=-4.124 +/- 0.083,u2=4.38 +/- 0.11,u3=-1.577 +/- 0.044
#PRIORS-XC={"Period": {"value": "3.353891", "uncertainty": "1e-06", "units": "days"}, "Rp/R*": {"value": "0.1184", "uncertainty": "0.003"}, "a/R*": {"value": "8.44", "uncertainty": "0.2"}, "inc": {"value": "88.57", "uncertainty": "0.3", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "2.316", "uncertainty": "0.021"}, "u1": {"value": "-4.124", "uncertainty": "0.083"}, "u2": {"value": "4.38", "uncertainty": "0.11"}, "u3": {"value": "-1.577", "uncertainty": "0.044"}}
#RESULTS=Tc=2461116.593 +/- 0.038,Rp/R*=0.002 +/- 0.043,inc=85.25 +/- 1.86,Am1=0.9187 +/- 0.0076,Am2=0.0786 +/- 0.0099
#RESULTS-XC={"Tc": {"value": "2461116.593", "uncertainty": "0.038", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.002", "uncertainty": "0.043"}, "inc": {"value": "85.25", "uncertainty": "1.86"}, "Am1": {"value": "0.9187", "uncertainty": "0.0076"}, "Am2": {"value": "0.0786", "uncertainty": "0.0099"}, "Duration": {"value": "0.084", "uncertainty": "0.087", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461118.71267898,1.0088032,0.0094482,1.217753,1.0109106
2461118.71339767,1.0131723,0.0094482,1.2150864,1.0106988
2461118.71412796,1.0110883,0.0094482,1.2124182,1.010487
2461118.71484655,1.0124654,0.0094482,1.2098009,1.0102792
2461118.71556523,1.0057939,0.0094482,1.2071848,1.0100716
2461118.71629552,1.0049728,0.0094482,1.2046212,1.0098681
2461118.71701421,1.0117368,0.0094482,1.2020575,1.0096647
2461118.7177329,1.0039729,0.0094482,1.1995432,1.0094653
2461118.71846309,1.0118762,0.0094482,1.1970171,1.009265
2461118.71919338,1.0124499,0.0094482,1.194527,1.0090675
2461118.71991207,1.0114453,0.0094482,1.1920736,1.008873
2461118.72136105,1.0092673,0.0094482,1.1872383,1.0084898
2461118.72207974,1.0049035,0.0094482,1.1848438,1.0083001
2461118.72279843,1.0069594,0.0094482,1.1824961,1.0081142
2461118.72352862,1.0114535,0.0094482,1.180161,1.0079292
2461118.72424721,1.0140672,0.0094481,1.1778501,1.0077462
2461118.7249658,1.01485,0.0094481,1.1755514,1.0075642
2461118.72569598,1.0109996,0.0094481,1.1732976,1.0073858
2461118.72713336,1.0033106,0.0094481,1.1688251,1.0070319
2461118.72786355,1.0028236,0.0094481,1.1666283,1.0068581
2461118.72858224,1.0095102,0.0094481,1.1644431,1.0066852
2461118.72930093,1.0033669,0.0094481,1.1623005,1.0065158
2461118.73001962,1.008028,0.0094481,1.1601692,1.0063473
2461118.73074991,1.0144819,0.0094481,1.158059,1.0061804
2461118.7314688,1.0063781,0.0094481,1.1559612,1.0060146
2461118.73219909,1.003036,0.0094481,1.1538962,1.0058514
2461118.73291778,1.0075111,0.0094481,1.1518423,1.0056891
2461118.73363657,1.0131862,0.0094481,1.1498189,1.0055292
2461118.73436675,0.9948337,0.0094481,1.1478067,1.0053703
2461118.73508544,1.0115814,0.0094481,1.1458264,1.0052138
2461118.73580403,1.0016853,0.0094481,1.1438656,1.005059
2461118.73653422,1.008394,0.0094481,1.1419158,1.004905
2461118.73725291,1.0018245,0.0094481,1.1400048,1.0047542
2461118.7379715,1.004509,0.009448,1.1380956,1.0046035
2461118.73870169,0.9977529,0.009448,1.1362158,1.0044551
2461118.73942028,1.0071941,0.009448,1.1343562,1.0043083
2461118.74013887,0.9998686,0.009448,1.132508,1.0041625
2461118.74086916,1.0137166,0.009448,1.1306972,1.0040197
2461118.74158775,1.0006607,0.009448,1.1288884,1.003877
2461118.74230654,1.0034987,0.009448,1.1271081,1.0037366
2461118.74302512,1.0030266,0.009448,1.1253474,1.0035977
2461118.74375541,1.006341,0.009448,1.1236065,1.0034605
2461118.744474,1.0008677,0.009448,1.1218844,1.0033247
2461118.74519269,0.9964353,0.009448,1.1201818,1.0031905
