#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=KELT-16
#EXOPLANET_NAME=KELT-16 b
#BINNING=1x1
#EXPOSURE_TIME=61.0
#COMP_STAR-XC={"ra": "314.290366702", "dec": "31.6419414133", "x": "1108.4", "y": "1114.3"}
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=elp0m473-sq46-20260707-0120-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=V
#FILTER-XC={"name": "V", "desc": "Johnson V", "fwhm": [{"value": "502.8", "units": "nm"}, {"value": "586.8", "units": "nm"}]}
#PRIORS=Period=0.968992962 +/- 9.7e-08,Rp/R*=0.11633 +/- 0.00038,a/R*=3.23 +/- 0.12,inc=84.4 +/- 2.63,ecc=0.0,u0=1.918 +/- 0.018,u1=-3.392 +/- 0.072,u2=3.973 +/- 0.093,u3=-1.5 +/- 0.039
#PRIORS-XC={"Period": {"value": "0.968992962", "uncertainty": "9.7e-08", "units": "days"}, "Rp/R*": {"value": "0.11633", "uncertainty": "0.00038"}, "a/R*": {"value": "3.23", "uncertainty": "0.12"}, "inc": {"value": "84.4", "uncertainty": "2.63", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "1.918", "uncertainty": "0.018"}, "u1": {"value": "-3.392", "uncertainty": "0.072"}, "u2": {"value": "3.973", "uncertainty": "0.093"}, "u3": {"value": "-1.5", "uncertainty": "0.039"}}
#RESULTS=Tc=2461229.8072 +/- 0.0019,Rp/R*=0.1072 +/- 0.0047,inc=81.69 +/- 1.85,Am1=1.0065 +/- 0.0081,Am2=-0.0051 +/- 0.0051
#RESULTS-XC={"Tc": {"value": "2461229.8072", "uncertainty": "0.0019", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1072", "uncertainty": "0.0047"}, "inc": {"value": "81.69", "uncertainty": "1.85"}, "Am1": {"value": "1.0065", "uncertainty": "0.0081"}, "Am2": {"value": "-0.0051", "uncertainty": "0.0051"}, "Duration": {"value": "0.098", "uncertainty": "0.0047", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461229.72615476,1.0126253,0.0079583,1.3935655,0.9994128
2461229.7268855,0.9871147,0.0079586,1.3884426,0.9994388
2461229.72761653,1.0152927,0.0079589,1.3833511,0.9994646
2461229.72835427,1.0033504,0.0079592,1.3783159,0.9994902
2461229.7290849,0.9871826,0.0079595,1.3733574,0.9995154
2461229.72981634,1.0129285,0.0079598,1.3684512,0.9995403
2461229.73055447,0.9991517,0.0079601,1.3635499,0.9995652
2461229.73128621,1.0002751,0.0079604,1.3587475,0.9995895
2461229.73201754,0.98604,0.0079607,1.3539963,0.9996137
2461229.73274958,0.992718,0.007961,1.3492971,0.9996375
2461229.73348741,0.9942217,0.0079613,1.3446053,0.9996613
2461229.73421915,0.9971126,0.0079616,1.3400071,0.9996847
2461229.73495048,1.0100901,0.0079618,1.3354584,0.9997078
2461229.73568922,1.0111492,0.0079621,1.3309145,0.9997308
2461229.73642045,0.9907987,0.0079624,1.3264668,0.9997534
2461229.73715839,1.0057513,0.0079627,1.3220244,0.999776
2461229.73788882,0.9994587,0.0079629,1.3176719,0.9997981
2461229.73862006,1.0009297,0.0079632,1.3133643,0.9998199
2461229.73935809,1.0019748,0.0079634,1.3090629,0.9998418
2461229.74008872,1.0103567,0.0079637,1.3048484,0.9998632
2461229.74081956,0.999608,0.007964,1.3006787,0.9998843
2461229.74155749,1.0128031,0.0079642,1.2965141,0.9999055
2461229.74228803,0.9980838,0.0079645,1.2924338,0.9999262
2461229.74301876,1.000862,0.0079647,1.2883966,0.9999467
2461229.7437564,0.9952375,0.0079649,1.2843644,0.9999672
2461229.74448693,0.9872646,0.0079652,1.2804132,0.9999873
2461229.74521757,1.0054919,0.0079654,1.2765041,1.0000071
2461229.7459552,1.0117316,0.0079657,1.2725983,1.0000269
2461229.74668584,0.98502,0.0079659,1.2687721,1.0000464
2461229.74741607,0.9894024,0.0079661,1.2649684,1.0000657
2461229.74815411,0.9973272,0.0079664,1.2612011,1.0000848
2461229.74962258,1.0000273,0.0079668,1.253793,1.0001225
2461229.75035311,0.9965816,0.007967,1.2501654,1.0001409
2461229.75108365,0.9788423,0.0079673,1.2465583,1.0001592
2461229.75182138,1.0025037,0.0079675,1.2429895,1.0001773
2461229.75255172,1.0012865,0.0079677,1.2394777,1.0001952
2461229.75328895,0.9857483,0.0079679,1.2359697,1.000213
2461229.75401908,1.0077652,0.0079681,1.2325309,1.0002304
2461229.75474972,1.0089182,0.0079683,1.2291115,1.0002478
2461229.75548725,0.9911761,0.0079685,1.2257296,1.000265
2461229.75621739,1.0081362,0.0079687,1.2223837,1.000282
2461229.75697612,0.9958992,0.0079689,1.2189726,1.0002993
2461229.75770876,1.0032062,0.0079691,1.2157071,1.0003159
