BJD,Norm Flux,Norm Err,AM
2461229.72615476,1.0126253,0.007958,1.39
2461229.7268855,0.9871147,0.007959,1.39
2461229.72761653,1.0152927,0.007959,1.38
2461229.72835427,1.0033504,0.007959,1.38
2461229.7290849,0.9871826,0.00796,1.37
2461229.72981634,1.0129285,0.00796,1.37
2461229.73055447,0.9991517,0.00796,1.36
2461229.73128621,1.0002751,0.00796,1.36
2461229.73201754,0.98604,0.007961,1.35
2461229.73274958,0.992718,0.007961,1.35
2461229.73348741,0.9942217,0.007961,1.34
2461229.73421915,0.9971126,0.007962,1.34
2461229.73495048,1.0100901,0.007962,1.34
2461229.73568922,1.0111492,0.007962,1.33
2461229.73642045,0.9907987,0.007962,1.33
2461229.73715839,1.0057513,0.007963,1.32
2461229.73788882,0.9994587,0.007963,1.32
2461229.73862006,1.0009297,0.007963,1.31
2461229.73935809,1.0019748,0.007963,1.31
2461229.74008872,1.0103567,0.007964,1.3
2461229.74081956,0.999608,0.007964,1.3
2461229.74155749,1.0128031,0.007964,1.3
2461229.74228803,0.9980838,0.007964,1.29
2461229.74301876,1.000862,0.007965,1.29
2461229.7437564,0.9952375,0.007965,1.28
2461229.74448693,0.9872646,0.007965,1.28
2461229.74521757,1.0054919,0.007965,1.28
2461229.7459552,1.0117316,0.007966,1.27
2461229.74668584,0.98502,0.007966,1.27
2461229.74741607,0.9894024,0.007966,1.26
2461229.74815411,0.9973272,0.007966,1.26
2461229.74962258,1.0000273,0.007967,1.25
2461229.75035311,0.9965816,0.007967,1.25
2461229.75108365,0.9788423,0.007967,1.25
2461229.75182138,1.0025037,0.007967,1.24
2461229.75255172,1.0012865,0.007968,1.24
2461229.75328895,0.9857483,0.007968,1.24
2461229.75401908,1.0077652,0.007968,1.23
2461229.75474972,1.0089182,0.007968,1.23
2461229.75548725,0.9911761,0.007969,1.23
2461229.75621739,1.0081362,0.007969,1.22
2461229.75697612,0.9958992,0.007969,1.22
2461229.75770876,1.0032062,0.007969,1.22
2461229.75843979,0.9927629,0.007969,1.21
2461229.75917753,0.9904328,0.00797,1.21
2461229.75990776,1.0020714,0.00797,1.21
2461229.7606382,1.00266,0.00797,1.2
2461229.76137583,0.9925989,0.00797,1.2
2461229.76210607,1.0015188,0.00797,1.2
2461229.7628438,1.0131329,0.00797,1.19
2461229.76357404,1.0005069,0.007971,1.19
2461229.76430507,0.9895546,0.007971,1.19
2461229.76504231,0.9853296,0.007971,1.18
2461229.76577354,1.0051153,0.007971,1.18
