# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_comp5,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_comp5,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_comp5,skybg_target
"observation/KELT-16 b/elp0m473-sq46-20260707-0120-e91.fits",2461229.726154763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0121-e91.fits",2461229.726885498,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0122-e91.fits",2461229.7276165327,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0123-e91.fits",2461229.728354268,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0124-e91.fits",2461229.729084902,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0125-e91.fits",2461229.729816337,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0126-e91.fits",2461229.730554472,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0127-e91.fits",2461229.7312862067,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0128-e91.fits",2461229.7320175413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0129-e91.fits",2461229.732749576,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0130-e91.fits",2461229.7334874114,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0131-e91.fits",2461229.734219146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0132-e91.fits",2461229.7349504805,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0133-e91.fits",2461229.7356892154,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0134-e91.fits",2461229.7364204503,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0135-e91.fits",2461229.7371583856,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0136-e91.fits",2461229.7378888205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0137-e91.fits",2461229.738620055,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0138-e91.fits",2461229.73935809,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0139-e91.fits",2461229.7400887245,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0140-e91.fits",2461229.740819559,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0141-e91.fits",2461229.741557494,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0142-e91.fits",2461229.742288029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0143-e91.fits",2461229.743018763,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"observation/KELT-16 b/elp0m473-sq46-20260707-0144-e91.fits",2461229.743756398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
