#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-20
#EXOPLANET_NAME=HAT-P-20 b
#BINNING=1x1
#EXPOSURE_TIME=20.0
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=ogg0m455-sq30-20250203-0166-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=CV
#FILTER-XC={"name": "CV", "desc": "Clear (unfiltered) reduced to V sequence", "fwhm": [{"value": "350.0", "units": "nm"}, {"value": "850.0", "units": "nm"}]}
#PRIORS=Period=2.87531773 +/- 1.1e-07,Rp/R*=0.15387 +/- 0.00017,a/R*=11.2 +/- 0.3,inc=86.8 +/- 0.2,ecc=0.015,u0=1.684 +/- 0.012,u1=-2.876 +/- 0.05,u2=3.316 +/- 0.066,u3=-1.124 +/- 0.028
#PRIORS-XC={"Period": {"value": "2.87531773", "uncertainty": "1.1e-07", "units": "days"}, "Rp/R*": {"value": "0.15387", "uncertainty": "0.00017"}, "a/R*": {"value": "11.2", "uncertainty": "0.3"}, "inc": {"value": "86.8", "uncertainty": "0.2", "units": "degrees"}, "ecc": {"value": "0.015", "uncertainty": null}, "u0": {"value": "1.684", "uncertainty": "0.012"}, "u1": {"value": "-2.876", "uncertainty": "0.05"}, "u2": {"value": "3.316", "uncertainty": "0.066"}, "u3": {"value": "-1.124", "uncertainty": "0.028"}}
#RESULTS=Tc=2460710.7939 +/- 0.0027,Rp/R*=0.124 +/- 0.013,inc=87.45 +/- 0.55,Am1=0.915 +/- 0.012,Am2=0.096 +/- 0.025
#RESULTS-XC={"Tc": {"value": "2460710.7939", "uncertainty": "0.0027", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.124", "uncertainty": "0.013"}, "inc": {"value": "87.45", "uncertainty": "0.55"}, "Am1": {"value": "0.915", "uncertainty": "0.012"}, "Am2": {"value": "0.096", "uncertainty": "0.025"}, "Duration": {"value": "0.072", "uncertainty": "0.0036", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460710.76375197,1.0104025,0.0177924,1.2673558,1.0335493
2460710.76401876,1.024574,0.0177915,1.2658532,1.0334004
2460710.76428555,1.0320015,0.0177906,1.2643776,1.0332542
2460710.76455233,1.0243453,0.0177897,1.2629105,1.0331089
2460710.76480762,1.0099218,0.0177888,1.2614307,1.0329623
2460710.76507441,1.0191056,0.0177878,1.2599567,1.0328163
2460710.7653412,1.0074674,0.0177869,1.2585071,1.0326728
2460710.76560799,1.0350525,0.017786,1.2570636,1.0325299
2460710.76586328,1.0224479,0.0177851,1.2556076,1.0323857
2460710.76613007,1.0206319,0.0177843,1.2541989,1.0322463
2460710.76639686,1.0124428,0.0177834,1.2527562,1.0321035
2460710.76665215,1.0149339,0.0177825,1.251318,1.0319612
2460710.76691904,1.0177582,0.0177816,1.2499065,1.0318215
2460710.76718582,1.0164255,0.0177807,1.2485008,1.0316825
2460710.76745271,1.0293146,0.0177798,1.2470819,1.0315421
2460710.7677079,1.0088079,0.017779,1.245686,1.0314041
2460710.76797479,0.9961398,0.0177781,1.2442781,1.0312648
2460710.76824158,1.0134372,0.0177772,1.2428963,1.0311282
2460710.76850837,1.0245317,0.0177764,1.241502,1.0309904
2460710.76877516,1.0252243,0.0177755,1.2401325,1.030855
2460710.76903035,1.0322606,0.0177747,1.2387474,1.0307181
2460710.76929724,1.0184245,0.0177738,1.2374049,1.0305854
2460710.76981922,1.0171644,0.0177721,1.2346839,1.0303166
2460710.7700861,1.0274446,0.0177713,1.2333395,1.0301838
2460710.77035309,1.023272,0.0177705,1.2319996,1.0300514
2460710.77060808,1.0111828,0.0177696,1.2306469,1.0299178
2460710.77087467,1.0076718,0.0177688,1.2293397,1.0297888
2460710.77114136,1.0305317,0.017768,1.2280011,1.0296566
2460710.77140785,1.0210609,0.0177671,1.2266683,1.029525
2460710.77166284,1.0298891,0.0177663,1.2253763,1.0293975
2460710.77192943,1.0107594,0.0177655,1.2240546,1.029267
2460710.77219602,1.0030968,0.0177647,1.2227564,1.0291389
2460710.7724626,1.0180013,0.0177639,1.2214636,1.0290114
2460710.77271759,1.0043116,0.0177631,1.2201593,1.0288827
2460710.77298428,1.0095653,0.0177623,1.2188967,1.0287581
2460710.77325077,1.014167,0.0177615,1.2176044,1.0286307
2460710.77377235,1.0119268,0.0177599,1.2150497,1.0283787
2460710.77403894,1.0353436,0.0177591,1.2137906,1.0282546
2460710.77430553,1.0061972,0.0177584,1.2125212,1.0281294
2460710.77457232,1.0005321,0.0177576,1.2112567,1.0280048
2460710.77483891,1.0147892,0.0177568,1.2099961,1.0278805
2460710.7750939,1.0174773,0.017756,1.2087754,1.0277602
