#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=KELT-20
#EXOPLANET_NAME=KELT-20 b
#BINNING=1x1
#EXPOSURE_TIME=9.999
#COMP_STAR-XC=null
#NOTES=Generated from EXOTIC Standard notebook flow; telescope=MicroObservatory; camera type=CCD; first image=elp0m414-sq31-20230817-0615-e91.fits; VLM supplied target and comparison-star coordinates.
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=ZS
#FILTER-XC={"name": "ZS", "desc": "PanSTARRS z-short", "fwhm": [{"value": "826.0", "units": "nm"}, {"value": "920.0", "units": "nm"}]}
#PRIORS=Period=2.450249 +/- 1e-05,Rp/R*=0.124 +/- 0.005,a/R*=9.48 +/- 0.5,inc=89.6 +/- 0.5,ecc=0.0,u0=3.272 +/- 0.031,u1=-5.86 +/- 0.12,u2=5.4 +/- 0.15,u3=-1.811 +/- 0.062
#PRIORS-XC={"Period": {"value": "2.450249", "uncertainty": "1e-05", "units": "days"}, "Rp/R*": {"value": "0.124", "uncertainty": "0.005"}, "a/R*": {"value": "9.48", "uncertainty": "0.5"}, "inc": {"value": "89.6", "uncertainty": "0.5", "units": "degrees"}, "ecc": {"value": "0.0", "uncertainty": null}, "u0": {"value": "3.272", "uncertainty": "0.031"}, "u1": {"value": "-5.86", "uncertainty": "0.12"}, "u2": {"value": "5.4", "uncertainty": "0.15"}, "u3": {"value": "-1.811", "uncertainty": "0.062"}}
#RESULTS=Tc=2460174.49 +/- 0.24,Rp/R*=0.095 +/- 0.045,inc=85.07 +/- 1.57,Am1=0.4321 +/- 0.0062,Am2=0.83 +/- 0.19
#RESULTS-XC={"Tc": {"value": "2460174.49", "uncertainty": "0.24", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.095", "uncertainty": "0.045"}, "inc": {"value": "85.07", "uncertainty": "1.57"}, "Am1": {"value": "0.4321", "uncertainty": "0.0062"}, "Am2": {"value": "0.83", "uncertainty": "0.19"}, "Duration": {"value": "0.0033", "uncertainty": "0.01", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2460174.68322022,1.0029046,0.0151991,1.0034253,0.9974256
2460174.68338253,1.0023009,0.0151991,1.0033533,0.9973658
2460174.68353324,0.9859299,0.0151991,1.0032868,0.9973105
2460174.68368395,0.9995344,0.0151991,1.003221,0.9972558
2460174.68383466,1.024227,0.0151991,1.0031545,0.9972005
2460174.68399698,1.0190508,0.0151992,1.0030901,0.997147
2460174.68414769,1.0088801,0.0151992,1.0030266,0.9970942
2460174.6842984,1.0076184,0.0151992,1.0029622,0.9970407
2460174.68444901,1.0032327,0.0151992,1.0028998,0.9969888
2460174.68459972,1.0113637,0.0151992,1.0028381,0.9969375
2460174.68475043,1.0060904,0.0151992,1.0027771,0.9968868
2460174.68490114,1.0023535,0.0151992,1.0027154,0.9968356
2460174.68505185,1.0093502,0.0151992,1.0026559,0.9967861
2460174.68521406,1.0058455,0.0151992,1.0025971,0.9967373
2460174.68536477,1.0160921,0.0151992,1.0025389,0.9966889
2460174.68551548,0.9918944,0.0151992,1.0024814,0.9966412
2460174.68567779,1.0110166,0.0151992,1.0024205,0.9965906
2460174.68582851,1.0163655,0.0151992,1.0023643,0.9965439
2460174.68597922,0.9656253,0.0151992,1.0023088,0.9964978
2460174.68612993,0.987582,0.0151992,1.0022528,0.9964513
2460174.68628064,1.0052019,0.0151992,1.0021988,0.9964064
2460174.68643135,1.0000862,0.0151992,1.0021454,0.9963621
2460174.68659356,1.0067011,0.0151992,1.0020928,0.9963184
2460174.68674427,1.0087985,0.0151992,1.0020408,0.9962752
2460174.68689508,1.0094601,0.0151992,1.0019883,0.9962316
2460174.68704579,1.01175,0.0151992,1.0019376,0.9961895
2460174.6871964,0.967347,0.0151992,1.0018876,0.996148
2460174.68734711,0.9887333,0.0151992,1.0018371,0.996106
2460174.68750942,0.9980674,0.0151992,1.0017885,0.9960657
2460174.68766014,1.0014205,0.0151992,1.0017406,0.9960259
2460174.68781085,0.9841569,0.0151992,1.0016933,0.9959866
2460174.68796156,0.9913415,0.0151993,1.0016457,0.9959471
2460174.68811227,0.9723588,0.0151993,1.0015998,0.995909
2460174.68826298,0.98249,0.0151993,1.0015545,0.9958714
2460174.68842519,0.9965035,0.0151993,1.0015088,0.9958335
2460174.6885759,0.9695565,0.0151993,1.001465,0.9957971
2460174.68872661,0.9780527,0.0151993,1.0014218,0.9957613
2460174.68888892,0.9795937,0.0151993,1.0013773,0.9957243
2460174.68903963,1.0154366,0.0151993,1.0013355,0.9956896
2460174.68919034,0.9843975,0.0151993,1.0012934,0.9956547
2460174.68934105,1.0015924,0.0151993,1.0012521,0.9956204
