#TYPE=EXOPLANET
#OBSCODE=
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v4.3.1
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-65
#EXOPLANET_NAME=WASP-65 b
#BINNING=1x1
#EXPOSURE_TIME=60.0
#COMP_STAR-XC={"ra": null, "dec": null, "x": "1368.4", "y": "1576.5"}
#NOTES=LCOGT 0.4m telescope (site ID lsc, Cerro Tololo, Chile). CCD (QHY600M), 1x1 bin, SDSS-r filter (SDSS-RP-119), 60s exposure. 270 frames observed 2026-03-12 23:57 to 2026-03-13 04:39 UTC. No external flats/darks/biases in science dir. Target at (1177.5, 1147.8) from LCO CAT table. Comparison stars: 116 (1368.4, 1576.5), 128 (724.8, 1034.8), 131 (1420.3, 719.7).
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=SR
#FILTER-XC={"name": "SR", "desc": "Sloan r", "fwhm": [{"value": "553.1", "units": "nm"}, {"value": "693.1", "units": "nm"}]}
#PRIORS=Period=2.3114205 +/- 1.7e-07,Rp/R*=0.12237 +/- 0.0002,a/R*=7.11 +/- 0.1,inc=88.8 +/- 0.75,ecc=0.016,u0=2.024 +/- 0.017,u1=-3.484 +/- 0.07,u2=3.863 +/- 0.09,u3=-1.403 +/- 0.038
#PRIORS-XC={"Period": {"value": "2.3114205", "uncertainty": "1.7e-07", "units": "days"}, "Rp/R*": {"value": "0.12237", "uncertainty": "0.0002"}, "a/R*": {"value": "7.11", "uncertainty": "0.1"}, "inc": {"value": "88.8", "uncertainty": "0.75", "units": "degrees"}, "ecc": {"value": "0.016", "uncertainty": null}, "u0": {"value": "2.024", "uncertainty": "0.017"}, "u1": {"value": "-3.484", "uncertainty": "0.07"}, "u2": {"value": "3.863", "uncertainty": "0.09"}, "u3": {"value": "-1.403", "uncertainty": "0.038"}}
#RESULTS=Tc=2461112.60168 +/- 0.00077,Rp/R*=0.1188 +/- 0.0041,inc=87.86 +/- 0.69,Am1=1.0048 +/- 0.0038,Am2=-0.0032 +/- 0.0058
#RESULTS-XC={"Tc": {"value": "2461112.60168", "uncertainty": "0.00077", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1188", "uncertainty": "0.0041"}, "inc": {"value": "87.86", "uncertainty": "0.69"}, "Am1": {"value": "1.0048", "uncertainty": "0.0038"}, "Am2": {"value": "-0.0032", "uncertainty": "0.0058"}, "Duration": {"value": "0.11", "uncertainty": "0.0023", "units": "days"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2461112.50333798,0.9934165,0.0042686,1.5798228,0.9997794
2461112.50405664,0.9967487,0.0042686,1.5743627,0.9997967
2461112.5047869,0.9953114,0.0042686,1.5689453,0.9998139
2461112.50551695,1.0022562,0.0042686,1.5636291,0.9998308
2461112.50623981,0.9976367,0.0042686,1.5584119,0.9998474
2461112.50695847,0.998749,0.0042686,1.5532669,0.9998637
2461112.50768862,1.0030591,0.0042686,1.5481901,0.9998798
2461112.50841888,0.9961715,0.0042686,1.5431366,0.9998958
2461112.50913754,0.9940843,0.0042686,1.5381522,0.9999116
2461112.50986769,0.9985706,0.0042686,1.5332354,0.9999272
2461112.51059785,0.9972672,0.0042686,1.5283858,0.9999426
2461112.51132811,0.9937553,0.0042686,1.5236229,0.9999577
2461112.51205836,1.0065452,0.0042686,1.5189219,0.9999726
2461112.51278852,1.0058079,0.0042686,1.514237,0.9999875
2461112.51351887,0.9972425,0.0042686,1.5096609,1.000002
2461112.51423743,0.9960248,0.0042686,1.5051297,1.0000164
2461112.51496789,0.9999544,0.0042686,1.5007018,1.0000305
2461112.51569814,1.0087085,0.0042686,1.4962921,1.0000445
2461112.5164168,1.0001617,0.0042686,1.4919674,1.0000582
2461112.51786581,1.0044237,0.0042685,1.4835362,1.0000849
2461112.51858437,1.0087203,0.0042685,1.4793689,1.0000982
2461112.51931453,0.9958569,0.0042685,1.4752968,1.0001111
2461112.52003318,1.0074704,0.0042685,1.4712809,1.0001238
2461112.52076344,1.0037856,0.0042685,1.4673003,1.0001365
2461112.5214821,1.0031158,0.0042685,1.4633739,1.0001489
2461112.52221235,1.0084302,0.0042685,1.4594855,1.0001613
2461112.52294261,0.9995232,0.0042685,1.45567,1.0001734
2461112.52369606,0.9928471,0.0042685,1.4517771,1.0001857
2461112.52441482,1.0039293,0.0042685,1.4480687,1.0001975
2461112.52514498,0.9986114,0.0042685,1.4443959,1.0002091
2461112.52586363,0.995685,0.0042685,1.44081,1.0002205
2461112.52731245,1.0030693,0.0042685,1.4337878,1.0002428
2461112.5280313,1.00153,0.0042685,1.4303313,1.0002538
2461112.52879646,1.0019315,0.0042685,1.4267587,1.0002651
2461112.52951511,0.9987506,0.0042685,1.4234212,1.0002757
2461112.53024537,1.0029217,0.0042685,1.4201189,1.0002862
2461112.53096403,0.9950248,0.0042685,1.4168778,1.0002965
2461112.53168268,1.0004614,0.0042685,1.4136807,1.0003066
2461112.53241294,1.0067199,0.0042685,1.4105335,1.0003166
2461112.5331315,1.002393,0.0042685,1.4073998,1.0003266
2461112.53386185,1.001878,0.0042685,1.4043286,1.0003363
2461112.53458051,0.9947829,0.0042685,1.4013049,1.0003459
2461112.53531067,1.0069229,0.0042685,1.3983393,1.0003553
2461112.53602952,1.0012759,0.0042685,1.3954025,1.0003647
2461112.53679458,1.0042604,0.0042685,1.3923544,1.0003743
2461112.53751323,0.9960427,0.0042685,1.3895216,1.0003833
2461112.53824339,1.0029193,0.0042685,1.3867189,1.0003922
2461112.53896215,0.9945993,0.0042685,1.3839736,1.0004009
2461112.5396808,0.9963578,0.0042684,1.381269,1.0004095
2461112.54041096,1.0028256,0.0042684,1.378608,1.000418
2461112.54112962,1.0007872,0.0042684,1.3759752,1.0004263
2461112.54184837,0.9995084,0.0042684,1.3733972,1.0004345
2461112.54257863,0.9964638,0.0042684,1.3708353,1.0004426
2461112.54330888,1.0020061,0.0042684,1.3683138,1.0004506
2461112.54402754,0.9936096,0.0042684,1.3658563,1.0004584
2461112.5447461,1.0031957,0.0042684,1.3634374,1.0004661
2461112.54547635,0.9993949,0.0042684,1.3610347,1.0004738
2461112.54619511,0.9998581,0.0042684,1.3586949,1.0004812
2461112.54692527,0.996696,0.0042684,1.3563923,1.0004885
2461112.54764402,1.001155,0.0042684,1.3541057,1.0004958
2461112.54837418,1.0049986,0.0042684,1.3518712,1.0005028
2461112.54910444,1.000896,0.0042684,1.3496645,1.0005099
2461112.54984619,0.9956404,0.0042684,1.3474646,1.0005168
2461112.55056485,0.9934078,0.0042684,1.3453468,1.0005236
2461112.5512837,0.9973761,0.0042684,1.3432749,1.0005301
2461112.55201396,0.9995872,0.0042684,1.3412308,1.0005366
2461112.55273262,0.995189,0.0042684,1.3392319,1.000543
2461112.55346287,0.9918198,0.0042684,1.3372485,1.0005493
2461112.55418153,0.9903818,0.0042684,1.3353107,1.0005554
2461112.55491169,0.9892492,0.0042684,1.3334094,1.0005615
2461112.55564184,0.9872244,0.0042684,1.331536,1.0005674
2461112.5563607,0.9909706,0.0042684,1.3297088,1.0005732
2461112.55707935,0.9934556,0.0042684,1.327924,1.0005789
2461112.55780981,0.9876647,0.0042684,1.3261659,1.0005845
2461112.55852867,0.9834315,0.0042684,1.3244432,1.0005899
2461112.55925892,0.9920099,0.0042684,1.3227554,1.0005953
2461112.55997768,0.9908541,0.0042684,1.3210931,1.0006006
2461112.56074273,0.985922,0.0042684,1.319385,1.000606
2461112.56147299,0.9848575,0.0042684,1.3178076,1.000611
2461112.56219165,0.981431,0.0042684,1.3162502,1.0006159
2461112.5629451,0.982257,0.0042684,1.3146747,1.0006209
2461112.56366376,0.9921195,0.0042684,1.3131999,1.0006256
2461112.56439401,0.9914091,0.0042684,1.3117512,1.0006302
2461112.56511267,0.9888781,0.0042684,1.310335,1.0006347
2461112.56583143,0.983329,0.0042684,1.308958,1.0006391
2461112.56656158,0.9867635,0.0042684,1.3076015,1.0006434
2461112.56728024,0.9813721,0.0042684,1.3062897,1.0006476
2461112.56804529,0.9929064,0.0042684,1.3049282,1.0006519
2461112.56877545,0.9907435,0.0042684,1.3036756,1.0006559
2461112.5695058,0.9864165,0.0042684,1.3024495,1.0006598
2461112.57022436,0.9817285,0.0042684,1.3012614,1.0006635
2461112.57095472,0.9858101,0.0042684,1.3000993,1.0006672
2461112.57168497,0.98073,0.0042684,1.2989707,1.0006708
2461112.57240353,0.9851202,0.0042684,1.2978779,1.0006743
2461112.57313378,0.9831438,0.0042684,1.2968158,1.0006776
2461112.57385244,0.9877929,0.0042684,1.2957795,1.0006809
2461112.5745826,0.9882272,0.0042684,1.2947764,1.0006841
2461112.57531275,0.986331,0.0042684,1.2938088,1.0006872
2461112.57603151,0.9878724,0.0042684,1.2928662,1.0006902
2461112.57676167,0.9900241,0.0042684,1.2919597,1.0006931
2461112.57748032,0.9841061,0.0042684,1.2910837,1.0006958
2461112.57821058,0.9845969,0.0042684,1.2902376,1.0006985
2461112.57892923,0.9874563,0.0042684,1.2894231,1.0007011
2461112.57964799,0.9836693,0.0042684,1.2886386,1.0007036
2461112.58037835,0.9883352,0.0042684,1.2878848,1.000706
2461112.5810971,0.9832417,0.0042684,1.2871567,1.0007083
2461112.58182746,0.9803866,0.0042684,1.286463,1.0007105
2461112.58255761,0.9836788,0.0042684,1.2857924,1.0007126
2461112.58327627,0.9793362,0.0042684,1.2851581,1.0007147
2461112.58400663,0.9826648,0.0042684,1.2845505,1.0007166
2461112.58472528,0.9829202,0.0042684,1.2839787,1.0007184
2461112.58545564,0.9880342,0.0042684,1.2834335,1.0007201
2461112.5861744,0.9781996,0.0042684,1.282913,1.0007218
2461112.58690475,0.9850363,0.0042684,1.2824271,1.0007233
2461112.58763511,0.9848122,0.0042684,1.2819667,1.0007248
2461112.58835376,0.9873507,0.0042684,1.2815395,1.0007262
2461112.58908422,0.9818327,0.0042684,1.2811404,1.0007274
2461112.58981457,0.9842676,0.0042684,1.2807704,1.0007286
2461112.59053323,0.9888789,0.0042684,1.28043,1.0007297
2461112.59129828,0.9866391,0.0042684,1.2801032,1.0007307
2461112.59202854,0.9816903,0.0042684,1.2798232,1.0007316
2461112.5927588,0.9812158,0.0042684,1.2795726,1.0007324
2461112.59347745,0.98476,0.0042684,1.2793535,1.0007331
2461112.59419601,0.9874857,0.0042684,1.279162,1.0007337
2461112.59492626,0.9848845,0.0042684,1.2789999,1.0007342
